,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
0,1,11:42.0,T. Warren misses 2-pt jump shot from 19 ft,,0,0
1,1,11:38.0,,Defensive rebound by K. Dunn,0,0
2,1,11:29.0,,K. Dunn makes 2-pt layup from 1 ft (assist by R. Lopez),0,2
3,1,11:10.0,Turnover by D. Booker (bad pass; steal by J. Holiday),,0,2
4,1,11:06.0,,K. Dunn makes 2-pt layup at rim,0,4
5,1,10:53.0,Personal foul by K. Dunn (drawn by T. Ulis),,0,4
6,1,10:47.0,D. Booker misses 3-pt jump shot from 25 ft (block by J. Holiday),,0,4
7,1,10:42.0,,Defensive rebound by R. Lopez,0,4
8,1,10:29.0,,R. Lopez misses 2-pt jump shot from 19 ft,0,4
9,1,10:24.0,Defensive rebound by T. Ulis,,0,4
10,1,10:07.0,T. Ulis makes 2-pt jump shot from 4 ft (assist by T. Chandler),,2,4
11,1,9:43.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by K. Dunn),2,7
12,1,9:31.0,T. Warren makes 2-pt jump shot from 11 ft (assist by D. Bender),,4,7
13,1,9:20.0,,Offensive foul by R. Lopez (drawn by T. Chandler),4,7
14,1,9:20.0,,Turnover by R. Lopez (offensive foul),4,7
15,1,9:08.0,T. Ulis makes 2-pt jump shot from 12 ft (assist by D. Bender),,6,7
16,1,8:51.0,,K. Dunn makes 2-pt jump shot from 5 ft,6,9
17,1,8:44.0,D. Booker misses 2-pt jump shot from 7 ft,,6,9
18,1,8:41.0,,Defensive rebound by L. Markkanen,6,9
19,1,8:33.0,,R. Lopez misses 2-pt jump shot from 5 ft,6,9
20,1,8:28.0,,Offensive rebound by R. Lopez,6,9
21,1,8:28.0,,R. Lopez misses 2-pt layup at rim,6,9
22,1,8:24.0,,Offensive rebound by R. Lopez,6,9
23,1,8:21.0,,J. Holiday misses 3-pt jump shot from 25 ft,6,9
24,1,8:21.0,,Offensive rebound by R. Lopez,6,9
25,1,8:21.0,,R. Lopez misses 2-pt layup at rim,6,9
26,1,8:21.0,Defensive rebound by T. Chandler,,6,9
27,1,8:21.0,Shooting foul by J. Holiday (drawn by D. Booker),,6,9
28,1,8:21.0,D. Booker makes free throw 1 of 2,,7,9
29,1,8:21.0,D. Booker makes free throw 2 of 2,,8,9
30,1,8:10.0,,Personal foul by D. Bender (drawn by R. Lopez),8,9
31,1,7:54.0,,K. Dunn makes 3-pt jump shot from 25 ft,8,12
32,1,7:43.0,T. Ulis misses 2-pt jump shot from 15 ft,,8,12
33,1,7:40.0,,Defensive rebound by L. Markkanen,8,12
34,1,7:35.0,,Turnover by D. Valentine (lost ball; steal by T. Warren),8,12
35,1,7:29.0,T. Warren makes 2-pt dunk at rim,,10,12
36,1,7:12.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Dunn),10,15
37,1,6:57.0,Turnover by D. Booker (bad pass; steal by K. Dunn),,10,15
