,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,,L. Aldridge misses 3-pt jump shot from 25 ft,0,0
1,1,11:36.0,,Offensive rebound by Team,0,0
2,1,11:36.0,Loose ball foul by D. Fox (drawn by P. Gasol),,0,0
3,1,11:20.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Green),0,2
4,1,11:06.0,Z. Randolph misses 2-pt jump shot from 20 ft,,0,2
5,1,11:04.0,,Defensive rebound by P. Gasol,0,2
6,1,10:55.0,,L. Aldridge misses 2-pt layup from 2 ft,0,2
7,1,10:52.0,,Offensive rebound by D. Murray,0,2
8,1,10:52.0,,D. Murray makes 2-pt layup at rim,0,4
9,1,10:31.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,0,4
10,1,10:28.0,Offensive rebound by K. Koufos,,0,4
11,1,10:26.0,D. Fox makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,3,4
12,1,10:00.0,,L. Aldridge makes 2-pt jump shot from 18 ft,3,6
13,1,9:43.0,Z. Randolph misses 2-pt jump shot from 20 ft,,3,6
14,1,9:39.0,,Defensive rebound by K. Anderson,3,6
15,1,9:31.0,,P. Gasol misses 3-pt jump shot from 24 ft,3,6
16,1,9:28.0,Defensive rebound by J. Jackson,,3,6
17,1,9:22.0,K. Koufos misses 2-pt hook shot from 6 ft,,3,6
18,1,9:20.0,,Defensive rebound by D. Murray,3,6
19,1,9:12.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Murray),3,8
20,1,8:57.0,Turnover by B. Bogdanović (bad pass; steal by D. Green),,3,8
21,1,8:45.0,,Personal foul by K. Koufos (drawn by L. Aldridge),3,8
22,1,8:29.0,,D. Murray makes 2-pt jump shot from 18 ft,3,10
23,1,8:14.0,Turnover by J. Jackson (traveling),,3,10
24,1,7:56.0,,Personal foul by Z. Randolph (drawn by L. Aldridge),3,10
25,1,7:49.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Murray),3,12
26,1,7:44.0,Sacramento full timeout,,3,12
27,1,7:34.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),,6,12
28,1,7:10.0,,P. Gasol misses 2-pt jump shot from 10 ft,6,12
29,1,7:07.0,Defensive rebound by Z. Randolph,,6,12
30,1,6:59.0,Z. Randolph misses 2-pt jump shot from 8 ft (block by L. Aldridge),,6,12
31,1,6:56.0,,Defensive rebound by D. Murray,6,12
32,1,6:51.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by K. Anderson),6,14
33,1,6:32.0,J. Jackson makes 2-pt layup from 1 ft (assist by Z. Randolph),,8,14
34,1,6:13.0,,L. Aldridge misses 2-pt jump shot from 13 ft,8,14
35,1,6:10.0,Defensive rebound by B. Bogdanović,,8,14
36,1,5:46.0,J. Jackson misses 3-pt jump shot from 23 ft,,8,14
37,1,5:44.0,,Defensive rebound by D. Murray,8,14
38,1,5:33.0,,D. Green misses 3-pt jump shot from 25 ft,8,14
39,1,5:30.0,Defensive rebound by Z. Randolph,,8,14
