,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:46.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Dedmon),0,3
1,1,11:22.0,B. Bogdanović misses 2-pt layup from 2 ft (block by T. Prince),,0,3
2,1,11:18.0,,Defensive rebound by D. Dedmon,0,3
3,1,11:11.0,,Personal block foul by B. Bogdanović (drawn by K. Bazemore),0,3
4,1,11:05.0,,D. Schröder makes 2-pt layup from 1 ft,0,5
5,1,10:47.0,G. Temple misses 2-pt jump shot from 18 ft,,0,5
6,1,10:46.0,,Defensive rebound by Team,0,5
7,1,10:32.0,,Offensive foul by D. Schröder (drawn by Z. Randolph),0,5
8,1,10:32.0,,Turnover by D. Schröder (offensive foul),0,5
9,1,10:13.0,Z. Randolph misses 2-pt jump shot from 20 ft,,0,5
10,1,10:10.0,,Defensive rebound by D. Dedmon,0,5
11,1,10:06.0,,D. Dedmon makes 2-pt dunk from 2 ft (assist by K. Bazemore),0,7
12,1,9:42.0,G. Hill misses 3-pt jump shot from 25 ft,,0,7
13,1,9:37.0,,Defensive rebound by T. Prince,0,7
14,1,9:22.0,,T. Prince makes 2-pt layup at rim (assist by D. Dedmon),0,9
15,1,9:18.0,Sacramento full timeout,,0,9
16,1,9:08.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by G. Temple),,3,9
17,1,8:49.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),3,12
18,1,8:27.0,G. Temple misses 3-pt jump shot from 23 ft,,3,12
19,1,8:24.0,,Defensive rebound by T. Prince,3,12
20,1,8:12.0,,L. Babbitt makes 2-pt jump shot from 4 ft (assist by D. Schröder),3,14
21,1,8:05.0,G. Temple misses 2-pt layup from 2 ft (block by D. Dedmon),,3,14
22,1,8:05.0,Offensive rebound by Team,,3,14
23,1,8:03.0,W. Cauley-Stein makes 2-pt jump shot from 19 ft (assist by Z. Randolph),,5,14
24,1,7:42.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Schröder),5,16
25,1,7:26.0,G. Temple misses 3-pt jump shot from 23 ft,,5,16
26,1,7:23.0,,Defensive rebound by D. Dedmon,5,16
27,1,7:12.0,,L. Babbitt makes 2-pt jump shot from 22 ft (assist by D. Schröder),5,18
28,1,6:49.0,Z. Randolph makes 2-pt layup from 1 ft,,7,18
29,1,6:31.0,,L. Babbitt misses 3-pt jump shot from 24 ft,7,18
30,1,6:28.0,Defensive rebound by B. Bogdanović,,7,18
31,1,6:26.0,,Violation by T. Prince (kicked ball),7,18
32,1,6:14.0,G. Hill misses 3-pt jump shot from 24 ft,,7,18
33,1,6:12.0,Offensive rebound by W. Cauley-Stein,,7,18
34,1,6:12.0,Personal foul by K. Bazemore (drawn by W. Cauley-Stein),,7,18
35,1,6:12.0,,E. İlyasova enters the game for L. Babbitt,7,18
36,1,6:01.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,7,18
37,1,5:57.0,,Defensive rebound by T. Prince,7,18
38,1,5:47.0,,Personal foul by G. Hill (drawn by D. Schröder),7,18
39,1,5:35.0,,D. Schröder misses 2-pt layup from 1 ft,7,18
40,1,5:32.0,Defensive rebound by Z. Randolph,,7,18
41,1,5:31.0,G. Hill makes 2-pt layup from 4 ft,,9,18
42,1,5:31.0,Shooting foul by K. Bazemore (drawn by G. Hill),,9,18
43,1,5:31.0,,J. Collins enters the game for D. Dedmon,9,18
44,1,5:31.0,,M. Belinelli enters the game for K. Bazemore,9,18
45,1,5:31.0,G. Hill makes free throw 1 of 1,,10,18
46,1,5:14.0,,D. Schröder makes 2-pt layup from 2 ft (assist by M. Belinelli),10,20
47,1,4:55.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,10,20
