,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,A. Crabbe misses 3-pt jump shot from 22 ft,0,0
1,1,11:36.0,Defensive rebound by J. Holiday,,0,0
2,1,11:26.0,C. Payne makes 2-pt jump shot from 20 ft (assist by L. Markkanen),,2,0
3,1,11:14.0,,D. Russell misses 3-pt jump shot from 26 ft,2,0
4,1,11:12.0,Defensive rebound by D. Nwaba,,2,0
5,1,11:07.0,J. Holiday misses 3-pt jump shot from 24 ft,,2,0
6,1,11:04.0,,Defensive rebound by R. Hollis-Jefferson,2,0
7,1,10:47.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),2,3
8,1,10:25.0,C. Payne misses 3-pt jump shot from 24 ft,,2,3
9,1,10:22.0,,Defensive rebound by R. Hollis-Jefferson,2,3
10,1,10:13.0,,D. Russell misses 3-pt jump shot from 22 ft,2,3
11,1,10:10.0,Defensive rebound by C. Felício,,2,3
12,1,9:54.0,L. Markkanen misses 2-pt jump shot from 16 ft,,2,3
13,1,9:51.0,,Defensive rebound by J. Allen,2,3
14,1,9:45.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,2,3
15,1,9:43.0,Defensive rebound by C. Payne,,2,3
16,1,9:38.0,C. Felício makes 2-pt layup from 3 ft (assist by C. Payne),,4,3
17,1,9:17.0,,Shooting foul by C. Felício (drawn by A. Crabbe),4,3
18,1,9:17.0,,A. Crabbe makes free throw 1 of 3,4,4
19,1,9:17.0,,A. Crabbe makes free throw 2 of 3,4,5
20,1,9:17.0,,A. Crabbe makes free throw 3 of 3,4,6
21,1,9:05.0,J. Holiday misses 3-pt jump shot from 22 ft,,4,6
22,1,9:02.0,,Defensive rebound by S. Dinwiddie,4,6
23,1,8:54.0,,S. Dinwiddie makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),4,8
24,1,8:39.0,Turnover by D. Nwaba (bad pass; steal by A. Crabbe),,4,8
25,1,8:33.0,,S. Dinwiddie misses 3-pt jump shot from 22 ft,4,8
26,1,8:30.0,Defensive rebound by D. Nwaba,,4,8
27,1,8:25.0,D. Nwaba misses 2-pt jump shot from 7 ft (block by A. Crabbe),,4,8
28,1,8:25.0,,Defensive rebound by Team,4,8
29,1,8:09.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Russell),4,11
30,1,8:00.0,J. Holiday misses 2-pt layup from 3 ft,,4,11
31,1,7:57.0,Offensive rebound by D. Nwaba,,4,11
32,1,7:57.0,D. Nwaba misses 2-pt layup from 1 ft (block by J. Allen),,4,11
33,1,7:57.0,,Defensive rebound by R. Hollis-Jefferson,4,11
34,1,7:53.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by C. Payne),4,11
35,1,7:47.0,Offensive foul by C. Felício (drawn by R. Hollis-Jefferson),,4,11
36,1,7:47.0,Turnover by C. Felício (offensive foul),,4,11
37,1,7:47.0,B. Portis enters the game for C. Felício,,4,11
38,1,7:38.0,,A. Crabbe makes 2-pt layup from 2 ft (assist by D. Russell),4,13
39,1,7:38.0,Chicago full timeout,,4,13
40,1,7:21.0,Turnover by C. Payne (bad pass),,4,13
41,1,7:21.0,Loose ball foul by J. Holiday (drawn by A. Crabbe),,4,13
42,1,7:11.0,,Turnover by R. Hollis-Jefferson (bad pass),4,13
43,1,7:04.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by B. Portis),,7,13
44,1,6:53.0,,Personal foul by C. Payne (drawn by D. Russell),7,13
45,1,6:49.0,,Turnover by J. Allen (traveling),7,13
46,1,6:41.0,C. Payne makes 2-pt layup from 1 ft,,9,13
47,1,6:21.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),9,16
48,1,6:07.0,J. Holiday makes 2-pt jump shot from 20 ft (assist by B. Portis),,11,16
49,1,5:59.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by L. Markkanen),11,16
50,1,5:56.0,Defensive rebound by B. Portis,,11,16
51,1,5:50.0,L. Markkanen makes 2-pt dunk at rim (assist by J. Holiday),,13,16
52,1,5:34.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Russell),13,19
53,1,5:26.0,Turnover by D. Nwaba (bad pass; steal by D. Russell),,13,19
54,1,5:24.0,,Turnover by D. Russell (lost ball; steal by C. Payne),13,19
55,1,5:18.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by C. Payne),,16,19
56,1,5:17.0,,Brooklyn full timeout,16,19
57,1,5:17.0,,N. Stauskas enters the game for S. Dinwiddie,16,19
58,1,5:17.0,,Q. Acy enters the game for R. Hollis-Jefferson,16,19
59,1,5:00.0,,D. Russell misses 3-pt jump shot from 23 ft,16,19
60,1,4:56.0,Defensive rebound by C. Payne,,16,19
61,1,4:54.0,J. Holiday makes 2-pt layup from 1 ft (assist by C. Payne),,18,19
62,1,4:33.0,,D. Russell misses 2-pt layup from 1 ft,18,19
63,1,4:29.0,Defensive rebound by J. Holiday,,18,19
64,1,4:11.0,D. Nwaba misses 2-pt layup from 1 ft,,18,19
65,1,4:09.0,Offensive rebound by B. Portis,,18,19
66,1,4:09.0,B. Portis misses 2-pt layup from 2 ft,,18,19
67,1,4:08.0,Offensive rebound by D. Nwaba,,18,19
68,1,4:02.0,D. Nwaba misses 2-pt jump shot from 7 ft,,18,19
69,1,3:59.0,Offensive rebound by D. Nwaba,,18,19
70,1,3:52.0,J. Holiday misses 3-pt jump shot from 24 ft,,18,19
71,1,3:52.0,,Defensive rebound by Q. Acy,18,19
72,1,3:44.0,,Personal foul by D. Nwaba (drawn by N. Stauskas),18,19
73,1,3:44.0,,D. Cunningham enters the game for J. Allen,18,19
74,1,3:44.0,J. Grant enters the game for J. Holiday,,18,19
75,1,3:44.0,S. Kilpatrick enters the game for D. Nwaba,,18,19
76,1,3:44.0,Ö. Aşık enters the game for L. Markkanen,,18,19
77,1,3:36.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by N. Stauskas),18,22
78,1,3:22.0,J. Grant misses 3-pt jump shot from 24 ft,,18,22
79,1,3:22.0,,Defensive rebound by A. Crabbe,18,22
80,1,3:11.0,,A. Crabbe misses 3-pt jump shot from 26 ft,18,22
81,1,3:09.0,Defensive rebound by J. Grant,,18,22
82,1,2:53.0,B. Portis misses 2-pt hook shot from 7 ft,,18,22
83,1,2:49.0,,Defensive rebound by Q. Acy,18,22
84,1,2:39.0,,D. Cunningham makes 3-pt jump shot from 22 ft (assist by D. Russell),18,25
85,1,2:12.0,Turnover by J. Grant (bad pass; steal by D. Russell),,18,25
86,1,2:08.0,,D. Russell makes 2-pt dunk at rim,18,27
87,1,2:08.0,Chicago full timeout,,18,27
88,1,2:08.0,,S. Dinwiddie enters the game for D. Russell,18,27
89,1,2:08.0,,M. Doyle enters the game for A. Crabbe,18,27
90,1,2:08.0,R. Arcidiacono enters the game for C. Payne,,18,27
91,1,1:58.0,S. Kilpatrick misses 2-pt jump shot from 12 ft (block by M. Doyle),,18,27
92,1,1:54.0,,Defensive rebound by D. Cunningham,18,27
