,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,E. Moore makes 2-pt jump shot from 5 ft (assist by J. Holiday),,2,0
1,1,11:29.0,,L. Aldridge misses 2-pt jump shot from 14 ft (block by A. Davis),2,0
2,1,11:26.0,Defensive rebound by R. Rondo,,2,0
3,1,11:12.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,4,0
4,1,10:49.0,,D. Murray misses 2-pt layup from 1 ft,4,0
5,1,10:47.0,,Offensive rebound by L. Aldridge,4,0
6,1,10:46.0,,L. Aldridge makes 2-pt layup from 1 ft,4,2
7,1,10:35.0,J. Holiday misses 2-pt layup from 3 ft (block by D. Green),,4,2
8,1,10:35.0,Offensive rebound by J. Holiday,,4,2
9,1,10:26.0,J. Holiday misses 2-pt layup at rim (block by D. Green),,4,2
10,1,10:26.0,,Defensive rebound by P. Mills,4,2
11,1,10:16.0,,L. Aldridge misses 2-pt jump shot from 17 ft,4,2
12,1,10:16.0,Defensive rebound by A. Davis,,4,2
13,1,10:01.0,R. Rondo makes 2-pt layup from 1 ft,,6,2
14,1,9:49.0,,Personal foul by J. Holiday (drawn by P. Mills),6,2
15,1,9:41.0,,D. Murray makes 2-pt jump shot from 9 ft,6,4
16,1,9:32.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),,8,4
17,1,9:07.0,,L. Aldridge makes 2-pt jump shot from 13 ft,8,6
18,1,8:50.0,J. Holiday misses 3-pt jump shot from 25 ft,,8,6
19,1,8:47.0,,Defensive rebound by K. Anderson,8,6
20,1,8:43.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by D. Green),8,9
21,1,8:21.0,J. Holiday misses 2-pt layup from 4 ft (block by D. Green),,8,9
22,1,8:18.0,,Defensive rebound by D. Murray,8,9
23,1,8:16.0,,D. Murray makes 2-pt dunk from 1 ft (assist by K. Anderson),8,11
24,1,8:06.0,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),,10,11
25,1,7:52.0,,P. Mills misses 3-pt jump shot from 25 ft,10,11
26,1,7:52.0,,Offensive rebound by D. Green,10,11
27,1,7:36.0,,L. Aldridge makes 2-pt jump shot from 15 ft,10,13
28,1,7:15.0,A. Davis misses 2-pt jump shot from 19 ft,,10,13
29,1,7:13.0,,Defensive rebound by D. Murray,10,13
30,1,7:05.0,,D. Murray makes 2-pt jump shot from 9 ft,10,15
31,1,6:54.0,R. Rondo misses 2-pt layup from 2 ft (block by D. Green),,10,15
32,1,6:51.0,,Defensive rebound by D. Murray,10,15
33,1,6:46.0,,D. Green misses 3-pt jump shot from 25 ft,10,15
34,1,6:45.0,Defensive rebound by Team,,10,15
35,1,6:45.0,,San Antonio full timeout,10,15
36,1,6:45.0,I. Clark enters the game for R. Rondo,,10,15
37,1,6:45.0,D. Miller enters the game for N. Mirotić,,10,15
38,1,6:29.0,Offensive foul by A. Davis (drawn by P. Mills),,10,15
39,1,6:29.0,Turnover by A. Davis (offensive foul),,10,15
40,1,6:09.0,,L. Aldridge makes 2-pt layup from 4 ft,10,17
41,1,5:56.0,E. Moore misses 2-pt layup from 8 ft (block by K. Anderson),,10,17
42,1,5:53.0,,Defensive rebound by K. Anderson,10,17
43,1,5:38.0,,D. Murray makes 3-pt jump shot from 23 ft (assist by D. Green),10,20
44,1,5:11.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Miller),,13,20
