,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,11:46.0,,V. Oladipo misses 2-pt jump shot from 19 ft,0,0
1,1,11:43.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:36.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,0
3,1,11:23.0,,B. Bogdanović misses 2-pt jump shot from 6 ft,3,0
4,1,11:20.0,Defensive rebound by S. Ibaka,,3,0
5,1,11:05.0,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),,5,0
6,1,10:56.0,,C. Joseph misses 2-pt jump shot from 18 ft,5,0
7,1,10:54.0,Defensive rebound by M. Miller,,5,0
8,1,10:46.0,Turnover by D. DeRozan (bad pass; steal by V. Oladipo),,5,0
9,1,10:41.0,,C. Joseph misses 3-pt jump shot from 25 ft,5,0
10,1,10:38.0,Defensive rebound by M. Miller,,5,0
11,1,10:14.0,Turnover by S. Ibaka (lost ball; steal by T. Young),,5,0
12,1,10:08.0,,V. Oladipo makes 2-pt layup at rim (assist by B. Bogdanović),5,2
13,1,9:49.0,S. Ibaka misses 2-pt layup from 1 ft,,5,2
14,1,9:45.0,,Defensive rebound by C. Joseph,5,2
15,1,9:41.0,,T. Young misses 2-pt layup at rim (block by J. Valančiūnas),5,2
16,1,9:38.0,Defensive rebound by S. Ibaka,,5,2
17,1,9:26.0,D. DeRozan makes 2-pt jump shot from 12 ft,,7,2
18,1,9:02.0,,C. Joseph makes 2-pt jump shot from 10 ft,7,4
19,1,8:51.0,Shooting foul by V. Oladipo (drawn by J. Valančiūnas),,7,4
20,1,8:51.0,J. Valančiūnas makes free throw 1 of 2,,8,4
21,1,8:51.0,J. Valančiūnas makes free throw 2 of 2,,9,4
22,1,8:43.0,,B. Bogdanović misses 2-pt layup at rim (block by J. Valančiūnas),9,4
23,1,8:41.0,Defensive rebound by M. Miller,,9,4
24,1,8:32.0,M. Miller makes 2-pt dunk at rim (assist by D. DeRozan),,11,4
25,1,8:24.0,,V. Oladipo makes 3-pt jump shot from 25 ft,11,7
26,1,8:10.0,D. DeRozan misses 2-pt layup from 6 ft,,11,7
27,1,8:09.0,,Defensive rebound by C. Joseph,11,7
28,1,8:00.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by V. Oladipo),11,10
29,1,7:33.0,,Offensive charge foul by S. Ibaka (drawn by C. Joseph),11,10
30,1,7:33.0,Turnover by S. Ibaka (offensive foul),,11,10
31,1,7:21.0,,V. Oladipo misses 2-pt jump shot from 17 ft (block by M. Miller),11,10
32,1,7:17.0,Defensive rebound by K. Lowry,,11,10
33,1,7:12.0,K. Lowry misses 2-pt layup from 3 ft,,11,10
34,1,7:11.0,,Defensive rebound by V. Oladipo,11,10
35,1,6:52.0,,T. Young makes 2-pt layup at rim (assist by C. Joseph),11,12
36,1,6:28.0,J. Valančiūnas misses 2-pt layup from 5 ft (block by M. Turner),,11,12
37,1,6:24.0,,Defensive rebound by T. Young,11,12
38,1,6:23.0,,C. Joseph misses 3-pt jump shot from 27 ft,11,12
39,1,6:19.0,Defensive rebound by D. DeRozan,,11,12
40,1,6:07.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,14,12
41,1,6:01.0,,Indiana full timeout,14,12
42,1,5:54.0,,Shooting foul by J. Valančiūnas (drawn by B. Bogdanović),14,12
43,1,5:54.0,,B. Bogdanović makes free throw 1 of 2,14,13
44,1,5:54.0,,B. Bogdanović makes free throw 2 of 2,14,14
45,1,5:36.0,Turnover by K. Lowry (bad pass; steal by T. Young),,14,14
46,1,5:26.0,,T. Young misses 3-pt jump shot from 27 ft,14,14
47,1,5:22.0,Defensive rebound by S. Ibaka,,14,14
48,1,5:08.0,Personal block foul by M. Turner (drawn by D. DeRozan),,14,14
49,1,4:55.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by J. Valančiūnas),,16,14
50,1,4:28.0,,V. Oladipo makes 2-pt jump shot from 17 ft,16,16
51,1,4:13.0,D. DeRozan makes 3-pt jump shot from 27 ft,,19,16
