,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:38.0,Turnover by J. Nurkić (lost ball; steal by D. Nowitzki),,0,0
1,1,11:33.0,,D. Smith makes 2-pt jump shot from 19 ft,0,2
2,1,11:16.0,E. Turner misses 2-pt jump shot from 17 ft,,0,2
3,1,11:14.0,,Defensive rebound by D. Nowitzki,0,2
4,1,11:00.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,0,2
5,1,10:56.0,,Offensive rebound by D. Powell,0,2
6,1,10:45.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,0,2
7,1,10:42.0,Defensive rebound by D. Lillard,,0,2
8,1,10:33.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,2,2
9,1,10:18.0,,Turnover by H. Barnes (bad pass; steal by C. McCollum),2,2
10,1,10:06.0,C. McCollum misses 2-pt jump shot from 8 ft,,2,2
11,1,10:03.0,Offensive rebound by J. Nurkić,,2,2
12,1,10:01.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,2
13,1,9:59.0,,Defensive rebound by J. Barea,2,2
14,1,9:53.0,,D. Smith misses 3-pt jump shot from 26 ft,2,2
15,1,9:50.0,Defensive rebound by E. Turner,,2,2
16,1,9:44.0,D. Lillard misses 2-pt jump shot from 16 ft,,2,2
17,1,9:41.0,,Defensive rebound by D. Smith,2,2
18,1,9:32.0,,J. Barea misses 2-pt jump shot from 12 ft,2,2
19,1,9:32.0,Defensive rebound by J. Nurkić,,2,2
20,1,9:22.0,D. Lillard misses 3-pt jump shot from 26 ft,,2,2
21,1,9:19.0,,Defensive rebound by D. Smith,2,2
22,1,9:10.0,,D. Powell makes 3-pt jump shot from 24 ft (assist by D. Smith),2,5
23,1,8:47.0,A. Aminu misses 3-pt jump shot from 24 ft,,2,5
24,1,8:44.0,,Defensive rebound by D. Powell,2,5
25,1,8:38.0,,Personal foul by E. Turner (drawn by D. Powell),2,5
26,1,8:24.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,2,5
27,1,8:20.0,Defensive rebound by C. McCollum,,2,5
28,1,8:14.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,5,5
29,1,7:56.0,,Turnover by J. Barea (bad pass; steal by A. Aminu),5,5
30,1,7:47.0,A. Aminu misses 3-pt jump shot from 24 ft,,5,5
31,1,7:44.0,,Defensive rebound by D. Smith,5,5
32,1,7:38.0,,J. Barea makes 2-pt layup at rim,5,7
33,1,7:18.0,J. Nurkić makes 2-pt jump shot from 22 ft (assist by A. Aminu),,7,7
34,1,7:02.0,,D. Powell misses 2-pt layup from 2 ft (block by J. Nurkić),7,7
35,1,7:02.0,Defensive rebound by A. Aminu,,7,7
36,1,6:47.0,J. Nurkić makes 2-pt layup at rim,,9,7
37,1,6:46.0,,Dallas full timeout,9,7
38,1,6:30.0,,H. Barnes makes 2-pt jump shot from 9 ft (assist by D. Nowitzki),9,9
39,1,6:12.0,Turnover by J. Nurkić (bad pass; steal by D. Powell),,9,9
40,1,6:08.0,,J. Barea makes 3-pt jump shot from 24 ft (assist by D. Powell),9,12
41,1,5:52.0,Shooting block foul by J. Barea (drawn by D. Lillard),,9,12
42,1,5:52.0,D. Lillard makes free throw 1 of 2,,10,12
43,1,5:52.0,D. Lillard makes free throw 2 of 2,,11,12
