,QUARTER,TIME_REMAINING,DENVER_ACTION,MIAMI_ACTION,DENVER_SCORE,MIAMI_SCORE
0,1,11:45.0,Shooting foul by B. Adebayo (drawn by N. Jokić),,0,0
1,1,11:45.0,N. Jokić makes free throw 1 of 2,,1,0
2,1,11:45.0,N. Jokić makes free throw 2 of 2,,2,0
3,1,11:32.0,,J. Johnson makes 2-pt jump shot from 2 ft (assist by J. Richardson),2,2
4,1,11:07.0,W. Barton makes 3-pt jump shot from 23 ft,,5,2
5,1,10:57.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),5,5
6,1,10:41.0,N. Jokić makes 2-pt layup from 1 ft,,7,5
7,1,10:30.0,,Turnover by B. Adebayo (lost ball; steal by P. Millsap),7,5
8,1,10:16.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by W. Barton),,10,5
9,1,10:00.0,,J. Richardson misses 2-pt jump shot from 3 ft,10,5
10,1,9:55.0,Defensive rebound by W. Chandler,,10,5
11,1,9:50.0,W. Chandler makes 2-pt layup from 2 ft,,12,5
12,1,9:24.0,,T. Johnson misses 2-pt jump shot from 13 ft,12,5
13,1,9:20.0,Defensive rebound by J. Murray,,12,5
14,1,9:10.0,P. Millsap misses 2-pt layup from 1 ft (block by J. Johnson),,12,5
15,1,9:10.0,Offensive rebound by Team,,12,5
16,1,9:05.0,P. Millsap misses 2-pt jump shot from 14 ft,,12,5
17,1,9:02.0,Offensive rebound by J. Murray,,12,5
18,1,9:00.0,W. Barton misses 3-pt jump shot from 25 ft,,12,5
19,1,8:58.0,,Defensive rebound by J. Richardson,12,5
20,1,8:55.0,,G. Dragić misses 3-pt jump shot from 25 ft,12,5
21,1,8:50.0,Defensive rebound by W. Barton,,12,5
22,1,8:47.0,W. Barton makes 2-pt layup from 1 ft,,14,5
23,1,8:47.0,,Miami full timeout,14,5
24,1,8:30.0,,Turnover by G. Dragić (bad pass; steal by W. Barton),14,5
25,1,8:26.0,Shooting foul by J. Johnson (drawn by W. Barton),,14,5
26,1,8:26.0,W. Barton makes free throw 1 of 2,,15,5
27,1,8:26.0,W. Barton makes free throw 2 of 2,,16,5
28,1,8:15.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),16,8
29,1,7:55.0,N. Jokić misses 2-pt jump shot from 12 ft,,16,8
30,1,7:52.0,,Defensive rebound by J. Johnson,16,8
31,1,7:42.0,,G. Dragić misses 2-pt jump shot from 10 ft,16,8
32,1,7:37.0,,Offensive rebound by B. Adebayo,16,8
33,1,7:37.0,,B. Adebayo misses 2-pt layup at rim,16,8
34,1,7:37.0,,Offensive rebound by B. Adebayo,16,8
35,1,7:35.0,,B. Adebayo misses 2-pt layup from 2 ft,16,8
36,1,7:34.0,,Offensive rebound by B. Adebayo,16,8
37,1,7:33.0,,B. Adebayo makes 2-pt layup at rim,16,10
38,1,7:20.0,N. Jokić makes 2-pt layup from 1 ft,,18,10
39,1,7:00.0,,B. Adebayo misses 2-pt jump shot from 4 ft,18,10
40,1,6:58.0,Defensive rebound by P. Millsap,,18,10
41,1,6:54.0,N. Jokić misses 2-pt layup at rim (block by J. Richardson),,18,10
42,1,6:50.0,,Defensive rebound by J. Johnson,18,10
43,1,6:44.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),18,13
44,1,6:18.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by J. Murray),,21,13
45,1,6:05.0,,J. Johnson makes 2-pt jump shot from 5 ft,21,15
46,1,5:58.0,Shooting foul by J. Richardson (drawn by W. Chandler),,21,15
47,1,5:58.0,W. Chandler makes free throw 1 of 2,,22,15
48,1,5:58.0,,K. Olynyk enters the game for J. Richardson,22,15
49,1,5:58.0,,J. Winslow enters the game for B. Adebayo,22,15
50,1,5:58.0,M. Plumlee enters the game for N. Jokić,,22,15
51,1,5:58.0,W. Chandler misses free throw 2 of 2,,22,15
52,1,5:55.0,,Defensive rebound by K. Olynyk,22,15
53,1,5:38.0,,J. Winslow makes 2-pt jump shot from 5 ft,22,17
54,1,5:29.0,W. Barton misses 2-pt jump shot from 4 ft,,22,17
55,1,5:25.0,,Defensive rebound by T. Johnson,22,17
56,1,5:22.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Johnson),22,19
57,1,5:22.0,Denver full timeout,,22,19
58,1,5:22.0,D. Harris enters the game for J. Murray,,22,19
59,1,4:59.0,P. Millsap makes 2-pt jump shot from 10 ft,,24,19
60,1,4:42.0,,G. Dragić makes 2-pt layup from 1 ft (assist by K. Olynyk),24,21
61,1,4:25.0,P. Millsap makes 2-pt jump shot from 9 ft,,26,21
62,1,4:15.0,,T. Johnson makes 2-pt layup from 1 ft (assist by G. Dragić),26,23
63,1,4:07.0,P. Millsap misses 2-pt jump shot from 8 ft,,26,23
64,1,4:05.0,,Defensive rebound by J. Winslow,26,23
65,1,4:02.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by J. Winslow),26,26
66,1,3:33.0,Turnover by Team (shot clock),,26,26
67,1,3:20.0,,Turnover by J. Winslow (lost ball; steal by W. Chandler),26,26
68,1,3:15.0,W. Chandler makes 2-pt layup from 1 ft,,28,26
69,1,2:58.0,,T. Johnson misses 2-pt jump shot from 2 ft,28,26
70,1,2:58.0,Defensive rebound by Team,,28,26
71,1,2:58.0,,J. Richardson enters the game for G. Dragić,28,26
72,1,2:58.0,N. Jokić enters the game for P. Millsap,,28,26
73,1,2:58.0,J. Murray enters the game for W. Barton,,28,26
74,1,2:47.0,N. Jokić makes 2-pt jump shot from 5 ft (assist by D. Harris),,30,26
75,1,2:34.0,,J. Johnson misses 2-pt jump shot from 20 ft,30,26
76,1,2:30.0,Defensive rebound by J. Murray,,30,26
77,1,2:21.0,Turnover by W. Chandler (lost ball; steal by J. Winslow),,30,26
78,1,2:18.0,,Shooting foul by W. Chandler (drawn by J. Richardson),30,26
79,1,2:18.0,,J. Richardson makes free throw 1 of 2,30,27
80,1,2:18.0,,B. Adebayo enters the game for T. Johnson,30,27
81,1,2:18.0,,W. Ellington enters the game for J. Johnson,30,27
82,1,2:18.0,,J. Richardson makes free throw 2 of 2,30,28
83,1,2:18.0,T. Craig enters the game for W. Chandler,,30,28
84,1,2:08.0,D. Harris makes 3-pt jump shot from 25 ft,,33,28
85,1,1:40.0,,J. Winslow makes 2-pt jump shot from 17 ft,33,30
86,1,1:33.0,Shooting foul by K. Olynyk (drawn by D. Harris),,33,30
87,1,1:33.0,D. Harris makes free throw 1 of 2,,34,30
88,1,1:33.0,D. Harris makes free throw 2 of 2,,35,30
89,1,1:26.0,,J. Richardson makes 2-pt jump shot from 1 ft,35,32
90,1,1:26.0,,Shooting foul by J. Murray (drawn by J. Richardson),35,32
91,1,1:26.0,,J. Richardson makes free throw 1 of 1,35,33
92,1,1:19.0,T. Craig misses 2-pt layup from 1 ft (block by K. Olynyk),,35,33
93,1,1:15.0,,Defensive rebound by W. Ellington,35,33
94,1,1:09.0,,Personal foul by J. Murray (drawn by K. Olynyk),35,33
95,1,1:09.0,,K. Olynyk misses free throw 1 of 2,35,33
96,1,1:09.0,,Offensive rebound by Team,35,33
97,1,1:09.0,,K. Olynyk makes free throw 2 of 2,35,34
98,1,0:53.0,Turnover by D. Harris (bad pass),,35,34
99,1,0:53.0,W. Barton enters the game for J. Murray,,35,34
100,1,0:44.0,,J. Richardson makes 2-pt layup from 2 ft,35,36
101,1,0:33.0,Turnover by T. Craig (bad pass),,35,36
102,1,0:06.0,,J. Winslow misses 3-pt jump shot from 23 ft,35,36
103,1,0:04.0,Defensive rebound by N. Jokić,,35,36
104,1,0:01.0,N. Jokić makes 2-pt layup from 1 ft (assist by W. Barton),,37,36
105,2,11:43.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Adebayo),37,39
106,2,11:20.0,T. Craig makes 3-pt jump shot from 23 ft (assist by D. Harris),,40,39
107,2,11:03.0,,J. Richardson misses 3-pt jump shot from 24 ft,40,39
108,2,11:02.0,,Offensive rebound by Team,40,39
109,2,11:02.0,,Personal foul by W. Barton (drawn by K. Olynyk),40,39
110,2,10:59.0,,Personal foul by W. Barton (drawn by J. Richardson),40,39
111,2,10:47.0,,B. Adebayo misses 2-pt hook shot from 4 ft,40,39
