,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:42.0,M. Gortat misses 2-pt hook shot from 10 ft (block by A. Drummond),,0,0
1,1,11:38.0,Offensive rebound by B. Beal,,0,0
2,1,11:37.0,J. Wall misses 3-pt jump shot from 23 ft,,0,0
3,1,11:33.0,,Defensive rebound by A. Bradley,0,0
4,1,11:20.0,,R. Bullock misses 3-pt jump shot from 26 ft,0,0
5,1,11:17.0,Defensive rebound by M. Gortat,,0,0
6,1,11:06.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,3,0
7,1,10:45.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by A. Drummond),3,2
8,1,10:30.0,M. Morris makes 2-pt jump shot from 14 ft (assist by O. Porter),,5,2
9,1,10:15.0,,A. Bradley misses 2-pt layup from 1 ft,5,2
10,1,10:14.0,Defensive rebound by M. Gortat,,5,2
11,1,10:06.0,M. Morris misses 3-pt jump shot from 25 ft,,5,2
12,1,10:04.0,,Defensive rebound by I. Smith,5,2
13,1,9:58.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by I. Smith),5,5
14,1,9:35.0,M. Gortat misses 2-pt hook shot from 9 ft,,5,5
15,1,9:33.0,,Defensive rebound by T. Harris,5,5
16,1,9:23.0,,A. Bradley makes 2-pt jump shot from 11 ft (assist by R. Bullock),5,7
17,1,8:59.0,M. Morris misses 3-pt jump shot from 22 ft,,5,7
18,1,8:56.0,,Defensive rebound by A. Drummond,5,7
19,1,8:46.0,,T. Harris makes 2-pt dunk from 2 ft (assist by A. Drummond),5,9
20,1,8:31.0,Turnover by J. Wall (bad pass; steal by A. Drummond),,5,9
21,1,8:27.0,,Turnover by I. Smith (bad pass; steal by B. Beal),5,9
22,1,8:20.0,B. Beal misses 3-pt jump shot from 24 ft,,5,9
23,1,8:17.0,Offensive rebound by Team,,5,9
24,1,8:07.0,J. Wall misses 2-pt jump shot from 20 ft,,5,9
25,1,8:05.0,,Defensive rebound by T. Harris,5,9
26,1,7:59.0,,T. Harris makes 2-pt jump shot from 15 ft,5,11
27,1,7:54.0,Washington full timeout,,5,11
28,1,7:54.0,I. Mahinmi enters the game for M. Gortat,,5,11
29,1,7:40.0,M. Morris misses 2-pt jump shot from 21 ft,,5,11
30,1,7:38.0,,Defensive rebound by A. Drummond,5,11
31,1,7:26.0,,I. Smith makes 2-pt jump shot from 19 ft (assist by A. Drummond),5,13
32,1,7:14.0,Offensive foul by I. Mahinmi (drawn by I. Smith),,5,13
33,1,7:14.0,Turnover by I. Mahinmi (offensive foul),,5,13
34,1,7:01.0,,T. Harris misses 2-pt jump shot from 14 ft,5,13
35,1,6:57.0,,Offensive rebound by A. Drummond,5,13
36,1,6:50.0,,A. Bradley misses 2-pt jump shot from 17 ft,5,13
37,1,6:47.0,,Offensive rebound by Team,5,13
38,1,6:38.0,,T. Harris misses 2-pt jump shot from 16 ft,5,13
39,1,6:36.0,Defensive rebound by M. Morris,,5,13
40,1,6:14.0,M. Morris misses 3-pt jump shot from 25 ft,,5,13
41,1,6:12.0,,Defensive rebound by A. Drummond,5,13
42,1,6:02.0,,Shooting foul by M. Morris (drawn by A. Drummond),5,13
43,1,6:02.0,,A. Drummond makes free throw 1 of 2,5,14
44,1,6:02.0,,A. Drummond misses free throw 2 of 2,5,14
45,1,6:00.0,Defensive rebound by O. Porter,,5,14
46,1,5:44.0,O. Porter makes 3-pt jump shot from 24 ft (assist by B. Beal),,8,14
47,1,5:29.0,,Turnover by A. Drummond (bad pass; steal by O. Porter),8,14
48,1,5:25.0,O. Porter makes 2-pt dunk at rim,,10,14
49,1,5:10.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Harris),10,17
50,1,4:50.0,Turnover by J. Wall (bad pass; steal by T. Harris),,10,17
51,1,4:46.0,,A. Bradley makes 2-pt layup at rim,10,19
52,1,4:27.0,O. Porter misses 2-pt jump shot from 14 ft,,10,19
53,1,4:23.0,Offensive rebound by O. Porter,,10,19
54,1,4:20.0,J. Wall misses 3-pt jump shot from 26 ft,,10,19
55,1,4:17.0,,Defensive rebound by A. Bradley,10,19
56,1,4:09.0,,T. Harris misses 3-pt jump shot from 25 ft,10,19
57,1,4:05.0,,Offensive rebound by A. Drummond,10,19
58,1,4:03.0,,A. Drummond makes 2-pt layup at rim,10,21
59,1,3:47.0,M. Morris misses 2-pt hook shot from 10 ft,,10,21
60,1,3:46.0,,Defensive rebound by A. Drummond,10,21
61,1,3:40.0,,I. Smith makes 2-pt jump shot from 8 ft,10,23
62,1,3:39.0,Washington full timeout,,10,23
63,1,3:39.0,,D. Buycks enters the game for I. Smith,10,23
64,1,3:39.0,,L. Kennard enters the game for R. Bullock,10,23
65,1,3:39.0,K. Oubre enters the game for M. Morris,,10,23
66,1,3:39.0,T. Satoranský enters the game for O. Porter,,10,23
67,1,3:25.0,Turnover by J. Wall (bad pass; steal by D. Buycks),,10,23
68,1,3:20.0,,D. Buycks makes 2-pt layup at rim,10,25
69,1,3:12.0,I. Mahinmi makes 2-pt dunk at rim (assist by T. Satoranský),,12,25
70,1,2:51.0,,Turnover by A. Drummond (bad pass; steal by T. Satoranský),12,25
71,1,2:42.0,Shooting foul by L. Kennard (drawn by B. Beal),,12,25
72,1,2:42.0,B. Beal makes free throw 1 of 2,,13,25
73,1,2:42.0,B. Beal makes free throw 2 of 2,,14,25
74,1,2:42.0,J. Meeks enters the game for J. Wall,,14,25
75,1,2:26.0,,A. Bradley makes 2-pt jump shot from 16 ft (assist by A. Drummond),14,27
76,1,1:59.0,J. Meeks misses 3-pt jump shot from 24 ft,,14,27
77,1,1:57.0,,Defensive rebound by A. Drummond,14,27
78,1,1:48.0,,T. Harris misses 2-pt jump shot from 1 ft (block by I. Mahinmi),14,27
79,1,1:47.0,Defensive rebound by Team,,14,27
80,1,1:37.0,Turnover by I. Mahinmi (bad pass),,14,27
81,1,1:17.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by L. Kennard),14,29
82,1,0:58.0,K. Oubre makes 3-pt jump shot from 22 ft (assist by B. Beal),,17,29
83,1,0:47.0,,D. Buycks misses 2-pt layup from 1 ft (block by T. Satoranský),17,29
84,1,0:43.0,Defensive rebound by B. Beal,,17,29
85,1,0:32.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Meeks),,19,29
86,1,0:12.0,,Turnover by T. Harris (lost ball; steal by I. Mahinmi),19,29
87,1,0:12.0,Personal foul by T. Harris (drawn by I. Mahinmi),,19,29
88,1,0:12.0,,L. Galloway enters the game for A. Bradley,19,29
89,1,0:01.0,I. Mahinmi misses 2-pt jump shot from 2 ft,,19,29
90,1,0:01.0,,Defensive rebound by T. Harris,19,29
91,2,11:43.0,,Turnover by A. Tolliver (lost ball; steal by O. Porter),19,29
92,2,11:38.0,J. Meeks makes 2-pt layup from 1 ft,,21,29
93,2,11:38.0,,Violation by E. Moreland (def goaltending),21,29
94,2,11:23.0,,Shooting foul by K. Oubre (drawn by A. Tolliver),21,29
95,2,11:23.0,,A. Tolliver makes free throw 1 of 2,21,30
96,2,11:23.0,,A. Tolliver makes free throw 2 of 2,21,31
97,2,11:10.0,M. Scott makes 2-pt jump shot from 14 ft (assist by J. Meeks),,23,31
98,2,10:57.0,,Turnover by D. Buycks (bad pass; steal by J. Meeks),23,31
99,2,10:53.0,J. Meeks makes 2-pt layup at rim,,25,31
100,2,10:35.0,,Turnover by A. Tolliver (bad pass),25,31
101,2,10:26.0,J. Meeks misses 3-pt jump shot from 24 ft,,25,31
102,2,10:22.0,,Defensive rebound by A. Tolliver,25,31
103,2,10:12.0,,E. Moreland makes 2-pt hook shot from 8 ft,25,33
