,QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
0,1,11:39.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),0,2
1,1,11:17.0,J. Winslow misses 2-pt layup from 3 ft (block by D. Favors),,0,2
2,1,11:17.0,,Defensive rebound by J. Ingles,0,2
3,1,11:04.0,,D. Mitchell makes 2-pt layup from 1 ft,0,4
4,1,10:45.0,J. Winslow misses 3-pt jump shot from 23 ft,,0,4
5,1,10:43.0,Offensive rebound by H. Whiteside,,0,4
6,1,10:40.0,D. Waiters misses 2-pt jump shot from 3 ft,,0,4
7,1,10:38.0,,Defensive rebound by D. Mitchell,0,4
8,1,10:34.0,,J. Ingles misses 3-pt jump shot from 25 ft,0,4
9,1,10:29.0,Defensive rebound by H. Whiteside,,0,4
10,1,10:22.0,G. Dragić makes 2-pt jump shot from 13 ft,,2,4
11,1,10:08.0,,D. Mitchell misses 2-pt jump shot from 15 ft,2,4
12,1,10:03.0,Defensive rebound by J. Winslow,,2,4
13,1,9:57.0,G. Dragić misses 2-pt layup from 7 ft,,2,4
14,1,9:55.0,,Defensive rebound by R. Gobert,2,4
15,1,9:35.0,,D. Mitchell misses 2-pt layup from 1 ft (block by H. Whiteside),2,4
16,1,9:35.0,,Offensive rebound by Team,2,4
17,1,9:35.0,,Personal foul by D. Waiters (drawn by R. Gobert),2,4
18,1,9:32.0,,Turnover by R. Rubio (bad pass; steal by H. Whiteside),2,4
19,1,9:28.0,G. Dragić misses 3-pt jump shot from 23 ft,,2,4
20,1,9:22.0,,Defensive rebound by R. Rubio,2,4
21,1,9:18.0,,Shooting foul by J. Richardson (drawn by R. Rubio),2,4
22,1,9:18.0,,R. Rubio makes free throw 1 of 2,2,5
23,1,9:18.0,,R. Rubio makes free throw 2 of 2,2,6
24,1,9:03.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,5,6
25,1,8:43.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),5,8
26,1,8:29.0,Turnover by G. Dragić (lost ball; steal by J. Ingles),,5,8
27,1,8:25.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),5,10
28,1,7:58.0,Turnover by D. Waiters (bad pass; steal by J. Ingles),,5,10
29,1,7:56.0,,Turnover by J. Ingles (bad pass),5,10
30,1,7:46.0,H. Whiteside misses 2-pt jump shot from 19 ft,,5,10
