,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
0,1,11:38.0,G. Temple makes 2-pt jump shot from 15 ft,,2,0
1,1,11:23.0,,C. Miles makes 3-pt jump shot from 28 ft (assist by D. DeRozan),2,3
2,1,10:58.0,V. Carter makes 2-pt jump shot from 17 ft (assist by K. Koufos),,4,3
3,1,10:38.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),4,6
4,1,10:20.0,V. Carter misses 2-pt jump shot from 16 ft,,4,6
5,1,10:18.0,,Defensive rebound by J. Valančiūnas,4,6
6,1,10:07.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,4,6
7,1,10:04.0,Defensive rebound by W. Cauley-Stein,,4,6
8,1,9:57.0,G. Temple makes 2-pt hook shot from 5 ft (assist by K. Koufos),,6,6
9,1,9:31.0,,C. Miles misses 3-pt jump shot from 25 ft,6,6
10,1,9:28.0,,Offensive rebound by J. Valančiūnas,6,6
11,1,9:28.0,,J. Valančiūnas misses 2-pt layup at rim (block by W. Cauley-Stein),6,6
12,1,9:28.0,,Offensive rebound by Team,6,6
13,1,9:23.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),6,9
14,1,9:03.0,G. Hill makes 2-pt layup at rim,,8,9
15,1,8:50.0,,Shooting foul by V. Carter (drawn by C. Miles),8,9
16,1,8:50.0,,C. Miles makes free throw 1 of 2,8,10
17,1,8:50.0,,C. Miles makes free throw 2 of 2,8,11
18,1,8:43.0,G. Temple misses 3-pt jump shot from 30 ft,,8,11
19,1,8:39.0,Offensive rebound by K. Koufos,,8,11
20,1,8:32.0,Turnover by G. Temple (bad pass; steal by K. Lowry),,8,11
21,1,8:27.0,,D. DeRozan misses 2-pt layup from 3 ft (block by V. Carter),8,11
22,1,8:24.0,Defensive rebound by K. Koufos,,8,11
23,1,8:21.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by G. Temple),,10,11
24,1,8:01.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),10,14
25,1,7:50.0,Personal foul by C. Miles (drawn by V. Carter),,10,14
26,1,7:41.0,Shooting foul by O. Anunoby (drawn by W. Cauley-Stein),,10,14
27,1,7:41.0,W. Cauley-Stein makes free throw 1 of 2,,11,14
28,1,7:41.0,W. Cauley-Stein makes free throw 2 of 2,,12,14
29,1,7:22.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,12,14
30,1,7:22.0,,Offensive rebound by J. Valančiūnas,12,14
31,1,7:22.0,,Shooting foul by W. Cauley-Stein (drawn by J. Valančiūnas),12,14
32,1,7:22.0,,J. Valančiūnas makes free throw 1 of 2,12,15
33,1,7:22.0,,J. Valančiūnas makes free throw 2 of 2,12,16
34,1,7:11.0,G. Temple makes 2-pt jump shot from 18 ft (assist by K. Koufos),,14,16
35,1,6:58.0,,Personal foul by V. Carter (drawn by O. Anunoby),14,16
36,1,6:58.0,,Toronto full timeout,14,16
37,1,6:47.0,,K. Lowry misses 3-pt jump shot from 30 ft,14,16
38,1,6:43.0,Defensive rebound by W. Cauley-Stein,,14,16
39,1,6:27.0,Shooting foul by O. Anunoby (drawn by G. Temple),,14,16
40,1,6:27.0,G. Temple makes free throw 1 of 2,,15,16
41,1,6:27.0,,P. Siakam enters the game for O. Anunoby,15,16
42,1,6:27.0,G. Temple makes free throw 2 of 2,,16,16
43,1,6:16.0,,D. DeRozan makes 2-pt jump shot from 20 ft (assist by K. Lowry),16,18
44,1,6:04.0,K. Koufos makes 2-pt hook shot from 1 ft (assist by G. Hill),,18,18
45,1,5:53.0,,Turnover by D. DeRozan (bad pass),18,18
46,1,5:53.0,B. Bogdanović enters the game for V. Carter,,18,18
47,1,5:38.0,Shooting foul by C. Miles (drawn by G. Hill),,18,18
48,1,5:38.0,G. Hill misses free throw 1 of 2,,18,18
49,1,5:38.0,Offensive rebound by Team,,18,18
50,1,5:38.0,,N. Powell enters the game for C. Miles,18,18
51,1,5:38.0,G. Hill misses free throw 2 of 2,,18,18
52,1,5:34.0,,Defensive rebound by P. Siakam,18,18
53,1,5:19.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,18,20
54,1,4:58.0,K. Koufos makes 2-pt layup from 2 ft (assist by B. Bogdanović),,20,20
55,1,4:48.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),20,22
