,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:44.0,,C. Capela misses 2-pt hook shot from 7 ft,0,0
1,1,11:41.0,Defensive rebound by R. Gobert,,0,0
2,1,11:33.0,Turnover by D. Favors (traveling),,0,0
3,1,11:23.0,,Turnover by E. Gordon (traveling),0,0
4,1,11:20.0,,Turnover by C. Capela (traveling),0,0
5,1,11:11.0,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Hood),,3,0
6,1,10:56.0,,T. Ariza misses 3-pt jump shot from 24 ft,3,0
7,1,10:53.0,Defensive rebound by J. Ingles,,3,0
8,1,10:36.0,D. Favors makes 2-pt jump shot from 20 ft (assist by J. Ingles),,5,0
9,1,10:24.0,,Turnover by E. Gordon (out of bounds lost ball),5,0
10,1,10:09.0,R. Rubio misses 3-pt jump shot from 25 ft,,5,0
11,1,10:08.0,,Defensive rebound by Team,5,0
12,1,9:53.0,,J. Harden makes 2-pt jump shot from 13 ft,5,2
13,1,9:37.0,Shooting foul by E. Gordon (drawn by D. Favors),,5,2
14,1,9:37.0,D. Favors makes free throw 1 of 2,,6,2
15,1,9:37.0,D. Favors makes free throw 2 of 2,,7,2
16,1,9:25.0,,Turnover by J. Harden (bad pass; steal by J. Ingles),7,2
17,1,9:19.0,J. Ingles makes 3-pt jump shot from 25 ft,,10,2
18,1,8:50.0,,C. Capela makes 2-pt dunk at rim (assist by E. Gordon),10,4
19,1,8:41.0,R. Hood misses 3-pt jump shot from 22 ft,,10,4
20,1,8:41.0,Offensive rebound by Team,,10,4
21,1,8:33.0,R. Hood misses 3-pt jump shot from 24 ft,,10,4
22,1,8:30.0,,Defensive rebound by E. Gordon,10,4
23,1,8:29.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Harden),10,7
24,1,8:18.0,R. Rubio misses 3-pt jump shot from 28 ft,,10,7
25,1,8:15.0,,Defensive rebound by E. Gordon,10,7
26,1,8:14.0,,Personal foul by J. Ingles (drawn by J. Harden),10,7
27,1,8:05.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Capela),10,10
28,1,7:41.0,R. Gobert misses 2-pt jump shot from 6 ft (block by R. Anderson),,10,10
29,1,7:41.0,,Defensive rebound by C. Capela,10,10
30,1,7:26.0,,J. Harden makes 2-pt jump shot from 14 ft,10,12
31,1,7:05.0,R. Rubio misses 2-pt jump shot from 14 ft,,10,12
32,1,7:00.0,,Defensive rebound by R. Anderson,10,12
33,1,6:50.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),10,15
34,1,6:26.0,,Houston full timeout,10,15
35,1,6:26.0,D. Mitchell enters the game for R. Rubio,,10,15
36,1,6:25.0,Shooting foul by E. Gordon (drawn by D. Mitchell),,10,15
37,1,6:25.0,D. Mitchell makes free throw 1 of 2,,11,15
38,1,6:25.0,,L. Mbah a Moute enters the game for E. Gordon,11,15
39,1,6:25.0,T. Sefolosha enters the game for D. Favors,,11,15
40,1,6:25.0,D. Mitchell makes free throw 2 of 2,,12,15
41,1,6:03.0,,T. Ariza misses 3-pt jump shot from 24 ft,12,15
42,1,5:59.0,,Offensive rebound by C. Capela,12,15
43,1,5:57.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Capela),12,18
44,1,5:45.0,R. Gobert makes 2-pt layup at rim,,14,18
45,1,5:33.0,,L. Mbah a Moute misses 3-pt jump shot from 23 ft,14,18
46,1,5:33.0,Defensive rebound by T. Sefolosha,,14,18
47,1,5:08.0,T. Sefolosha misses 3-pt jump shot from 22 ft,,14,18
48,1,5:06.0,,Defensive rebound by C. Capela,14,18
49,1,4:45.0,,R. Anderson misses 3-pt jump shot from 24 ft,14,18
50,1,4:40.0,Defensive rebound by D. Mitchell,,14,18
51,1,4:32.0,D. Mitchell makes 3-pt jump shot from 25 ft,,17,18
52,1,4:30.0,,Houston full timeout,17,18
53,1,4:30.0,,N. Hilário enters the game for C. Capela,17,18
54,1,4:30.0,,P. Tucker enters the game for R. Anderson,17,18
55,1,4:30.0,A. Burks enters the game for R. Hood,,17,18
56,1,4:17.0,,Turnover by N. Hilário (bad pass; steal by A. Burks),17,18
57,1,4:06.0,R. Gobert misses 2-pt layup from 2 ft,,17,18
58,1,4:04.0,,Defensive rebound by N. Hilário,17,18
59,1,3:58.0,,Shooting foul by R. Gobert (drawn by J. Harden),17,18
60,1,3:58.0,,J. Harden makes free throw 1 of 2,17,19
61,1,3:58.0,,J. Harden makes free throw 2 of 2,17,20
62,1,3:37.0,Shooting foul by N. Hilário (drawn by T. Sefolosha),,17,20
63,1,3:37.0,T. Sefolosha misses free throw 1 of 2,,17,20
64,1,3:37.0,Offensive rebound by Team,,17,20
65,1,3:37.0,T. Sefolosha makes free throw 2 of 2,,18,20
66,1,3:26.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),18,23
67,1,3:13.0,Personal foul by P. Tucker (drawn by R. Gobert),,18,23
68,1,3:13.0,E. Udoh enters the game for J. Ingles,,18,23
69,1,3:13.0,R. Rubio enters the game for R. Gobert,,18,23
70,1,3:01.0,D. Mitchell makes 3-pt jump shot from 27 ft,,21,23
71,1,2:46.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by J. Harden),21,26
72,1,2:26.0,D. Mitchell misses 3-pt jump shot from 25 ft,,21,26
73,1,2:23.0,,Defensive rebound by L. Mbah a Moute,21,26
74,1,2:15.0,,J. Harden makes 2-pt layup from 1 ft,21,28
75,1,2:13.0,Utah full timeout,,21,28
76,1,2:02.0,,Violation by N. Hilário (kicked ball),21,28
77,1,1:52.0,Turnover by D. Mitchell (bad pass; steal by T. Ariza),,21,28
78,1,1:41.0,,J. Harden makes 2-pt jump shot from 10 ft,21,30
79,1,1:19.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,24,30
80,1,1:06.0,,L. Mbah a Moute misses 2-pt layup from 1 ft (block by E. Udoh),24,30
81,1,1:02.0,,Offensive rebound by N. Hilário,24,30
82,1,1:01.0,,N. Hilário misses 2-pt layup from 2 ft,24,30
83,1,1:01.0,,Offensive rebound by T. Ariza,24,30
84,1,0:50.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by N. Hilário),24,33
85,1,0:32.0,R. Rubio makes 2-pt layup from 4 ft,,26,33
86,1,0:08.0,,J. Harden makes 3-pt jump shot from 27 ft,26,36
87,1,0:04.0,Personal foul by N. Hilário (drawn by R. Rubio),,26,36
88,1,0:04.0,R. Rubio makes free throw 1 of 2,,27,36
89,1,0:04.0,,R. Anderson enters the game for N. Hilário,27,36
90,1,0:04.0,R. Rubio makes free throw 2 of 2,,28,36
91,1,0:00.0,,J. Harden makes 3-pt jump shot from 27 ft,28,39
92,2,11:50.0,Turnover by R. Rubio (bad pass; steal by N. Hilário),,28,39
93,2,11:46.0,,N. Hilário makes 2-pt dunk at rim,28,41
94,2,11:25.0,A. Burks misses 2-pt layup from 10 ft,,28,41
95,2,11:25.0,Offensive rebound by E. Udoh,,28,41
96,2,11:15.0,E. Udoh misses 2-pt jump shot from 16 ft,,28,41
97,2,11:15.0,,Defensive rebound by L. Mbah a Moute,28,41
98,2,11:00.0,,E. Gordon misses 3-pt jump shot from 25 ft,28,41
99,2,11:00.0,Defensive rebound by Team,,28,41
100,2,10:45.0,R. Hood misses 3-pt jump shot from 25 ft,,28,41
101,2,10:45.0,,Defensive rebound by P. Tucker,28,41
102,2,10:28.0,,R. Anderson misses 3-pt jump shot from 27 ft,28,41
