,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,J. Randle misses 2-pt jump shot from 2 ft (block by P. Gasol),,0,0
1,1,11:43.0,,Offensive rebound by Team,0,0
2,1,11:40.0,,P. Mills makes 2-pt layup from 1 ft (assist by K. Anderson),0,2
3,1,11:20.0,B. Lopez misses 2-pt jump shot from 7 ft,,0,2
4,1,11:20.0,Offensive rebound by Team,,0,2
5,1,11:15.0,J. Randle misses 2-pt hook shot from 4 ft,,0,2
6,1,11:13.0,,Defensive rebound by D. Murray,0,2
7,1,11:04.0,,Turnover by D. Bertāns (step out of bounds),0,2
8,1,10:53.0,J. Randle makes 2-pt jump shot from 19 ft (assist by B. Lopez),,2,2
9,1,10:39.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by P. Mills),2,5
10,1,10:24.0,Shooting foul by D. Murray (drawn by J. Randle),,2,5
11,1,10:24.0,J. Randle makes free throw 1 of 2,,3,5
12,1,10:24.0,J. Randle makes free throw 2 of 2,,4,5
13,1,10:15.0,,P. Gasol misses 2-pt layup from 2 ft (block by J. Randle),4,5
14,1,10:13.0,Defensive rebound by J. Randle,,4,5
15,1,10:11.0,Shooting foul by P. Mills (drawn by K. Kuzma),,4,5
16,1,10:11.0,K. Kuzma misses free throw 1 of 2,,4,5
17,1,10:11.0,Offensive rebound by Team,,4,5
18,1,10:11.0,K. Kuzma makes free throw 2 of 2,,5,5
19,1,9:56.0,,D. Bertāns misses 3-pt jump shot from 25 ft,5,5
20,1,9:52.0,Defensive rebound by K. Caldwell-Pope,,5,5
21,1,9:40.0,K. Kuzma misses 3-pt jump shot from 25 ft,,5,5
22,1,9:37.0,,Defensive rebound by P. Gasol,5,5
23,1,9:31.0,,P. Gasol misses 3-pt jump shot from 24 ft,5,5
24,1,9:28.0,Defensive rebound by L. Ball,,5,5
25,1,9:22.0,B. Lopez misses 2-pt hook shot from 4 ft (block by P. Gasol),,5,5
26,1,9:19.0,,Defensive rebound by D. Bertāns,5,5
27,1,9:13.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by P. Gasol),5,8
28,1,8:52.0,J. Randle misses 2-pt jump shot from 20 ft,,5,8
29,1,8:48.0,,Defensive rebound by D. Murray,5,8
30,1,8:45.0,,D. Murray misses 2-pt layup at rim,5,8
31,1,8:43.0,Defensive rebound by L. Ball,,5,8
