,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:45.0,,J. Green misses 2-pt jump shot from 14 ft,0,0
1,1,11:43.0,Defensive rebound by D. Bender,,0,0
2,1,11:31.0,Turnover by E. Payton (bad pass; steal by M. Gasol),,0,0
3,1,11:28.0,,Turnover by B. McLemore (bad pass; steal by J. Jackson),0,0
4,1,11:24.0,A. Len makes 2-pt dunk at rim (assist by J. Jackson),,2,0
5,1,11:07.0,,D. Brooks makes 2-pt jump shot from 7 ft,2,2
6,1,10:51.0,D. Bender misses 3-pt jump shot from 25 ft,,2,2
7,1,10:49.0,,Defensive rebound by M. Gasol,2,2
8,1,10:48.0,,Turnover by J. Green (step out of bounds),2,2
9,1,10:38.0,E. Payton makes 2-pt layup at rim,,4,2
10,1,10:38.0,Shooting foul by A. Harrison (drawn by E. Payton),,4,2
11,1,10:38.0,E. Payton misses free throw 1 of 1,,4,2
12,1,10:36.0,,Defensive rebound by J. Green,4,2
13,1,10:27.0,,Personal foul by A. Len (drawn by M. Gasol),4,2
14,1,10:22.0,,Turnover by M. Gasol (bad pass; steal by D. Booker),4,2
15,1,10:16.0,D. Booker misses 3-pt jump shot from 25 ft,,4,2
16,1,10:14.0,,Defensive rebound by Team,4,2
17,1,9:55.0,,Turnover by M. Gasol (bad pass; steal by D. Booker),4,2
18,1,9:52.0,Shooting foul by M. Gasol (drawn by E. Payton),,4,2
19,1,9:52.0,E. Payton makes free throw 1 of 2,,5,2
20,1,9:52.0,E. Payton makes free throw 2 of 2,,6,2
21,1,9:37.0,,Turnover by D. Brooks (bad pass; steal by J. Jackson),6,2
22,1,9:34.0,J. Jackson makes 2-pt dunk at rim,,8,2
23,1,9:34.0,,Memphis full timeout,8,2
24,1,9:34.0,,J. Martin enters the game for B. McLemore,8,2
25,1,9:19.0,,A. Harrison misses 3-pt jump shot from 26 ft,8,2
26,1,9:16.0,,Offensive rebound by J. Green,8,2
27,1,9:12.0,,Turnover by J. Green (bad pass; steal by D. Bender),8,2
28,1,9:09.0,D. Booker misses 2-pt layup from 1 ft,,8,2
29,1,9:07.0,,Defensive rebound by M. Gasol,8,2
30,1,8:53.0,,M. Gasol misses 2-pt jump shot from 16 ft,8,2
31,1,8:49.0,Defensive rebound by A. Len,,8,2
32,1,8:40.0,Personal foul by D. Brooks (drawn by E. Payton),,8,2
33,1,8:27.0,D. Booker makes 2-pt jump shot from 21 ft,,10,2
34,1,8:08.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by A. Harrison),10,4
35,1,8:04.0,Personal foul by D. Brooks (drawn by D. Booker),,10,4
36,1,8:04.0,,M. Chalmers enters the game for D. Brooks,10,4
37,1,7:55.0,Personal foul by M. Chalmers (drawn by J. Jackson),,10,4
38,1,7:55.0,J. Jackson makes free throw 1 of 2,,11,4
39,1,7:55.0,J. Jackson misses free throw 2 of 2,,11,4
40,1,7:52.0,,Defensive rebound by J. Green,11,4
41,1,7:35.0,,J. Martin makes 3-pt jump shot from 25 ft (assist by M. Chalmers),11,7
42,1,7:26.0,E. Payton misses 2-pt jump shot from 9 ft,,11,7
43,1,7:25.0,Offensive rebound by A. Len,,11,7
44,1,7:24.0,Shooting foul by J. Martin (drawn by J. Jackson),,11,7
45,1,7:24.0,J. Jackson makes free throw 1 of 2,,12,7
46,1,7:24.0,J. Jackson makes free throw 2 of 2,,13,7
47,1,7:11.0,,Personal foul by D. Booker (drawn by M. Chalmers),13,7
48,1,7:07.0,,Turnover by J. Martin (bad pass),13,7
49,1,6:56.0,D. Booker misses 3-pt jump shot from 24 ft (block by M. Gasol),,13,7
50,1,6:53.0,,Defensive rebound by J. Green,13,7
51,1,6:49.0,,M. Chalmers misses 3-pt jump shot from 25 ft,13,7
52,1,6:46.0,Defensive rebound by A. Len,,13,7
53,1,6:42.0,Turnover by E. Payton (bad pass; steal by M. Chalmers),,13,7
54,1,6:37.0,,M. Chalmers misses 2-pt jump shot from 6 ft,13,7
55,1,6:37.0,Defensive rebound by Team,,13,7
56,1,6:19.0,J. Jackson misses 2-pt jump shot from 6 ft,,13,7
57,1,6:17.0,,Defensive rebound by A. Harrison,13,7
58,1,6:09.0,,J. Martin misses 2-pt jump shot from 20 ft,13,7
59,1,6:05.0,Defensive rebound by E. Payton,,13,7
60,1,5:57.0,,M. Henry enters the game for A. Harrison,13,7
61,1,5:57.0,T. Daniels enters the game for D. Booker,,13,7
62,1,5:48.0,T. Daniels misses 3-pt jump shot from 26 ft,,13,7
63,1,5:46.0,,Defensive rebound by J. Green,13,7
64,1,5:38.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Chalmers),13,10
65,1,5:22.0,Turnover by J. Jackson (traveling),,13,10
66,1,5:22.0,M. Chriss enters the game for A. Len,,13,10
67,1,5:11.0,,M. Gasol makes 2-pt dunk at rim (assist by J. Martin),13,12
68,1,4:56.0,M. Chriss misses 3-pt jump shot from 26 ft,,13,12
69,1,4:54.0,,Defensive rebound by Team,13,12
70,1,4:54.0,,I. Rabb enters the game for J. Green,13,12
71,1,4:40.0,,Personal foul by M. Chriss (drawn by M. Gasol),13,12
72,1,4:32.0,,M. Gasol misses 2-pt jump shot from 14 ft,13,12
73,1,4:28.0,Defensive rebound by E. Payton,,13,12
74,1,4:23.0,E. Payton makes 3-pt jump shot from 25 ft (assist by T. Daniels),,16,12
75,1,4:03.0,,Personal foul by D. Bender (drawn by M. Chalmers),16,12
76,1,4:03.0,,A. Harrison enters the game for M. Gasol,16,12
77,1,3:57.0,,M. Henry makes 2-pt layup at rim,16,14
78,1,3:43.0,D. Bender makes 2-pt dunk at rim (assist by J. Jackson),,18,14
79,1,3:33.0,,Turnover by A. Harrison (out of bounds lost ball),18,14
80,1,3:29.0,,Offensive charge foul by E. Payton (drawn by A. Harrison),18,14
81,1,3:29.0,Turnover by E. Payton (offensive foul),,18,14
82,1,3:21.0,,A. Harrison makes 2-pt layup at rim (assist by M. Chalmers),18,16
83,1,3:01.0,M. Chriss misses 3-pt jump shot from 26 ft,,18,16
84,1,2:59.0,,Defensive rebound by J. Martin,18,16
85,1,2:44.0,Offensive charge foul by J. Martin (drawn by J. Jackson),,18,16
86,1,2:44.0,,Turnover by J. Martin (offensive foul),18,16
87,1,2:44.0,Phoenix full timeout,,18,16
88,1,2:44.0,D. Booker enters the game for E. Payton,,18,16
89,1,2:24.0,J. Jackson makes 2-pt dunk at rim (assist by D. Booker),,20,16
90,1,2:08.0,,J. Martin makes 3-pt jump shot from 26 ft (assist by A. Harrison),20,19
91,1,1:50.0,M. Chriss misses 2-pt layup from 1 ft,,20,19
92,1,1:48.0,,Defensive rebound by J. Martin,20,19
93,1,1:45.0,,J. Martin misses 2-pt layup from 1 ft (block by D. Bender),20,19
94,1,1:45.0,Defensive rebound by Team,,20,19
95,1,1:29.0,D. Booker misses 2-pt layup at rim,,20,19
96,1,1:27.0,Offensive rebound by M. Chriss,,20,19
97,1,1:25.0,Turnover by M. Chriss (bad pass; steal by A. Harrison),,20,19
98,1,1:25.0,,Personal foul by T. Daniels (drawn by A. Harrison),20,19
99,1,1:25.0,,A. Harrison makes free throw 1 of 2,20,20
100,1,1:25.0,,J. Green enters the game for J. Martin,20,20
101,1,1:25.0,J. Dudley enters the game for M. Chriss,,20,20
