,QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Turnover by A. Roberson (turnover),0,0
1,1,11:27.0,H. Barnes makes 2-pt jump shot from 19 ft,,2,0
2,1,11:10.0,,P. George misses 2-pt jump shot from 13 ft,2,0
3,1,11:09.0,Defensive rebound by D. Smith,,2,0
4,1,10:53.0,Y. Ferrell makes 2-pt jump shot from 15 ft (assist by H. Barnes),,4,0
5,1,10:37.0,,J. Grant misses 3-pt jump shot from 23 ft,4,0
6,1,10:34.0,Defensive rebound by D. Smith,,4,0
7,1,10:24.0,Turnover by D. Smith (bad pass),,4,0
8,1,10:15.0,,Shooting foul by D. Smith (drawn by R. Westbrook),4,0
9,1,10:15.0,,R. Westbrook makes free throw 1 of 2,4,1
10,1,10:15.0,,R. Westbrook makes free throw 2 of 2,4,2
11,1,9:58.0,W. Matthews misses 3-pt jump shot from 22 ft,,4,2
12,1,9:54.0,,Defensive rebound by J. Grant,4,2
13,1,9:39.0,,D. Johnson makes 2-pt hook shot from 3 ft,4,4
14,1,9:19.0,D. Smith makes 3-pt jump shot from 25 ft (assist by W. Matthews),,7,4
15,1,9:07.0,,P. George makes 3-pt jump shot from 24 ft (assist by J. Grant),7,7
16,1,8:55.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,7,7
17,1,8:53.0,,Defensive rebound by P. George,7,7
18,1,8:44.0,,R. Westbrook misses 2-pt jump shot from 13 ft,7,7
19,1,8:43.0,Defensive rebound by Team,,7,7
20,1,8:33.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,7,7
21,1,8:30.0,,Defensive rebound by J. Grant,7,7
22,1,8:23.0,,Turnover by R. Westbrook (bad pass; steal by D. Smith),7,7
23,1,8:17.0,D. Smith misses 3-pt jump shot from 24 ft,,7,7
24,1,8:14.0,,Defensive rebound by P. George,7,7
25,1,8:08.0,,P. George makes 2-pt layup at rim,7,9
26,1,8:07.0,Dallas full timeout,,7,9
27,1,7:48.0,Turnover by Y. Ferrell (bad pass),,7,9
28,1,7:39.0,,R. Westbrook misses 2-pt jump shot from 14 ft,7,9
29,1,7:35.0,Defensive rebound by D. Smith,,7,9
30,1,7:29.0,Turnover by H. Barnes (bad pass; steal by A. Roberson),,7,9
31,1,7:16.0,,Shooting foul by D. Nowitzki (drawn by R. Westbrook),7,9
32,1,7:16.0,,R. Westbrook makes free throw 1 of 2,7,10
33,1,7:16.0,S. Mejri enters the game for D. Nowitzki,,7,10
34,1,7:16.0,,R. Westbrook makes free throw 2 of 2,7,11
35,1,6:55.0,W. Matthews misses 2-pt layup from 2 ft (block by D. Johnson),,7,11
36,1,6:55.0,,Defensive rebound by R. Westbrook,7,11
37,1,6:46.0,,Shooting foul by S. Mejri (drawn by A. Roberson),7,11
38,1,6:46.0,,A. Roberson misses free throw 1 of 2,7,11
39,1,6:46.0,,Offensive rebound by Team,7,11
40,1,6:46.0,,A. Roberson makes free throw 2 of 2,7,12
41,1,6:27.0,H. Barnes makes 2-pt jump shot from 8 ft (assist by W. Matthews),,9,12
42,1,6:12.0,,R. Westbrook misses 2-pt dunk from 1 ft (block by S. Mejri),9,12
43,1,6:08.0,Defensive rebound by W. Matthews,,9,12
44,1,6:02.0,Turnover by D. Smith (step out of bounds),,9,12
45,1,5:50.0,,R. Westbrook misses 2-pt jump shot from 4 ft,9,12
46,1,5:44.0,Defensive rebound by Y. Ferrell,,9,12
47,1,5:32.0,H. Barnes misses 3-pt jump shot from 22 ft,,9,12
48,1,5:29.0,,Defensive rebound by A. Roberson,9,12
49,1,5:22.0,,P. George misses 3-pt jump shot from 23 ft,9,12
50,1,5:19.0,Defensive rebound by H. Barnes,,9,12
51,1,5:12.0,D. Smith misses 2-pt jump shot from 22 ft,,9,12
52,1,5:09.0,,Defensive rebound by R. Westbrook,9,12
53,1,5:01.0,,Shooting foul by H. Barnes (drawn by D. Johnson),9,12
54,1,5:01.0,,D. Johnson misses free throw 1 of 2,9,12
55,1,5:01.0,,Offensive rebound by Team,9,12
56,1,5:01.0,,Á. Abrines enters the game for A. Roberson,9,12
57,1,5:01.0,,D. Johnson makes free throw 2 of 2,9,13
58,1,4:50.0,W. Matthews misses 3-pt jump shot from 24 ft,,9,13
59,1,4:48.0,,Defensive rebound by R. Westbrook,9,13
60,1,4:44.0,,P. George misses 3-pt jump shot from 22 ft,9,13
