,QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,C. Lee misses 2-pt jump shot from 14 ft,,0,0
1,1,11:31.0,,Defensive rebound by R. Rondo,0,0
2,1,11:28.0,,D. Cousins misses 3-pt jump shot from 29 ft,0,0
3,1,11:21.0,Defensive rebound by C. Lee,,0,0
4,1,11:17.0,J. Jack misses 2-pt jump shot from 18 ft,,0,0
5,1,11:17.0,,Defensive rebound by D. Cousins,0,0
6,1,11:03.0,,Turnover by A. Davis (out of bounds lost ball),0,0
7,1,10:45.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,0,0
8,1,10:45.0,,Defensive rebound by E. Moore,0,0
9,1,10:45.0,,Turnover by E. Moore (bad pass),0,0
10,1,10:36.0,C. Lee misses 2-pt jump shot from 16 ft,,0,0
11,1,10:31.0,,Defensive rebound by J. Holiday,0,0
12,1,10:30.0,,Personal foul by K. Porziņģis (drawn by D. Cousins),0,0
13,1,10:22.0,,A. Davis misses 2-pt jump shot from 15 ft,0,0
14,1,10:19.0,Defensive rebound by E. Freedom,,0,0
15,1,10:05.0,C. Lee makes 2-pt layup from 8 ft (assist by E. Freedom),,2,0
16,1,9:53.0,,J. Holiday misses 3-pt jump shot from 26 ft,2,0
17,1,9:49.0,Defensive rebound by L. Thomas,,2,0
18,1,9:45.0,J. Jack misses 2-pt jump shot from 16 ft,,2,0
19,1,9:42.0,,Defensive rebound by D. Cousins,2,0
20,1,9:36.0,,Turnover by R. Rondo (bad pass; steal by K. Porziņģis),2,0
21,1,9:30.0,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by J. Jack),,4,0
22,1,9:14.0,,D. Cousins makes 2-pt layup from 6 ft,4,2
23,1,9:02.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by J. Jack),,7,2
24,1,8:47.0,,J. Holiday makes 2-pt layup from 4 ft,7,4
25,1,8:21.0,J. Jack misses 2-pt jump shot from 7 ft (block by A. Davis),,7,4
26,1,8:14.0,,Defensive rebound by A. Davis,7,4
27,1,8:13.0,,R. Rondo makes 2-pt layup from 3 ft,7,6
28,1,7:59.0,L. Thomas misses 2-pt jump shot from 18 ft,,7,6
29,1,7:56.0,,Defensive rebound by A. Davis,7,6
30,1,7:53.0,,D. Cousins makes 2-pt layup from 3 ft (assist by R. Rondo),7,8
31,1,7:53.0,,Shooting foul by J. Jack (drawn by D. Cousins),7,8
32,1,7:53.0,,D. Cousins makes free throw 1 of 1,7,9
33,1,7:42.0,C. Lee misses 2-pt jump shot from 16 ft,,7,9
34,1,7:35.0,Offensive rebound by K. Porziņģis,,7,9
35,1,7:35.0,K. Porziņģis makes 2-pt dunk from 1 ft,,9,9
36,1,7:35.0,,Turnover by R. Rondo (bad pass),9,9
37,1,7:19.0,Shooting foul by J. Holiday (drawn by K. Porziņģis),,9,9
38,1,7:19.0,K. Porziņģis makes free throw 1 of 2,,10,9
39,1,7:19.0,K. Porziņģis makes free throw 2 of 2,,11,9
40,1,7:11.0,,A. Davis misses 2-pt jump shot from 8 ft,11,9
41,1,7:07.0,Defensive rebound by K. Porziņģis,,11,9
42,1,7:01.0,Shooting foul by J. Holiday (drawn by J. Jack),,11,9
43,1,7:01.0,J. Jack makes free throw 1 of 2,,12,9
44,1,7:01.0,J. Jack makes free throw 2 of 2,,13,9
45,1,6:47.0,,E. Moore makes 2-pt layup from 8 ft,13,11
46,1,6:30.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,13,11
47,1,6:27.0,,Defensive rebound by D. Cousins,13,11
48,1,6:24.0,,A. Davis makes 2-pt dunk from 2 ft (assist by E. Moore),13,13
49,1,6:10.0,Personal foul by D. Cousins (drawn by E. Freedom),,13,13
