,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,E. İlyasova misses 3-pt jump shot from 25 ft,,0,0
1,1,11:39.0,,Defensive rebound by E. Bledsoe,0,0
2,1,11:31.0,,Turnover by K. Middleton (bad pass),0,0
3,1,11:14.0,K. Bazemore makes 2-pt jump shot from 21 ft (assist by D. Schröder),,2,0
4,1,11:01.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),2,3
5,1,10:43.0,Turnover by T. Prince (bad pass),,2,3
6,1,10:27.0,,G. Antetokounmpo misses 2-pt jump shot from 14 ft,2,3
7,1,10:25.0,Defensive rebound by D. Dedmon,,2,3
8,1,10:12.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by K. Bazemore),,4,3
9,1,9:51.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,4,3
10,1,9:48.0,Defensive rebound by D. Dedmon,,4,3
11,1,9:37.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,7,3
12,1,9:27.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,7,3
13,1,9:25.0,Defensive rebound by T. Prince,,7,3
14,1,9:22.0,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),,9,3
15,1,9:03.0,,K. Middleton misses 2-pt jump shot from 8 ft,9,3
16,1,9:00.0,Defensive rebound by D. Dedmon,,9,3
17,1,8:49.0,E. İlyasova misses 2-pt layup from 2 ft,,9,3
18,1,8:44.0,Offensive rebound by E. İlyasova,,9,3
19,1,8:44.0,E. İlyasova misses 2-pt layup at rim,,9,3
20,1,8:44.0,,Defensive rebound by K. Middleton,9,3
21,1,8:31.0,,K. Middleton makes 2-pt jump shot from 13 ft,9,5
22,1,8:13.0,Shooting foul by G. Antetokounmpo (drawn by E. İlyasova),,9,5
23,1,8:13.0,E. İlyasova misses free throw 1 of 2,,9,5
24,1,8:13.0,Offensive rebound by Team,,9,5
25,1,8:13.0,E. İlyasova makes free throw 2 of 2,,10,5
26,1,7:58.0,,Turnover by E. Bledsoe (bad pass),10,5
27,1,7:36.0,T. Prince misses 2-pt layup from 1 ft,,10,5
28,1,7:34.0,,Defensive rebound by T. Maker,10,5
29,1,7:25.0,,K. Middleton misses 3-pt jump shot from 22 ft,10,5
30,1,7:23.0,,Offensive rebound by G. Antetokounmpo,10,5
31,1,7:20.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,10,5
32,1,7:20.0,Defensive rebound by D. Dedmon,,10,5
33,1,7:07.0,Turnover by D. Schröder (lost ball; steal by K. Middleton),,10,5
34,1,7:04.0,,Shooting foul by K. Bazemore (drawn by K. Middleton),10,5
35,1,7:04.0,,K. Middleton makes free throw 1 of 2,10,6
36,1,7:04.0,T. Dorsey enters the game for T. Prince,,10,6
37,1,7:04.0,,K. Middleton makes free throw 2 of 2,10,7
38,1,6:45.0,K. Bazemore misses 2-pt jump shot from 12 ft,,10,7
39,1,6:45.0,,Defensive rebound by Team,10,7
40,1,6:45.0,,Milwaukee full timeout,10,7
41,1,6:28.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,10,7
42,1,6:20.0,Defensive rebound by T. Dorsey,,10,7
43,1,6:03.0,D. Dedmon misses 2-pt jump shot from 14 ft,,10,7
44,1,6:00.0,,Defensive rebound by G. Antetokounmpo,10,7
45,1,5:52.0,,T. Snell misses 2-pt layup from 5 ft,10,7
46,1,5:50.0,Defensive rebound by K. Bazemore,,10,7
47,1,5:41.0,D. Schröder misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,10,7
48,1,5:37.0,,Defensive rebound by G. Antetokounmpo,10,7
49,1,5:36.0,,Shooting foul by D. Dedmon (drawn by G. Antetokounmpo),10,7
50,1,5:36.0,,G. Antetokounmpo makes free throw 1 of 2,10,8
51,1,5:36.0,M. Delaney enters the game for E. İlyasova,,10,8
52,1,5:36.0,J. Collins enters the game for K. Bazemore,,10,8
53,1,5:36.0,,G. Antetokounmpo misses free throw 2 of 2,10,8
54,1,5:34.0,,Offensive rebound by G. Antetokounmpo,10,8
55,1,5:31.0,,G. Antetokounmpo makes 2-pt layup at rim,10,10
56,1,5:09.0,M. Delaney misses 3-pt jump shot from 28 ft,,10,10
57,1,5:04.0,,Defensive rebound by E. Bledsoe,10,10
58,1,5:02.0,,Turnover by E. Bledsoe (bad pass),10,10
59,1,5:02.0,,J. Parker enters the game for T. Maker,10,10
60,1,5:02.0,,T. Zeller enters the game for G. Antetokounmpo,10,10
61,1,5:02.0,D. Bembry enters the game for D. Dedmon,,10,10
62,1,4:38.0,D. Schröder misses 2-pt layup from 2 ft (block by T. Zeller),,10,10
63,1,4:33.0,Offensive rebound by J. Collins,,10,10
64,1,4:33.0,J. Collins makes 2-pt layup at rim,,12,10
65,1,4:28.0,,T. Zeller makes 2-pt layup from 3 ft (assist by K. Middleton),12,12
66,1,4:28.0,Atlanta full timeout,,12,12
67,1,4:28.0,M. Muscala enters the game for T. Dorsey,,12,12
68,1,4:16.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by J. Collins),,15,12
69,1,3:59.0,,J. Parker makes 2-pt layup from 1 ft (assist by T. Snell),15,14
