,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,Turnover by O. Porter (lost ball; steal by J. Tatum),0,0
1,1,11:45.0,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),,2,0
2,1,11:25.0,,T. Satoranský misses 2-pt jump shot from 13 ft,2,0
3,1,11:24.0,Defensive rebound by A. Baynes,,2,0
4,1,11:09.0,Turnover by J. Brown (bad pass),,2,0
5,1,10:53.0,,B. Beal makes 2-pt layup from 1 ft,2,2
6,1,10:32.0,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),,5,2
7,1,10:16.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by T. Satoranský),5,4
8,1,10:08.0,Turnover by K. Irving (bad pass),,5,4
9,1,9:49.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by M. Morris),5,7
10,1,9:33.0,A. Horford makes 2-pt jump shot from 7 ft,,7,7
11,1,9:09.0,,M. Morris misses 3-pt jump shot from 25 ft,7,7
12,1,9:06.0,,Offensive rebound by M. Gortat,7,7
13,1,9:02.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by M. Gortat),7,10
14,1,8:49.0,J. Tatum misses 2-pt jump shot from 17 ft,,7,10
15,1,8:47.0,Offensive rebound by A. Baynes,,7,10
16,1,8:40.0,Shooting foul by O. Porter (drawn by A. Horford),,7,10
17,1,8:40.0,A. Horford misses free throw 1 of 2,,7,10
18,1,8:40.0,Offensive rebound by Team,,7,10
19,1,8:40.0,A. Horford makes free throw 2 of 2,,8,10
20,1,8:28.0,,B. Beal misses 2-pt jump shot from 17 ft,8,10
21,1,8:24.0,Defensive rebound by A. Horford,,8,10
22,1,8:20.0,J. Brown misses 3-pt jump shot from 24 ft,,8,10
23,1,8:18.0,,Defensive rebound by M. Morris,8,10
24,1,8:12.0,,B. Beal misses 3-pt jump shot from 25 ft,8,10
25,1,8:08.0,,Offensive rebound by M. Gortat,8,10
26,1,8:04.0,,M. Gortat misses 2-pt hook shot from 9 ft,8,10
27,1,8:02.0,Defensive rebound by K. Irving,,8,10
28,1,7:58.0,K. Irving misses 2-pt layup from 4 ft,,8,10
29,1,7:55.0,,Defensive rebound by O. Porter,8,10
30,1,7:41.0,,Turnover by M. Gortat (bad pass; steal by K. Irving),8,10
31,1,7:28.0,J. Tatum misses 3-pt jump shot from 24 ft,,8,10
32,1,7:24.0,,Defensive rebound by M. Gortat,8,10
33,1,7:07.0,,Turnover by M. Gortat (lost ball; steal by A. Horford),8,10
34,1,7:02.0,J. Tatum makes 2-pt layup from 3 ft (assist by A. Horford),,10,10
35,1,6:36.0,,Turnover by Team (shot clock),10,10
36,1,6:36.0,,Washington full timeout,10,10
37,1,6:15.0,K. Irving makes 2-pt jump shot from 16 ft,,12,10
38,1,5:57.0,,T. Satoranský makes 2-pt jump shot from 8 ft,12,12
39,1,5:40.0,K. Irving makes 2-pt jump shot from 14 ft,,14,12
40,1,5:26.0,,Personal foul by J. Brown (drawn by B. Beal),14,12
41,1,5:26.0,M. Morris enters the game for A. Baynes,,14,12
42,1,5:26.0,T. Rozier enters the game for J. Brown,,14,12
43,1,5:15.0,,Shooting foul by J. Tatum (drawn by O. Porter),14,12
44,1,5:15.0,,O. Porter makes free throw 1 of 2,14,13
45,1,5:15.0,,O. Porter makes free throw 2 of 2,14,14
46,1,4:56.0,K. Irving makes 2-pt layup from 4 ft,,16,14
47,1,4:46.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Gortat),16,17
48,1,4:27.0,K. Irving misses 3-pt jump shot from 25 ft,,16,17
49,1,4:25.0,,Defensive rebound by M. Morris,16,17
50,1,4:21.0,,T. Satoranský makes 2-pt jump shot from 2 ft (assist by M. Morris),16,19
51,1,3:56.0,Boston full timeout,,16,19
52,1,3:56.0,,K. Oubre enters the game for M. Morris,16,19
53,1,3:55.0,M. Morris misses 2-pt layup from 2 ft,,16,19
54,1,3:53.0,,Defensive rebound by O. Porter,16,19
