,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
0,1,11:37.0,A. Wiggins misses 3-pt jump shot from 26 ft,,0,0
1,1,11:34.0,,Defensive rebound by K. Irving,0,0
2,1,11:16.0,,J. Brown misses 2-pt jump shot from 19 ft,0,0
3,1,11:15.0,,Offensive rebound by A. Baynes,0,0
4,1,11:15.0,,A. Baynes misses 2-pt layup at rim,0,0
5,1,11:14.0,Defensive rebound by K. Towns,,0,0
6,1,10:50.0,J. Butler misses 2-pt jump shot from 13 ft,,0,0
7,1,10:50.0,,Defensive rebound by A. Baynes,0,0
8,1,10:39.0,,K. Irving misses 2-pt jump shot from 2 ft,0,0
9,1,10:36.0,Defensive rebound by K. Towns,,0,0
10,1,10:33.0,T. Jones makes 2-pt jump shot from 7 ft,,2,0
11,1,10:17.0,,A. Baynes misses 2-pt jump shot from 13 ft,2,0
12,1,10:14.0,Defensive rebound by K. Towns,,2,0
13,1,10:05.0,,Violation by A. Horford (kicked ball),2,0
14,1,9:57.0,K. Towns misses 3-pt jump shot from 25 ft,,2,0
15,1,9:55.0,,Defensive rebound by J. Brown,2,0
16,1,9:48.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),2,2
17,1,9:36.0,K. Towns makes 2-pt hook shot from 14 ft (assist by J. Butler),,4,2
18,1,9:18.0,,J. Tatum misses 3-pt jump shot from 25 ft,4,2
19,1,9:17.0,Defensive rebound by Team,,4,2
20,1,8:56.0,T. Gibson misses 2-pt hook shot from 11 ft,,4,2
21,1,8:53.0,,Defensive rebound by A. Baynes,4,2
22,1,8:48.0,,J. Brown misses 2-pt jump shot from 6 ft,4,2
23,1,8:45.0,Defensive rebound by K. Towns,,4,2
24,1,8:40.0,A. Wiggins misses 2-pt jump shot from 5 ft,,4,2
25,1,8:38.0,,Defensive rebound by K. Irving,4,2
26,1,8:32.0,,A. Baynes makes 2-pt dunk at rim (assist by J. Brown),4,4
27,1,8:08.0,A. Wiggins misses 3-pt jump shot from 23 ft,,4,4
