,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,D. Lillard misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,Offensive rebound by M. Harkless,,0,0
2,1,11:38.0,M. Harkless makes 2-pt layup from 1 ft,,2,0
3,1,11:22.0,,P. George misses 2-pt jump shot from 7 ft,2,0
4,1,11:18.0,,Offensive rebound by S. Adams,2,0
5,1,11:18.0,,S. Adams misses 2-pt layup at rim,2,0
6,1,11:17.0,Defensive rebound by J. Nurkić,,2,0
7,1,11:09.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Harkless),,5,0
8,1,10:44.0,,R. Westbrook misses 2-pt jump shot from 11 ft,5,0
9,1,10:42.0,Defensive rebound by J. Nurkić,,5,0
10,1,10:34.0,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),,7,0
11,1,10:28.0,,P. George misses 3-pt jump shot from 23 ft,7,0
12,1,10:25.0,Defensive rebound by A. Aminu,,7,0
13,1,10:15.0,M. Harkless misses 3-pt jump shot from 22 ft,,7,0
14,1,10:12.0,,Defensive rebound by C. Anthony,7,0
15,1,10:06.0,,C. Anthony misses 2-pt jump shot from 20 ft,7,0
16,1,10:04.0,Defensive rebound by M. Harkless,,7,0
17,1,9:46.0,C. McCollum misses 2-pt jump shot from 15 ft,,7,0
18,1,9:43.0,,Defensive rebound by C. Anthony,7,0
19,1,9:39.0,,Shooting foul by J. Nurkić (drawn by S. Adams),7,0
20,1,9:39.0,,S. Adams makes free throw 1 of 2,7,1
21,1,9:39.0,,S. Adams makes free throw 2 of 2,7,2
22,1,9:21.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by M. Harkless),,9,2
23,1,9:00.0,,C. Anthony misses 2-pt jump shot from 19 ft,9,2
24,1,8:57.0,Defensive rebound by C. McCollum,,9,2
25,1,8:47.0,J. Nurkić makes 2-pt layup at rim,,11,2
26,1,8:35.0,,R. Westbrook misses 2-pt jump shot from 10 ft,11,2
27,1,8:34.0,Defensive rebound by J. Nurkić,,11,2
28,1,8:24.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Harkless),,14,2
29,1,8:23.0,,Oklahoma City full timeout,14,2
30,1,8:07.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),14,4
31,1,7:49.0,A. Aminu makes 2-pt jump shot from 18 ft (assist by C. McCollum),,16,4
32,1,7:25.0,,S. Adams makes 2-pt hook shot from 2 ft (assist by R. Westbrook),16,6
33,1,7:07.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,19,6
34,1,6:55.0,,S. Adams makes 2-pt jump shot from 4 ft (assist by R. Westbrook),19,8
35,1,6:31.0,J. Nurkić misses 2-pt jump shot from 9 ft,,19,8
36,1,6:28.0,,Defensive rebound by C. Anthony,19,8
37,1,6:17.0,,C. Anthony misses 2-pt jump shot from 2 ft (block by M. Harkless),19,8
38,1,6:16.0,,Offensive rebound by Team,19,8
39,1,6:08.0,,Turnover by S. Adams (lost ball; steal by J. Nurkić),19,8
40,1,5:55.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),,22,8
41,1,5:42.0,,P. George misses 3-pt jump shot from 25 ft,22,8
42,1,5:39.0,Defensive rebound by A. Aminu,,22,8
43,1,5:32.0,C. McCollum misses 3-pt jump shot from 24 ft,,22,8
44,1,5:28.0,,Defensive rebound by R. Westbrook,22,8
45,1,5:22.0,,P. George misses 2-pt layup from 4 ft (block by M. Harkless),22,8
46,1,5:19.0,Defensive rebound by J. Nurkić,,22,8
47,1,5:13.0,D. Lillard makes 2-pt layup from 1 ft,,24,8
48,1,4:52.0,,C. Anthony makes 2-pt layup at rim,24,10
49,1,4:30.0,Shooting foul by C. Brewer (drawn by J. Nurkić),,24,10
50,1,4:30.0,J. Nurkić misses free throw 1 of 2,,24,10
51,1,4:30.0,Offensive rebound by Team,,24,10
52,1,4:30.0,,T. Ferguson enters the game for C. Brewer,24,10
53,1,4:30.0,P. Connaughton enters the game for M. Harkless,,24,10
54,1,4:30.0,E. Turner enters the game for C. McCollum,,24,10
55,1,4:30.0,J. Nurkić makes free throw 2 of 2,,25,10
56,1,4:20.0,,R. Westbrook misses 2-pt jump shot from 17 ft,25,10
57,1,4:18.0,Defensive rebound by A. Aminu,,25,10
58,1,4:07.0,E. Turner misses 3-pt jump shot from 25 ft,,25,10
59,1,4:03.0,,Defensive rebound by P. George,25,10
60,1,3:50.0,,P. George misses 2-pt layup from 1 ft (block by J. Nurkić),25,10
61,1,3:50.0,Defensive rebound by Team,,25,10
62,1,3:40.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,27,10
63,1,3:21.0,,C. Anthony makes 2-pt jump shot from 2 ft,27,12
64,1,3:03.0,Turnover by J. Nurkić (bad pass; steal by R. Westbrook),,27,12
65,1,2:59.0,,R. Westbrook misses 2-pt layup from 1 ft,27,12
66,1,2:56.0,Defensive rebound by P. Connaughton,,27,12
67,1,2:54.0,Portland full timeout,,27,12
68,1,2:54.0,,J. Grant enters the game for C. Anthony,27,12
69,1,2:54.0,E. Davis enters the game for A. Aminu,,27,12
70,1,2:54.0,Z. Collins enters the game for J. Nurkić,,27,12
71,1,2:47.0,E. Davis misses 2-pt layup from 2 ft,,27,12
72,1,2:43.0,Offensive rebound by P. Connaughton,,27,12
73,1,2:42.0,Z. Collins misses 3-pt jump shot from 24 ft,,27,12
74,1,2:40.0,,Defensive rebound by R. Westbrook,27,12
75,1,2:29.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),27,15
76,1,2:06.0,E. Turner misses 2-pt jump shot from 11 ft,,27,15
77,1,2:04.0,Offensive rebound by P. Connaughton,,27,15
78,1,1:55.0,D. Lillard misses 3-pt jump shot from 30 ft,,27,15
79,1,1:53.0,,Defensive rebound by J. Grant,27,15
80,1,1:46.0,,R. Felton enters the game for R. Westbrook,27,15
81,1,1:36.0,,R. Felton misses 3-pt jump shot from 22 ft,27,15
82,1,1:34.0,,Offensive rebound by S. Adams,27,15
83,1,1:28.0,,T. Ferguson misses 3-pt jump shot from 23 ft,27,15
84,1,1:24.0,Defensive rebound by Z. Collins,,27,15
85,1,1:16.0,Shooting foul by J. Grant (drawn by D. Lillard),,27,15
86,1,1:16.0,D. Lillard makes free throw 1 of 3,,28,15
87,1,1:16.0,D. Lillard makes free throw 2 of 3,,29,15
88,1,1:16.0,,P. Patterson enters the game for S. Adams,29,15
89,1,1:16.0,D. Lillard makes free throw 3 of 3,,30,15
90,1,1:10.0,,P. George misses 3-pt jump shot from 26 ft,30,15
91,1,1:07.0,Defensive rebound by P. Connaughton,,30,15
92,1,1:02.0,Personal foul by P. Patterson (drawn by D. Lillard),,30,15
93,1,1:02.0,D. Lillard makes free throw 1 of 2,,31,15
94,1,1:02.0,D. Lillard makes free throw 2 of 2,,32,15
95,1,0:49.0,,P. George makes 2-pt layup from 1 ft,32,17
96,1,0:35.0,Turnover by D. Lillard (out of bounds lost ball),,32,17
