,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
1,1,11:24.0,D. Smith misses 3-pt jump shot from 25 ft,,0,3
2,1,11:19.0,,Defensive rebound by K. Anderson,0,3
3,1,11:07.0,,L. Aldridge makes 2-pt jump shot from 10 ft,0,5
4,1,10:45.0,M. Kleber makes 3-pt jump shot from 22 ft (assist by W. Matthews),,3,5
5,1,10:28.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),3,7
6,1,10:13.0,H. Barnes misses 2-pt jump shot from 12 ft,,3,7
7,1,9:59.0,Offensive rebound by M. Kleber,,3,7
8,1,9:59.0,M. Kleber makes 2-pt layup at rim,,5,7
9,1,9:46.0,,P. Gasol misses 3-pt jump shot from 27 ft,5,7
10,1,9:43.0,Defensive rebound by M. Kleber,,5,7
11,1,9:29.0,Turnover by D. Nowitzki (bad pass; steal by L. Aldridge),,5,7
12,1,9:20.0,,K. Anderson misses 2-pt layup from 7 ft,5,7
13,1,9:14.0,,Offensive rebound by L. Aldridge,5,7
14,1,9:14.0,,L. Aldridge makes 2-pt layup at rim,5,9
15,1,9:09.0,D. Smith makes 2-pt jump shot from 15 ft,,7,9
16,1,8:52.0,,T. Parker makes 2-pt layup from 1 ft,7,11
17,1,8:33.0,D. Smith misses 3-pt jump shot from 25 ft,,7,11
18,1,8:33.0,,Defensive rebound by L. Aldridge,7,11
19,1,8:24.0,,T. Parker makes 2-pt layup from 2 ft,7,13
20,1,8:23.0,Dallas full timeout,,7,13
21,1,8:04.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,7,13
22,1,8:04.0,,Defensive rebound by L. Aldridge,7,13
23,1,7:44.0,,P. Gasol makes 2-pt hook shot from 6 ft,7,15
24,1,7:28.0,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by H. Barnes),,9,15
25,1,7:19.0,,San Antonio full timeout,9,15
26,1,7:19.0,,P. Mills enters the game for T. Parker,9,15
27,1,7:04.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),9,17
28,1,6:47.0,H. Barnes makes 2-pt dunk at rim (assist by D. Nowitzki),,11,17
29,1,6:34.0,,K. Anderson misses 2-pt jump shot from 9 ft,11,17
30,1,6:31.0,Defensive rebound by M. Kleber,,11,17
31,1,6:25.0,Def 3 sec tech foul by P. Gasol,,11,17
32,1,6:25.0,D. Nowitzki makes technical free throw,,12,17
33,1,6:25.0,S. Mejri enters the game for D. Smith,,12,17
34,1,6:25.0,Y. Ferrell enters the game for D. Nowitzki,,12,17
35,1,6:12.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,12,17
36,1,6:08.0,,Defensive rebound by L. Aldridge,12,17
37,1,5:57.0,,P. Mills misses 3-pt jump shot from 25 ft,12,17
38,1,5:55.0,Defensive rebound by M. Kleber,,12,17
39,1,5:49.0,,Violation by P. Gasol (kicked ball),12,17
40,1,5:34.0,W. Matthews misses 2-pt layup from 1 ft,,12,17
41,1,5:31.0,,Defensive rebound by P. Gasol,12,17
42,1,5:22.0,,K. Anderson misses 3-pt jump shot from 22 ft,12,17
43,1,5:18.0,Defensive rebound by M. Kleber,,12,17
44,1,5:06.0,Y. Ferrell misses 2-pt jump shot from 16 ft,,12,17
45,1,5:01.0,,Defensive rebound by K. Anderson,12,17
46,1,4:50.0,,L. Aldridge makes 2-pt jump shot from 11 ft,12,19
47,1,4:29.0,H. Barnes makes 2-pt jump shot from 14 ft,,14,19
48,1,4:13.0,,Personal foul by M. Kleber (drawn by P. Gasol),14,19
49,1,4:13.0,,M. Ginóbili enters the game for D. Green,14,19
50,1,4:13.0,,J. Lauvergne enters the game for P. Gasol,14,19
51,1,4:13.0,D. Harris enters the game for W. Matthews,,14,19
52,1,4:13.0,D. Powell enters the game for M. Kleber,,14,19
53,1,4:10.0,,P. Mills misses 2-pt jump shot from 20 ft,14,19
54,1,4:07.0,Defensive rebound by S. Mejri,,14,19
55,1,3:56.0,Y. Ferrell misses 2-pt layup from 4 ft (block by L. Aldridge),,14,19
56,1,3:47.0,Offensive rebound by H. Barnes,,14,19
57,1,3:45.0,H. Barnes misses 2-pt jump shot from 12 ft,,14,19
58,1,3:45.0,,Defensive rebound by L. Aldridge,14,19
59,1,3:39.0,,Offensive foul by J. Lauvergne (drawn by S. Mejri),14,19
60,1,3:39.0,,Turnover by J. Lauvergne (offensive foul),14,19
61,1,3:39.0,,B. Forbes enters the game for K. Anderson,14,19
62,1,3:28.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,17,19
63,1,3:16.0,,Personal foul by Y. Ferrell (drawn by P. Mills),17,19
64,1,3:10.0,,L. Aldridge misses 2-pt jump shot from 20 ft,17,19
65,1,3:06.0,Defensive rebound by D. Harris,,17,19
66,1,2:59.0,D. Powell misses 3-pt jump shot from 25 ft,,17,19
67,1,2:56.0,,Defensive rebound by M. Ginóbili,17,19
68,1,2:50.0,,M. Ginóbili misses 2-pt layup from 3 ft,17,19
69,1,2:47.0,Defensive rebound by D. Harris,,17,19
70,1,2:44.0,Shooting foul by L. Aldridge (drawn by D. Powell),,17,19
71,1,2:44.0,D. Powell misses free throw 1 of 2,,17,19
72,1,2:44.0,Offensive rebound by Team,,17,19
73,1,2:44.0,J. Barea enters the game for H. Barnes,,17,19
74,1,2:44.0,D. Nowitzki enters the game for S. Mejri,,17,19
75,1,2:44.0,D. Powell makes free throw 2 of 2,,18,19
76,1,2:27.0,,Turnover by M. Ginóbili (bad pass; steal by D. Powell),18,19
77,1,2:15.0,D. Harris makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,21,19
78,1,1:56.0,,Turnover by P. Mills (bad pass; steal by D. Powell),21,19
79,1,1:44.0,Personal foul by L. Aldridge (drawn by J. Barea),,21,19
80,1,1:44.0,,D. Bertāns enters the game for L. Aldridge,21,19
81,1,1:31.0,J. Barea misses 2-pt jump shot from 7 ft,,21,19
82,1,1:28.0,,Defensive rebound by B. Forbes,21,19
83,1,1:17.0,,B. Forbes makes 2-pt jump shot from 20 ft,21,21
84,1,1:00.0,D. Powell makes 2-pt dunk at rim (assist by J. Barea),,23,21
