,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
0,1,11:45.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),,2,0
1,1,11:25.0,,A. Gordon misses 2-pt layup from 2 ft,2,0
2,1,11:22.0,,Offensive rebound by E. Payton,2,0
3,1,11:22.0,,E. Payton misses 2-pt layup from 3 ft,2,0
4,1,11:21.0,,Offensive rebound by A. Gordon,2,0
5,1,11:20.0,,A. Gordon misses 2-pt layup from 2 ft,2,0
6,1,11:20.0,,Offensive rebound by A. Gordon,2,0
7,1,11:19.0,,A. Gordon misses 2-pt layup from 2 ft (block by W. Cauley-Stein),2,0
8,1,11:19.0,,Offensive rebound by A. Gordon,2,0
9,1,11:14.0,,Turnover by A. Gordon (lost ball; steal by V. Carter),2,0
10,1,11:06.0,D. Fox makes 2-pt layup from 1 ft,,4,0
11,1,10:46.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Simmons),4,3
12,1,10:35.0,S. Labissière makes 2-pt dunk at rim (assist by B. Bogdanović),,6,3
13,1,10:19.0,,B. Biyombo misses 2-pt jump shot from 15 ft,6,3
14,1,10:16.0,Defensive rebound by S. Labissière,,6,3
15,1,10:07.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,6,3
16,1,10:03.0,Offensive rebound by W. Cauley-Stein,,6,3
17,1,10:01.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,6,3
18,1,10:01.0,,Defensive rebound by J. Simmons,6,3
19,1,9:56.0,,Turnover by E. Payton (lost ball; steal by V. Carter),6,3
20,1,9:55.0,Shooting foul by J. Simmons (drawn by W. Cauley-Stein),,6,3
21,1,9:55.0,W. Cauley-Stein makes free throw 1 of 2,,7,3
22,1,9:55.0,W. Cauley-Stein misses free throw 2 of 2,,7,3
23,1,9:51.0,,Defensive rebound by A. Gordon,7,3
24,1,9:43.0,,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),7,5
25,1,9:20.0,V. Carter misses 3-pt jump shot from 25 ft,,7,5
26,1,9:17.0,Offensive rebound by D. Fox,,7,5
27,1,9:15.0,D. Fox misses 2-pt jump shot from 16 ft,,7,5
28,1,9:15.0,Offensive rebound by S. Labissière,,7,5
29,1,9:10.0,S. Labissière misses 2-pt layup at rim,,7,5
30,1,9:09.0,,Defensive rebound by E. Fournier,7,5
31,1,9:06.0,,E. Payton makes 2-pt layup from 1 ft (assist by E. Fournier),7,7
32,1,8:45.0,S. Labissière makes 2-pt hook shot from 9 ft (assist by B. Bogdanović),,9,7
33,1,8:34.0,,A. Gordon misses 3-pt jump shot from 25 ft,9,7
34,1,8:32.0,Defensive rebound by S. Labissière,,9,7
35,1,8:20.0,D. Fox makes 3-pt jump shot from 24 ft (assist by V. Carter),,12,7
36,1,8:03.0,,E. Payton misses 2-pt layup from 2 ft,12,7
37,1,8:00.0,Defensive rebound by B. Bogdanović,,12,7
