,QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
0,1,11:41.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by E. Gordon),0,3
1,1,11:23.0,Shooting foul by C. Capela (drawn by J. Valančiūnas),,0,3
2,1,11:23.0,J. Valančiūnas makes free throw 1 of 2,,1,3
3,1,11:23.0,J. Valančiūnas makes free throw 2 of 2,,2,3
4,1,11:01.0,,E. Gordon misses 3-pt jump shot from 25 ft,2,3
5,1,10:58.0,Defensive rebound by D. DeRozan,,2,3
6,1,10:51.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,5,3
7,1,10:36.0,,C. Capela misses 2-pt layup at rim,5,3
8,1,10:32.0,,Offensive rebound by C. Capela,5,3
9,1,10:32.0,,C. Capela makes 2-pt layup at rim,5,5
10,1,10:16.0,S. Ibaka misses 2-pt jump shot from 14 ft,,5,5
11,1,10:11.0,,Defensive rebound by J. Harden,5,5
12,1,10:05.0,,Personal foul by S. Ibaka (drawn by J. Harden),5,5
13,1,9:59.0,,E. Gordon makes 2-pt layup at rim,5,7
14,1,9:59.0,,Shooting foul by S. Ibaka (drawn by E. Gordon),5,7
15,1,9:59.0,P. Siakam enters the game for S. Ibaka,,5,7
16,1,9:59.0,,E. Gordon makes free throw 1 of 1,5,8
17,1,9:44.0,J. Valančiūnas misses 2-pt jump shot from 3 ft (block by J. Harden),,5,8
18,1,9:40.0,,Defensive rebound by T. Ariza,5,8
19,1,9:35.0,Offensive charge foul by J. Harden (drawn by J. Valančiūnas),,5,8
20,1,9:35.0,,Turnover by J. Harden (offensive foul),5,8
21,1,9:16.0,O. Anunoby misses 2-pt layup from 2 ft,,5,8
22,1,9:13.0,,Defensive rebound by C. Capela,5,8
23,1,9:04.0,,E. Gordon misses 3-pt jump shot from 24 ft,5,8
24,1,9:01.0,Defensive rebound by D. DeRozan,,5,8
25,1,8:54.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by D. DeRozan),,7,8
26,1,8:41.0,,Shooting foul by O. Anunoby (drawn by J. Harden),7,8
27,1,8:41.0,,J. Harden makes free throw 1 of 2,7,9
28,1,8:41.0,,J. Harden makes free throw 2 of 2,7,10
29,1,8:32.0,D. DeRozan misses 2-pt jump shot from 19 ft,,7,10
30,1,8:29.0,,Defensive rebound by C. Capela,7,10
31,1,8:21.0,,C. Capela misses 2-pt layup from 1 ft,7,10
32,1,8:19.0,Defensive rebound by J. Valančiūnas,,7,10
33,1,8:13.0,K. Lowry makes 2-pt layup from 1 ft (assist by D. DeRozan),,9,10
34,1,7:57.0,,R. Anderson misses 3-pt jump shot from 26 ft,9,10
35,1,7:54.0,,Offensive rebound by C. Capela,9,10
36,1,7:48.0,,Personal foul by P. Siakam (drawn by E. Gordon),9,10
37,1,7:40.0,,J. Harden misses 2-pt hook shot from 7 ft,9,10
38,1,7:37.0,,Offensive rebound by C. Capela,9,10
39,1,7:36.0,,C. Capela makes 2-pt hook shot from 3 ft,9,12
40,1,7:20.0,J. Valančiūnas misses 2-pt layup from 4 ft,,9,12
41,1,7:20.0,Offensive rebound by J. Valančiūnas,,9,12
42,1,7:20.0,Turnover by J. Valančiūnas (out of bounds lost ball),,9,12
43,1,7:04.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),9,14
44,1,6:47.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by O. Anunoby),,11,14
45,1,6:35.0,,T. Ariza misses 2-pt jump shot from 12 ft,11,14
46,1,6:32.0,Defensive rebound by D. DeRozan,,11,14
47,1,6:25.0,D. DeRozan makes 2-pt layup from 1 ft,,13,14
48,1,6:11.0,,J. Harden misses 3-pt jump shot from 25 ft,13,14
49,1,6:09.0,Defensive rebound by P. Siakam,,13,14
50,1,6:09.0,,Technical foul by J. Harden,13,14
51,1,6:09.0,,Houston full timeout,13,14
52,1,6:09.0,,P. Tucker enters the game for E. Gordon,13,14
53,1,6:09.0,,L. Mbah a Moute enters the game for R. Anderson,13,14
54,1,6:09.0,C. Miles enters the game for O. Anunoby,,13,14
55,1,6:09.0,D. DeRozan makes technical free throw,,14,14
56,1,6:00.0,K. Lowry misses 3-pt jump shot from 24 ft,,14,14
57,1,5:55.0,,Defensive rebound by P. Tucker,14,14
58,1,5:51.0,,J. Harden makes 2-pt layup from 1 ft,14,16
59,1,5:37.0,Turnover by D. DeRozan (traveling),,14,16
60,1,5:37.0,,T. Black enters the game for C. Capela,14,16
61,1,5:29.0,,Personal foul by K. Lowry (drawn by J. Harden),14,16
62,1,5:29.0,L. Nogueira enters the game for J. Valančiūnas,,14,16
63,1,5:29.0,,J. Harden makes free throw 1 of 2,14,17
64,1,5:29.0,,J. Harden makes free throw 2 of 2,14,18
65,1,5:18.0,C. Miles misses 2-pt jump shot from 16 ft,,14,18
66,1,5:14.0,,Defensive rebound by P. Tucker,14,18
67,1,5:10.0,,J. Harden makes 3-pt jump shot from 26 ft,14,21
68,1,4:53.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by K. Lowry),,16,21
69,1,4:39.0,,Turnover by J. Harden (lost ball; steal by P. Siakam),16,21
70,1,4:31.0,P. Siakam misses 3-pt jump shot from 23 ft,,16,21
71,1,4:31.0,Offensive rebound by Team,,16,21
72,1,4:29.0,C. Miles misses 2-pt layup from 1 ft,,16,21
73,1,4:26.0,,Defensive rebound by T. Black,16,21
74,1,4:19.0,,T. Black makes 2-pt layup from 2 ft (assist by J. Harden),16,23
75,1,4:19.0,,Shooting foul by L. Nogueira (drawn by T. Black),16,23
76,1,4:19.0,,T. Black makes free throw 1 of 1,16,24
77,1,4:08.0,C. Miles makes 3-pt jump shot from 27 ft (assist by P. Siakam),,19,24
78,1,3:45.0,,J. Harden makes 3-pt jump shot from 25 ft,19,27
79,1,3:30.0,C. Miles makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,22,27
80,1,3:07.0,,T. Black makes 2-pt dunk at rim (assist by L. Mbah a Moute),22,29
81,1,2:57.0,Toronto full timeout,,22,29
82,1,2:57.0,D. Wright enters the game for K. Lowry,,22,29
83,1,2:46.0,C. Miles makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,25,29
