,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,J. Brown misses 2-pt jump shot from 20 ft,,0,0
1,1,11:44.0,,Defensive rebound by G. Antetokounmpo,0,0
2,1,11:25.0,,G. Antetokounmpo makes 2-pt jump shot from 12 ft (assist by T. Snell),0,2
3,1,11:06.0,K. Allen makes 2-pt jump shot from 13 ft (assist by A. Baynes),,2,2
4,1,11:00.0,,J. Henson makes 2-pt dunk from 1 ft (assist by K. Middleton),2,4
5,1,10:40.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,5,4
6,1,10:27.0,,Shooting foul by K. Allen (drawn by G. Antetokounmpo),5,4
7,1,10:27.0,,G. Antetokounmpo misses free throw 1 of 2,5,4
8,1,10:27.0,,Offensive rebound by Team,5,4
9,1,10:27.0,,G. Antetokounmpo makes free throw 2 of 2,5,5
10,1,10:04.0,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Allen),,7,5
11,1,9:41.0,,Turnover by G. Antetokounmpo (lost ball; steal by J. Brown),7,5
12,1,9:36.0,J. Brown makes 2-pt layup at rim,,9,5
13,1,9:14.0,,T. Snell misses 3-pt jump shot from 26 ft,9,5
14,1,9:12.0,Defensive rebound by K. Allen,,9,5
15,1,9:04.0,Shooting foul by T. Snell (drawn by J. Brown),,9,5
16,1,9:04.0,J. Brown makes free throw 1 of 2,,10,5
17,1,9:04.0,J. Brown makes free throw 2 of 2,,11,5
18,1,8:53.0,,E. Bledsoe makes 2-pt layup at rim (assist by G. Antetokounmpo),11,7
19,1,8:28.0,A. Horford misses 2-pt jump shot from 12 ft,,11,7
20,1,8:26.0,,Defensive rebound by J. Henson,11,7
21,1,8:14.0,,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),11,7
22,1,7:57.0,A. Horford makes 2-pt jump shot from 8 ft (assist by K. Allen),,13,7
23,1,7:57.0,Shooting foul by G. Antetokounmpo (drawn by A. Horford),,13,7
24,1,7:57.0,A. Horford makes free throw 1 of 1,,14,7
25,1,7:45.0,,K. Middleton makes 2-pt jump shot from 9 ft (assist by E. Bledsoe),14,9
26,1,7:29.0,A. Baynes makes 2-pt dunk at rim (assist by J. Brown),,16,9
27,1,7:12.0,,Turnover by E. Bledsoe (bad pass; steal by J. Tatum),16,9
28,1,7:10.0,Shooting foul by E. Bledsoe (drawn by J. Tatum),,16,9
29,1,7:10.0,J. Tatum makes free throw 1 of 2,,17,9
30,1,7:10.0,J. Tatum makes free throw 2 of 2,,18,9
31,1,7:10.0,,Milwaukee full timeout,18,9
32,1,7:10.0,,S. Brown enters the game for T. Snell,18,9
33,1,6:51.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),18,11
34,1,6:32.0,Turnover by J. Tatum (bad pass),,18,11
35,1,6:14.0,,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),18,13
36,1,5:58.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Baynes),,21,13
37,1,5:43.0,,G. Antetokounmpo makes 2-pt jump shot from 4 ft,21,15
38,1,5:26.0,J. Brown misses 2-pt layup from 2 ft,,21,15
39,1,5:22.0,Offensive rebound by J. Brown,,21,15
40,1,5:22.0,J. Brown misses 2-pt layup at rim,,21,15
41,1,5:21.0,,Defensive rebound by J. Henson,21,15
42,1,5:19.0,,S. Brown misses 3-pt jump shot from 26 ft,21,15
43,1,5:15.0,Defensive rebound by A. Horford,,21,15
44,1,5:08.0,K. Allen misses 3-pt jump shot from 25 ft,,21,15
45,1,5:04.0,,Defensive rebound by K. Middleton,21,15
46,1,4:45.0,,E. Bledsoe makes 2-pt layup at rim,21,17
47,1,4:20.0,A. Baynes misses 2-pt jump shot from 17 ft,,21,17
48,1,4:16.0,,Defensive rebound by S. Brown,21,17
49,1,4:10.0,,Shooting foul by A. Baynes (drawn by K. Middleton),21,17
50,1,4:10.0,,K. Middleton makes free throw 1 of 2,21,18
51,1,4:10.0,,T. Zeller enters the game for J. Henson,21,18
52,1,4:10.0,,J. Parker enters the game for G. Antetokounmpo,21,18
53,1,4:10.0,G. Monroe enters the game for J. Tatum,,21,18
54,1,4:10.0,M. Morris enters the game for K. Allen,,21,18
55,1,4:10.0,S. Ojeleye enters the game for A. Baynes,,21,18
56,1,4:10.0,,K. Middleton makes free throw 2 of 2,21,19
57,1,3:46.0,G. Monroe misses 2-pt hook shot from 3 ft,,21,19
58,1,3:43.0,,Defensive rebound by K. Middleton,21,19
59,1,3:39.0,,K. Middleton makes 2-pt jump shot from 9 ft,21,21
60,1,3:15.0,A. Horford makes 2-pt dunk at rim (assist by M. Morris),,23,21
61,1,2:59.0,,Turnover by S. Brown (lost ball; steal by J. Brown),23,21
62,1,2:57.0,Shooting foul by S. Brown (drawn by J. Brown),,23,21
63,1,2:57.0,Boston full timeout,,23,21
64,1,2:57.0,J. Brown makes free throw 1 of 2,,24,21
65,1,2:57.0,J. Brown makes free throw 2 of 2,,25,21
66,1,2:46.0,,K. Middleton makes 2-pt jump shot from 19 ft,25,23
67,1,2:22.0,G. Monroe makes 2-pt hook shot from 3 ft,,27,23
68,1,2:03.0,,J. Parker misses 2-pt jump shot from 8 ft,27,23
69,1,2:01.0,Defensive rebound by G. Monroe,,27,23
70,1,1:52.0,M. Morris makes 2-pt hook shot from 5 ft,,29,23
71,1,1:37.0,,J. Parker misses 3-pt jump shot from 26 ft,29,23
72,1,1:35.0,Defensive rebound by G. Monroe,,29,23
73,1,1:23.0,,J. Terry enters the game for E. Bledsoe,29,23
74,1,1:23.0,,G. Antetokounmpo enters the game for K. Middleton,29,23
75,1,1:23.0,A. Baynes enters the game for A. Horford,,29,23
76,1,1:17.0,M. Morris misses 2-pt jump shot from 16 ft,,29,23
77,1,1:14.0,,Defensive rebound by G. Antetokounmpo,29,23
78,1,0:57.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Parker),29,26
79,1,0:44.0,Turnover by G. Monroe (bad pass),,29,26
80,1,0:24.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by G. Monroe),29,26
81,1,0:20.0,Defensive rebound by S. Ojeleye,,29,26
82,1,0:19.0,J. Brown makes 2-pt layup from 1 ft,,31,26
83,1,0:19.0,Shooting foul by T. Zeller (drawn by J. Brown),,31,26
84,1,0:19.0,J. Brown misses free throw 1 of 1,,31,26
85,1,0:19.0,,Defensive rebound by G. Antetokounmpo,31,26
86,1,0:00.0,,Turnover by G. Antetokounmpo (bad pass; steal by M. Morris),31,26
87,2,11:48.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by S. Brown),31,29
88,2,11:30.0,M. Morris misses 3-pt jump shot from 26 ft,,31,29
89,2,11:28.0,,Defensive rebound by S. Brown,31,29
90,2,11:20.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by S. Brown),31,31
91,2,11:06.0,Personal foul by G. Antetokounmpo (drawn by G. Monroe),,31,31
92,2,11:00.0,M. Morris misses 2-pt hook shot from 7 ft,,31,31
93,2,10:58.0,,Defensive rebound by G. Antetokounmpo,31,31
94,2,10:48.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,31,31
95,2,10:46.0,Defensive rebound by G. Monroe,,31,31
96,2,10:34.0,J. Tatum misses 2-pt jump shot from 19 ft,,31,31
97,2,10:30.0,Offensive rebound by G. Yabusele,,31,31
98,2,10:17.0,G. Monroe makes 2-pt dunk from 1 ft (assist by M. Morris),,33,31
99,2,9:48.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,33,31
100,2,9:46.0,,Offensive rebound by S. Brown,33,31
101,2,9:43.0,,S. Brown misses 2-pt jump shot at rim,33,31
102,2,9:43.0,,Offensive rebound by G. Antetokounmpo,33,31
103,2,9:38.0,,G. Antetokounmpo makes 2-pt layup at rim,33,33
104,2,9:22.0,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Monroe),,36,33
105,2,9:01.0,,Turnover by J. Parker (lost ball; steal by J. Tatum),36,33
106,2,8:55.0,J. Tatum misses 3-pt jump shot from 22 ft,,36,33
107,2,8:52.0,,Defensive rebound by G. Antetokounmpo,36,33
108,2,8:49.0,,Turnover by G. Antetokounmpo (bad pass),36,33
109,2,8:35.0,J. Tatum misses 3-pt jump shot from 27 ft,,36,33
110,2,8:31.0,Offensive rebound by S. Ojeleye,,36,33
111,2,8:27.0,G. Yabusele misses 3-pt jump shot from 26 ft,,36,33
112,2,8:24.0,,Defensive rebound by T. Zeller,36,33
113,2,8:14.0,,G. Antetokounmpo makes 2-pt dunk from 3 ft,36,35
114,2,7:53.0,Turnover by J. Tatum (traveling),,36,35
115,2,7:48.0,,T. Zeller misses 2-pt dunk from 1 ft,36,35
116,2,7:45.0,Defensive rebound by G. Monroe,,36,35
117,2,7:42.0,A. Baynes enters the game for G. Monroe,,36,35
118,2,7:41.0,Shooting foul by S. Brown (drawn by M. Morris),,36,35
119,2,7:41.0,M. Morris makes free throw 1 of 3,,37,35
120,2,7:41.0,M. Morris makes free throw 2 of 3,,38,35
121,2,7:41.0,M. Morris makes free throw 3 of 3,,39,35
122,2,7:31.0,,T. Zeller makes 2-pt layup from 2 ft (assist by J. Parker),39,37
123,2,7:15.0,A. Baynes makes 2-pt layup from 1 ft (assist by M. Morris),,41,37
124,2,7:14.0,,Milwaukee full timeout,41,37
125,2,7:14.0,,J. Henson enters the game for J. Terry,41,37
126,2,7:14.0,,K. Middleton enters the game for G. Antetokounmpo,41,37
127,2,7:14.0,,E. Bledsoe enters the game for T. Zeller,41,37
128,2,7:14.0,A. Horford enters the game for M. Morris,,41,37
129,2,7:14.0,K. Allen enters the game for G. Yabusele,,41,37
130,2,6:58.0,,J. Parker makes 2-pt jump shot from 17 ft (assist by K. Middleton),41,39
