,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,Turnover by E. Bledsoe (bad pass; steal by D. Dedmon),0,0
1,1,11:31.0,D. Schröder makes 2-pt jump shot from 14 ft (assist by D. Dedmon),,2,0
2,1,11:18.0,,Turnover by G. Antetokounmpo (traveling),2,0
3,1,11:03.0,D. Dedmon misses 2-pt layup from 2 ft,,2,0
4,1,11:01.0,,Defensive rebound by T. Snell,2,0
5,1,10:55.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,2,0
6,1,10:52.0,Defensive rebound by D. Schröder,,2,0
7,1,10:45.0,T. Prince misses 3-pt jump shot from 28 ft,,2,0
8,1,10:43.0,,Defensive rebound by K. Middleton,2,0
9,1,10:33.0,,T. Snell makes 2-pt jump shot from 11 ft,2,2
10,1,10:15.0,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Dorsey),,5,2
11,1,9:59.0,,Shooting foul by J. Collins (drawn by G. Antetokounmpo),5,2
12,1,9:59.0,,G. Antetokounmpo makes free throw 1 of 2,5,3
13,1,9:59.0,,G. Antetokounmpo makes free throw 2 of 2,5,4
14,1,9:39.0,T. Dorsey makes 3-pt jump shot from 26 ft (assist by D. Schröder),,8,4
15,1,9:21.0,,G. Antetokounmpo makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),8,7
16,1,8:55.0,D. Schröder makes 2-pt jump shot from 8 ft,,10,7
17,1,8:43.0,,Turnover by J. Henson (bad pass; steal by T. Dorsey),10,7
18,1,8:39.0,Personal block foul by K. Middleton (drawn by T. Prince),,10,7
19,1,8:18.0,T. Prince misses 2-pt jump shot from 18 ft,,10,7
20,1,8:15.0,Offensive rebound by J. Collins,,10,7
21,1,8:13.0,D. Schröder misses 3-pt jump shot from 26 ft,,10,7
22,1,8:10.0,,Defensive rebound by G. Antetokounmpo,10,7
23,1,8:04.0,,K. Middleton misses 3-pt jump shot from 26 ft,10,7
24,1,8:01.0,Defensive rebound by J. Collins,,10,7
25,1,7:51.0,J. Collins makes 2-pt dunk at rim (assist by D. Dedmon),,12,7
26,1,7:51.0,,Milwaukee full timeout,12,7
27,1,7:51.0,M. Muscala enters the game for J. Collins,,12,7
28,1,7:35.0,,K. Middleton misses 2-pt jump shot from 8 ft,12,7
29,1,7:33.0,,Offensive rebound by J. Henson,12,7
30,1,7:31.0,,T. Snell misses 3-pt jump shot from 26 ft,12,7
31,1,7:28.0,Defensive rebound by D. Dedmon,,12,7
32,1,7:07.0,D. Schröder misses 2-pt layup from 4 ft (block by E. Bledsoe),,12,7
33,1,7:07.0,Offensive rebound by Team,,12,7
34,1,7:05.0,M. Muscala misses 2-pt jump shot from 13 ft,,12,7
35,1,7:02.0,,Defensive rebound by T. Snell,12,7
36,1,6:54.0,,Shooting foul by M. Muscala (drawn by J. Henson),12,7
37,1,6:54.0,,J. Henson makes free throw 1 of 2,12,8
38,1,6:54.0,,J. Henson makes free throw 2 of 2,12,9
39,1,6:41.0,D. Schröder misses 2-pt layup from 3 ft,,12,9
40,1,6:39.0,,Defensive rebound by J. Henson,12,9
41,1,6:31.0,,G. Antetokounmpo misses 2-pt dunk from 1 ft (block by D. Dedmon),12,9
42,1,6:24.0,,Offensive rebound by G. Antetokounmpo,12,9
43,1,6:23.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,12,11
44,1,6:18.0,M. Muscala misses 3-pt jump shot from 27 ft,,12,11
45,1,6:18.0,,Defensive rebound by K. Middleton,12,11
46,1,6:13.0,,E. Bledsoe misses 2-pt layup from 1 ft (block by T. Prince),12,11
47,1,6:13.0,Defensive rebound by T. Prince,,12,11
48,1,6:05.0,T. Prince makes 2-pt layup from 1 ft (assist by D. Schröder),,14,11
49,1,5:45.0,,T. Snell misses 2-pt jump shot from 20 ft,14,11
50,1,5:42.0,Defensive rebound by M. Muscala,,14,11
51,1,5:36.0,M. Muscala makes 2-pt layup at rim (assist by D. Schröder),,16,11
52,1,5:22.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by J. Henson),16,14
53,1,5:10.0,,Violation by J. Henson (kicked ball),16,14
54,1,5:10.0,,B. Jennings enters the game for E. Bledsoe,16,14
55,1,5:10.0,,S. Brown enters the game for T. Snell,16,14
56,1,5:10.0,I. Taylor enters the game for T. Dorsey,,16,14
57,1,5:10.0,J. Collins enters the game for D. Dedmon,,16,14
58,1,4:58.0,J. Collins misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,16,14
59,1,4:54.0,,Defensive rebound by S. Brown,16,14
60,1,4:50.0,,B. Jennings misses 2-pt layup from 2 ft,16,14
61,1,4:48.0,Defensive rebound by M. Muscala,,16,14
