,QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
0,1,11:44.0,,S. Ibaka misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by G. Monroe,,0,0
2,1,11:23.0,M. Chriss makes 3-pt jump shot from 22 ft (assist by D. Booker),,3,0
3,1,11:04.0,,Shooting foul by M. Chriss (drawn by J. Valančiūnas),3,0
4,1,11:04.0,,J. Valančiūnas makes free throw 1 of 2,3,1
5,1,11:04.0,,J. Valančiūnas makes free throw 2 of 2,3,2
6,1,10:55.0,D. Booker misses 2-pt jump shot from 13 ft,,3,2
7,1,10:52.0,,Defensive rebound by J. Valančiūnas,3,2
8,1,10:43.0,,J. Valančiūnas misses 2-pt hook shot from 7 ft,3,2
9,1,10:41.0,,Offensive rebound by J. Valančiūnas,3,2
10,1,10:40.0,,J. Valančiūnas misses 2-pt layup at rim,3,2
11,1,10:39.0,,Offensive rebound by J. Valančiūnas,3,2
12,1,10:38.0,,J. Valančiūnas misses 2-pt layup at rim,3,2
13,1,10:37.0,Defensive rebound by D. Booker,,3,2
14,1,10:32.0,Shooting foul by O. Anunoby (drawn by D. Booker),,3,2
15,1,10:32.0,D. Booker makes free throw 1 of 2,,4,2
16,1,10:32.0,D. Booker makes free throw 2 of 2,,5,2
17,1,10:20.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),5,4
18,1,10:04.0,T. Ulis misses 2-pt jump shot from 11 ft,,5,4
19,1,10:03.0,,Defensive rebound by J. Valančiūnas,5,4
20,1,9:54.0,,D. DeRozan makes 2-pt jump shot from 7 ft,5,6
21,1,9:34.0,Turnover by D. Booker (lost ball; steal by D. DeRozan),,5,6
22,1,9:25.0,,J. Valančiūnas misses 2-pt jump shot from 9 ft,5,6
23,1,9:22.0,Defensive rebound by G. Monroe,,5,6
24,1,9:16.0,T. Warren makes 2-pt jump shot from 14 ft (assist by T. Ulis),,7,6
25,1,9:00.0,,O. Anunoby misses 3-pt jump shot from 22 ft,7,6
26,1,8:57.0,Defensive rebound by M. Chriss,,7,6
27,1,8:53.0,D. Booker misses 3-pt jump shot from 27 ft,,7,6
28,1,8:50.0,,Defensive rebound by D. DeRozan,7,6
29,1,8:48.0,,K. Lowry makes 2-pt layup from 3 ft (assist by D. DeRozan),7,8
30,1,8:32.0,Turnover by T. Ulis (bad pass; steal by O. Anunoby),,7,8
31,1,8:28.0,,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),7,10
32,1,8:28.0,Phoenix full timeout,,7,10
33,1,8:06.0,Turnover by M. Chriss (bad pass; steal by J. Valančiūnas),,7,10
34,1,7:48.0,,K. Lowry misses 3-pt jump shot from 22 ft,7,10
35,1,7:46.0,Defensive rebound by G. Monroe,,7,10
36,1,7:44.0,T. Warren makes 2-pt dunk from 1 ft (assist by T. Ulis),,9,10
37,1,7:23.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. DeRozan),9,13
38,1,7:10.0,Shooting block foul by J. Valančiūnas (drawn by M. Chriss),,9,13
39,1,7:10.0,M. Chriss makes free throw 1 of 2,,10,13
40,1,7:10.0,M. Chriss makes free throw 2 of 2,,11,13
41,1,6:52.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),11,16
42,1,6:32.0,T. Ulis makes 2-pt jump shot from 3 ft,,13,16
43,1,6:22.0,,D. DeRozan makes 2-pt jump shot from 9 ft,13,18
44,1,6:22.0,,Shooting foul by M. Chriss (drawn by D. DeRozan),13,18
45,1,6:22.0,D. Bender enters the game for M. Chriss,,13,18
46,1,6:22.0,,D. DeRozan misses free throw 1 of 1,13,18
47,1,6:19.0,Defensive rebound by G. Monroe,,13,18
48,1,6:08.0,T. Warren makes 2-pt layup from 2 ft (assist by G. Monroe),,15,18
49,1,5:46.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by D. DeRozan),15,21
50,1,5:23.0,D. Booker misses 2-pt jump shot from 9 ft,,15,21
51,1,5:20.0,,Defensive rebound by S. Ibaka,15,21
52,1,5:06.0,,S. Ibaka misses 2-pt jump shot from 16 ft,15,21
53,1,4:57.0,,Offensive rebound by J. Valančiūnas,15,21
54,1,4:57.0,,J. Valančiūnas misses 2-pt layup at rim,15,21
55,1,4:56.0,Defensive rebound by G. Monroe,,15,21
56,1,4:52.0,Turnover by G. Monroe (lost ball; steal by D. DeRozan),,15,21
57,1,4:48.0,,O. Anunoby misses 2-pt layup from 1 ft,15,21
58,1,4:46.0,Defensive rebound by T. Warren,,15,21
59,1,4:41.0,T. Ulis makes 3-pt jump shot from 25 ft (assist by G. Monroe),,18,21
60,1,4:32.0,,Toronto full timeout,18,21
61,1,4:32.0,,P. Siakam enters the game for S. Ibaka,18,21
62,1,4:32.0,,J. Poeltl enters the game for J. Valančiūnas,18,21
63,1,4:32.0,A. Len enters the game for D. Booker,,18,21
64,1,4:32.0,J. Jackson enters the game for G. Monroe,,18,21
65,1,4:25.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),18,24
66,1,4:14.0,Personal foul by O. Anunoby (drawn by T. Warren),,18,24
67,1,4:14.0,,C. Miles enters the game for O. Anunoby,18,24
68,1,4:08.0,Personal block foul by J. Poeltl (drawn by T. Ulis),,18,24
69,1,4:02.0,T. Ulis misses 2-pt jump shot from 8 ft,,18,24
70,1,3:59.0,,Defensive rebound by P. Siakam,18,24
71,1,3:47.0,,J. Poeltl makes 2-pt jump shot from 11 ft (assist by P. Siakam),18,26
72,1,3:38.0,Turnover by A. Len (bad pass; steal by P. Siakam),,18,26
73,1,3:33.0,,C. Miles misses 3-pt jump shot from 25 ft,18,26
74,1,3:29.0,,Offensive rebound by P. Siakam,18,26
75,1,3:26.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by C. Miles),18,29
76,1,3:10.0,T. Warren misses 2-pt jump shot from 11 ft,,18,29
77,1,3:08.0,,Defensive rebound by D. DeRozan,18,29
78,1,3:02.0,,D. DeRozan misses 2-pt layup from 1 ft,18,29
79,1,2:59.0,Defensive rebound by A. Len,,18,29
80,1,2:49.0,J. Jackson misses 2-pt jump shot from 6 ft,,18,29
81,1,2:47.0,,Defensive rebound by J. Poeltl,18,29
82,1,2:40.0,,K. Lowry makes 2-pt jump shot from 17 ft,18,31
83,1,2:18.0,Turnover by T. Ulis (bad pass; steal by K. Lowry),,18,31
84,1,2:11.0,,P. Siakam misses 2-pt jump shot from 6 ft,18,31
85,1,2:08.0,Defensive rebound by D. Bender,,18,31
86,1,2:06.0,,Offensive charge foul by T. Warren (drawn by K. Lowry),18,31
87,1,2:06.0,Turnover by T. Warren (offensive foul),,18,31
88,1,2:06.0,,F. VanVleet enters the game for K. Lowry,18,31
89,1,2:06.0,,N. Powell enters the game for D. DeRozan,18,31
90,1,2:06.0,D. Booker enters the game for T. Ulis,,18,31
91,1,2:06.0,T. Daniels enters the game for T. Warren,,18,31
92,1,1:49.0,,P. Siakam misses 2-pt jump shot from 4 ft,18,31
93,1,1:45.0,Defensive rebound by D. Booker,,18,31
94,1,1:42.0,D. Bender misses 3-pt jump shot from 25 ft,,18,31
95,1,1:37.0,Offensive rebound by Team,,18,31
96,1,1:25.0,Shooting foul by P. Siakam (drawn by J. Jackson),,18,31
97,1,1:25.0,J. Jackson misses free throw 1 of 2,,18,31
98,1,1:25.0,Offensive rebound by Team,,18,31
99,1,1:25.0,J. Jackson makes free throw 2 of 2,,19,31
100,1,1:12.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by P. Siakam),19,34
101,1,0:50.0,Personal foul by J. Poeltl (drawn by D. Booker),,19,34
102,1,0:50.0,D. Booker misses free throw 1 of 2,,19,34
103,1,0:50.0,Offensive rebound by Team,,19,34
104,1,0:50.0,D. Booker misses free throw 2 of 2,,19,34
105,1,0:49.0,,Defensive rebound by J. Poeltl,19,34
106,1,0:33.0,,N. Powell makes 2-pt layup from 1 ft,19,36
107,1,0:26.0,Personal foul by N. Powell (drawn by D. Booker),,19,36
108,1,0:26.0,D. Booker makes free throw 1 of 2,,20,36
109,1,0:26.0,D. Booker makes free throw 2 of 2,,21,36
110,1,0:05.0,,J. Poeltl misses 2-pt layup from 1 ft,21,36
111,1,0:02.0,Defensive rebound by A. Len,,21,36
112,1,0:00.0,J. Jackson makes 2-pt layup from 2 ft (assist by A. Len),,23,36
113,1,0:00.0,,C. Miles misses 3-pt jump shot from 49 ft,23,36
114,1,0:00.0,,Offensive rebound by Team,23,36
115,2,11:43.0,T. Daniels misses 2-pt jump shot from 10 ft,,23,36
116,2,11:38.0,,Defensive rebound by P. Siakam,23,36
117,2,11:28.0,,C. Miles misses 2-pt layup from 1 ft,23,36
118,2,11:27.0,Defensive rebound by A. Len,,23,36
119,2,11:21.0,Turnover by A. Len (bad pass; steal by P. Siakam),,23,36
120,2,11:19.0,,Turnover by P. Siakam (bad pass),23,36
121,2,11:07.0,D. Booker misses 2-pt jump shot from 9 ft,,23,36
122,2,11:05.0,,Defensive rebound by N. Powell,23,36
123,2,10:59.0,,P. Siakam misses 3-pt jump shot from 22 ft,23,36
124,2,10:57.0,Defensive rebound by A. Len,,23,36
125,2,10:53.0,Personal foul by N. Powell (drawn by J. Jackson),,23,36
126,2,10:48.0,Turnover by J. Jackson (bad pass; steal by P. Siakam),,23,36
127,2,10:41.0,,J. Poeltl misses 2-pt layup from 6 ft (block by A. Len),23,36
128,2,10:37.0,,Offensive rebound by J. Poeltl,23,36
129,2,10:36.0,,Turnover by N. Powell (step out of bounds),23,36
130,2,10:15.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by J. Jackson),,26,36
131,2,10:00.0,,C. Miles misses 3-pt jump shot from 25 ft,26,36
132,2,9:58.0,Defensive rebound by J. Jackson,,26,36
133,2,9:55.0,Turnover by J. Jackson (out of bounds lost ball),,26,36
134,2,9:46.0,,Shooting foul by A. Len (drawn by C. Miles),26,36
135,2,9:46.0,,C. Miles makes free throw 1 of 2,26,37
136,2,9:46.0,,C. Miles makes free throw 2 of 2,26,38
