,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,A. Davis misses 2-pt layup from 2 ft (block by D. Bertāns),,0,0
1,1,11:37.0,Offensive rebound by E. Okafor,,0,0
2,1,11:28.0,A. Davis misses 2-pt jump shot from 16 ft,,0,0
3,1,11:27.0,,Defensive rebound by K. Anderson,0,0
4,1,11:15.0,,D. Bertāns makes 3-pt jump shot from 22 ft (assist by K. Anderson),0,3
5,1,10:58.0,Personal foul by D. Murray (drawn by J. Holiday),,0,3
6,1,10:50.0,J. Holiday misses 2-pt jump shot from 9 ft,,0,3
7,1,10:46.0,Offensive rebound by A. Davis,,0,3
8,1,10:46.0,A. Davis makes 2-pt jump shot from 2 ft,,2,3
9,1,10:24.0,,L. Aldridge makes 2-pt jump shot from 13 ft,2,5
10,1,10:18.0,E. Okafor misses 2-pt layup from 1 ft (block by P. Mills),,2,5
11,1,10:18.0,Offensive rebound by Team,,2,5
12,1,10:10.0,R. Rondo makes 3-pt jump shot from 25 ft,,5,5
13,1,9:52.0,,D. Murray misses 2-pt jump shot from 15 ft,5,5
14,1,9:50.0,Defensive rebound by J. Holiday,,5,5
15,1,9:41.0,R. Rondo misses 2-pt jump shot from 8 ft,,5,5
16,1,9:40.0,,Defensive rebound by Team,5,5
17,1,9:40.0,Loose ball foul by E. Moore (drawn by D. Murray),,5,5
18,1,9:25.0,,L. Aldridge makes 2-pt jump shot from 12 ft,5,7
19,1,9:16.0,J. Holiday misses 3-pt jump shot from 24 ft,,5,7
20,1,9:13.0,,Defensive rebound by L. Aldridge,5,7
21,1,8:57.0,,L. Aldridge makes 2-pt jump shot from 13 ft,5,9
22,1,8:44.0,J. Holiday misses 2-pt layup from 1 ft,,5,9
23,1,8:41.0,,Defensive rebound by P. Mills,5,9
24,1,8:37.0,,K. Anderson misses 2-pt layup from 9 ft,5,9
25,1,8:34.0,Defensive rebound by A. Davis,,5,9
26,1,8:26.0,J. Holiday misses 2-pt hook shot from 7 ft,,5,9
27,1,8:24.0,,Defensive rebound by K. Anderson,5,9
28,1,8:11.0,,L. Aldridge misses 2-pt jump shot from 15 ft,5,9
29,1,8:09.0,Defensive rebound by R. Rondo,,5,9
30,1,8:02.0,J. Holiday makes 2-pt jump shot from 1 ft,,7,9
31,1,7:47.0,,Shooting foul by A. Davis (drawn by D. Bertāns),7,9
32,1,7:47.0,,D. Bertāns misses free throw 1 of 3,7,9
33,1,7:47.0,,Offensive rebound by Team,7,9
34,1,7:47.0,,D. Bertāns makes free throw 2 of 3,7,10
35,1,7:47.0,,D. Green enters the game for K. Anderson,7,10
36,1,7:47.0,N. Mirotić enters the game for E. Okafor,,7,10
37,1,7:47.0,,D. Bertāns misses free throw 3 of 3,7,10
38,1,7:45.0,Defensive rebound by Team,,7,10
39,1,7:36.0,E. Moore misses 2-pt layup from 1 ft,,7,10
40,1,7:29.0,Offensive rebound by E. Moore,,7,10
41,1,7:29.0,E. Moore misses 2-pt layup at rim,,7,10
42,1,7:28.0,,Defensive rebound by D. Green,7,10
43,1,7:26.0,,P. Mills makes 2-pt jump shot from 17 ft,7,12
44,1,7:17.0,R. Rondo makes 2-pt layup from 1 ft,,9,12
45,1,7:17.0,Shooting foul by L. Aldridge (drawn by R. Rondo),,9,12
46,1,7:17.0,R. Rondo misses free throw 1 of 1,,9,12
47,1,7:13.0,,Defensive rebound by D. Murray,9,12
48,1,7:03.0,,P. Mills misses 3-pt jump shot from 25 ft,9,12
49,1,6:59.0,Defensive rebound by R. Rondo,,9,12
50,1,6:52.0,J. Holiday makes 2-pt layup at rim (assist by R. Rondo),,11,12
51,1,6:49.0,,San Antonio full timeout,11,12
52,1,6:49.0,,R. Gay enters the game for D. Bertāns,11,12
53,1,6:33.0,,L. Aldridge makes 2-pt jump shot from 14 ft,11,14
54,1,6:17.0,A. Davis misses 2-pt jump shot from 9 ft,,11,14
55,1,6:14.0,,Defensive rebound by R. Gay,11,14
56,1,6:00.0,,D. Green misses 3-pt jump shot from 22 ft,11,14
57,1,5:58.0,,Offensive rebound by L. Aldridge,11,14
58,1,5:56.0,,D. Green misses 3-pt jump shot from 24 ft,11,14
59,1,5:56.0,Defensive rebound by N. Mirotić,,11,14
60,1,5:44.0,A. Davis misses 2-pt jump shot from 20 ft,,11,14
61,1,5:41.0,,Defensive rebound by D. Murray,11,14
