,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:35.0,,A. Bradley misses 2-pt jump shot from 4 ft,0,0
1,1,11:30.0,Defensive rebound by J. Richardson,,0,0
2,1,11:11.0,Turnover by G. Dragić (turnover),,0,0
3,1,10:56.0,,T. Harris misses 3-pt jump shot from 28 ft,0,0
4,1,10:53.0,Defensive rebound by D. Waiters,,0,0
5,1,10:45.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by D. Waiters),,3,0
6,1,10:31.0,,A. Bradley misses 2-pt jump shot from 19 ft,3,0
7,1,10:28.0,Defensive rebound by J. Winslow,,3,0
8,1,10:23.0,J. Richardson misses 3-pt jump shot from 25 ft,,3,0
9,1,10:18.0,,Defensive rebound by A. Drummond,3,0
10,1,10:06.0,,Turnover by A. Bradley (bad pass; steal by H. Whiteside),3,0
11,1,9:58.0,Turnover by D. Waiters (bad pass; steal by A. Bradley),,3,0
12,1,9:53.0,,A. Bradley misses 2-pt layup from 1 ft,3,0
13,1,9:51.0,Defensive rebound by D. Waiters,,3,0
14,1,9:47.0,J. Richardson misses 3-pt jump shot from 25 ft,,3,0
15,1,9:43.0,,Defensive rebound by T. Harris,3,0
16,1,9:33.0,Loose ball foul by D. Waiters (drawn by T. Harris),,3,0
17,1,9:23.0,,R. Jackson misses 2-pt jump shot from 18 ft,3,0
18,1,9:19.0,Defensive rebound by H. Whiteside,,3,0
19,1,9:05.0,D. Waiters misses 3-pt jump shot from 26 ft,,3,0
20,1,9:02.0,,Defensive rebound by R. Bullock,3,0
21,1,8:50.0,,R. Jackson makes 2-pt jump shot from 13 ft,3,2
22,1,8:35.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by J. Winslow),,6,2
23,1,8:21.0,,Personal foul by D. Waiters (drawn by A. Drummond),6,2
24,1,8:21.0,T. Johnson enters the game for D. Waiters,,6,2
25,1,8:12.0,,R. Jackson makes 2-pt jump shot from 16 ft,6,4
26,1,7:54.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by T. Johnson),,9,4
27,1,7:39.0,,A. Bradley makes 2-pt layup from 3 ft (assist by A. Drummond),9,6
28,1,7:39.0,,Shooting foul by H. Whiteside (drawn by A. Bradley),9,6
29,1,7:39.0,,A. Bradley makes free throw 1 of 1,9,7
30,1,7:14.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by G. Dragić),,12,7
31,1,7:02.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Bradley),12,10
32,1,6:40.0,H. Whiteside makes 2-pt hook shot from 4 ft,,14,10
33,1,6:29.0,,Shooting foul by J. Richardson (drawn by R. Jackson),14,10
34,1,6:29.0,,Detroit full timeout,14,10
35,1,6:29.0,,R. Jackson makes free throw 1 of 2,14,11
36,1,6:29.0,,R. Jackson makes free throw 2 of 2,14,12
37,1,6:07.0,J. Winslow misses 3-pt jump shot from 23 ft,,14,12
38,1,6:03.0,,Defensive rebound by A. Drummond,14,12
39,1,5:51.0,,A. Bradley makes 2-pt jump shot from 18 ft,14,14
40,1,5:34.0,G. Dragić makes 2-pt jump shot from 11 ft,,16,14
41,1,5:15.0,,T. Harris misses 2-pt layup from 3 ft,16,14
42,1,5:11.0,Defensive rebound by H. Whiteside,,16,14
43,1,5:07.0,G. Dragić makes 2-pt layup from 1 ft,,18,14
44,1,4:53.0,,R. Bullock misses 3-pt jump shot from 22 ft,18,14
45,1,4:49.0,Defensive rebound by H. Whiteside,,18,14
46,1,4:37.0,G. Dragić makes 3-pt jump shot from 22 ft (assist by T. Johnson),,21,14
47,1,4:23.0,,A. Bradley misses 3-pt jump shot from 26 ft,21,14
48,1,4:20.0,Defensive rebound by H. Whiteside,,21,14
49,1,4:16.0,G. Dragić misses 3-pt jump shot from 26 ft,,21,14
50,1,4:14.0,,Defensive rebound by A. Drummond,21,14
51,1,4:07.0,,Shooting foul by J. Winslow (drawn by T. Harris),21,14
52,1,4:07.0,,T. Harris makes free throw 1 of 2,21,15
53,1,4:07.0,,L. Kennard enters the game for R. Bullock,21,15
54,1,4:07.0,K. Olynyk enters the game for J. Richardson,,21,15
55,1,4:07.0,J. Johnson enters the game for H. Whiteside,,21,15
56,1,4:07.0,,T. Harris makes free throw 2 of 2,21,16
57,1,3:56.0,J. Johnson misses 3-pt jump shot from 23 ft,,21,16
58,1,3:52.0,,Defensive rebound by T. Harris,21,16
59,1,3:50.0,,R. Jackson makes 3-pt jump shot from 28 ft,21,19
60,1,3:32.0,G. Dragić misses 2-pt layup at rim,,21,19
61,1,3:30.0,,Defensive rebound by A. Drummond,21,19
62,1,3:24.0,,A. Bradley misses 2-pt jump shot from 2 ft,21,19
63,1,3:19.0,,Offensive rebound by A. Bradley,21,19
64,1,3:19.0,,A. Bradley makes 2-pt layup at rim,21,21
65,1,3:16.0,Miami full timeout,,21,21
66,1,3:16.0,,I. Smith enters the game for R. Jackson,21,21
67,1,3:16.0,,L. Galloway enters the game for A. Bradley,21,21
