,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,D. Šarić misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,Offensive rebound by J. Embiid,,0,0
2,1,11:34.0,J. Embiid misses 2-pt jump shot from 15 ft,,0,0
3,1,11:32.0,,Defensive rebound by K. Anderson,0,0
4,1,11:08.0,,K. Anderson misses 2-pt jump shot from 16 ft,0,0
5,1,11:05.0,Defensive rebound by R. Covington,,0,0
6,1,11:00.0,B. Simmons makes 2-pt layup from 1 ft,,2,0
7,1,10:38.0,,P. Gasol misses 2-pt jump shot from 19 ft,2,0
8,1,10:36.0,Defensive rebound by B. Simmons,,2,0
9,1,10:27.0,R. Covington misses 3-pt jump shot from 23 ft,,2,0
10,1,10:27.0,,Defensive rebound by P. Gasol,2,0
11,1,10:16.0,,P. Gasol makes 2-pt layup at rim (assist by D. Murray),2,2
12,1,10:16.0,,Shooting foul by R. Covington (drawn by P. Gasol),2,2
13,1,10:16.0,,P. Gasol makes free throw 1 of 1,2,3
14,1,10:03.0,Shooting foul by K. Anderson (drawn by J. Embiid),,2,3
15,1,10:03.0,J. Embiid misses free throw 1 of 2,,2,3
16,1,10:03.0,Offensive rebound by Team,,2,3
17,1,10:03.0,J. Embiid makes free throw 2 of 2,,3,3
18,1,9:42.0,,K. Anderson misses 2-pt jump shot from 4 ft,3,3
19,1,9:40.0,Defensive rebound by R. Covington,,3,3
20,1,9:31.0,B. Simmons misses 2-pt layup at rim,,3,3
21,1,9:31.0,Offensive rebound by D. Šarić,,3,3
22,1,9:24.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,3,3
23,1,9:24.0,,Defensive rebound by D. Murray,3,3
24,1,9:16.0,,D. Green misses 3-pt jump shot from 25 ft,3,3
25,1,9:12.0,Defensive rebound by T. Luwawu-Cabarrot,,3,3
26,1,9:03.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,3,3
27,1,9:01.0,,Defensive rebound by D. Murray,3,3
28,1,8:55.0,,P. Gasol makes 2-pt dunk from 2 ft (assist by D. Murray),3,5
29,1,8:38.0,D. Šarić makes 2-pt jump shot from 7 ft (assist by B. Simmons),,5,5
30,1,8:11.0,,Turnover by K. Anderson (bad pass; steal by T. Luwawu-Cabarrot),5,5
31,1,8:08.0,B. Simmons makes 2-pt dunk at rim,,7,5
32,1,8:05.0,,San Antonio full timeout,7,5
33,1,7:49.0,,P. Gasol misses 2-pt layup at rim (block by D. Šarić),7,5
34,1,7:47.0,Defensive rebound by D. Šarić,,7,5
35,1,7:39.0,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft,,7,5
36,1,7:39.0,,Defensive rebound by K. Anderson,7,5
37,1,7:33.0,,Turnover by K. Anderson (bad pass; steal by B. Simmons),7,5
38,1,7:24.0,R. Covington misses 3-pt jump shot from 25 ft,,7,5
39,1,7:20.0,,Defensive rebound by P. Gasol,7,5
40,1,7:10.0,,P. Gasol misses 2-pt jump shot from 13 ft,7,5
