,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:44.0,M. Gortat misses 2-pt jump shot from 13 ft,,0,0
1,1,11:42.0,,Defensive rebound by S. Johnson,0,0
2,1,11:35.0,,A. Tolliver misses 3-pt jump shot from 26 ft,0,0
3,1,11:32.0,,Offensive rebound by A. Drummond,0,0
4,1,11:31.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
5,1,11:31.0,,Offensive rebound by Team,0,0
6,1,11:28.0,,S. Johnson misses 2-pt layup from 5 ft,0,0
7,1,11:21.0,,Offensive rebound by S. Johnson,0,0
8,1,11:21.0,,S. Johnson makes 2-pt layup at rim,0,2
9,1,11:12.0,M. Gortat misses 2-pt hook shot from 8 ft,,0,2
10,1,11:07.0,,Defensive rebound by R. Jackson,0,2
11,1,10:58.0,,R. Bullock misses 3-pt jump shot from 26 ft,0,2
12,1,10:56.0,Defensive rebound by M. Gortat,,0,2
13,1,10:47.0,M. Morris misses 3-pt jump shot from 23 ft,,0,2
14,1,10:43.0,,Defensive rebound by A. Drummond,0,2
15,1,10:34.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),0,4
16,1,10:10.0,O. Porter misses 2-pt jump shot from 6 ft,,0,4
17,1,10:06.0,Offensive rebound by M. Gortat,,0,4
18,1,10:04.0,M. Gortat makes 2-pt hook shot from 4 ft,,2,4
19,1,9:50.0,,S. Johnson misses 2-pt jump shot from 14 ft,2,4
20,1,9:48.0,Defensive rebound by M. Morris,,2,4
21,1,9:36.0,M. Gortat makes 2-pt hook shot from 9 ft (assist by O. Porter),,4,4
22,1,9:14.0,,Turnover by R. Bullock (bad pass; steal by M. Gortat),4,4
23,1,9:08.0,B. Beal makes 2-pt layup from 2 ft,,6,4
24,1,8:54.0,,R. Jackson misses 2-pt jump shot from 14 ft,6,4
25,1,8:53.0,Defensive rebound by M. Gortat,,6,4
26,1,8:53.0,,Loose ball foul by A. Drummond (drawn by M. Gortat),6,4
27,1,8:40.0,B. Beal misses 2-pt jump shot from 17 ft,,6,4
28,1,8:36.0,,Defensive rebound by A. Drummond,6,4
29,1,8:16.0,,R. Jackson makes 2-pt jump shot from 11 ft,6,6
30,1,8:03.0,M. Gortat makes 2-pt jump shot from 7 ft (assist by O. Porter),,8,6
31,1,7:50.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),8,8
32,1,7:29.0,O. Porter misses 3-pt jump shot from 25 ft,,8,8
33,1,7:26.0,,Defensive rebound by A. Drummond,8,8
34,1,7:18.0,,Personal foul by M. Morris (drawn by R. Jackson),8,8
35,1,7:13.0,,R. Jackson misses 2-pt jump shot from 9 ft,8,8
36,1,7:10.0,Defensive rebound by O. Porter,,8,8
37,1,7:02.0,Shooting foul by A. Tolliver (drawn by O. Porter),,8,8
38,1,7:02.0,O. Porter makes free throw 1 of 2,,9,8
39,1,7:02.0,O. Porter makes free throw 2 of 2,,10,8
40,1,6:45.0,,S. Johnson makes 2-pt layup from 2 ft (assist by R. Jackson),10,10
41,1,6:28.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,13,10
42,1,6:01.0,,A. Drummond misses 2-pt hook shot from 6 ft,13,10
43,1,6:00.0,,Offensive rebound by S. Johnson,13,10
44,1,5:59.0,,S. Johnson makes 2-pt layup at rim,13,12
45,1,5:59.0,Washington full timeout,,13,12
46,1,5:59.0,,I. Smith enters the game for R. Jackson,13,12
47,1,5:49.0,Turnover by M. Morris (bad pass; steal by S. Johnson),,13,12
48,1,5:42.0,,Turnover by S. Johnson (out of bounds lost ball),13,12
49,1,5:22.0,B. Beal makes 2-pt jump shot from 15 ft,,15,12
50,1,5:04.0,,Turnover by A. Tolliver (bad pass; steal by M. Morris),15,12
