,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
0,1,11:49.0,,Personal foul by T. Snell (drawn by D. Brooks),0,0
1,1,11:41.0,,M. Gasol makes 2-pt hook shot from 1 ft,0,2
2,1,11:41.0,,Shooting foul by J. Henson (drawn by M. Gasol),0,2
3,1,11:41.0,,M. Gasol misses free throw 1 of 1,0,2
4,1,11:37.0,Defensive rebound by J. Henson,,0,2
5,1,11:22.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,3,2
6,1,11:08.0,,D. Brooks makes 2-pt dunk at rim (assist by M. Gasol),3,4
7,1,10:51.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,3,4
8,1,10:49.0,,Defensive rebound by J. Green,3,4
9,1,10:37.0,,D. Brooks misses 3-pt jump shot from 26 ft,3,4
10,1,10:34.0,Defensive rebound by J. Henson,,3,4
11,1,10:22.0,T. Snell misses 3-pt jump shot from 26 ft,,3,4
12,1,10:20.0,,Defensive rebound by M. Gasol,3,4
13,1,10:14.0,,K. Simmons makes 2-pt layup at rim,3,6
14,1,10:00.0,K. Middleton misses 2-pt jump shot from 17 ft,,3,6
15,1,9:58.0,,Defensive rebound by Team,3,6
16,1,9:58.0,Loose ball foul by G. Antetokounmpo (drawn by K. Simmons),,3,6
17,1,9:46.0,,Personal foul by E. Bledsoe (drawn by K. Simmons),3,6
18,1,9:33.0,,J. Green makes 2-pt dunk from 1 ft,3,8
19,1,9:20.0,Personal foul by J. Green (drawn by G. Antetokounmpo),,3,8
20,1,9:12.0,K. Middleton makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),,5,8
21,1,8:58.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by J. Martin),5,10
22,1,8:47.0,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),,7,10
23,1,8:33.0,,Turnover by J. Green (bad pass),7,10
24,1,8:16.0,G. Antetokounmpo misses 2-pt jump shot from 12 ft,,7,10
25,1,8:15.0,,Defensive rebound by M. Gasol,7,10
26,1,8:10.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by K. Simmons),7,13
27,1,7:54.0,K. Middleton misses 2-pt jump shot from 13 ft,,7,13
28,1,7:51.0,,Defensive rebound by J. Green,7,13
29,1,7:40.0,,J. Martin makes 2-pt jump shot from 22 ft (assist by K. Simmons),7,15
30,1,7:33.0,Milwaukee full timeout,,7,15
31,1,7:15.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft (assist by T. Snell),,9,15
32,1,6:54.0,,K. Simmons makes 2-pt jump shot from 20 ft (assist by J. Martin),9,17
33,1,6:41.0,T. Snell makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,12,17
34,1,6:23.0,,M. Gasol makes 2-pt layup at rim (assist by K. Simmons),12,19
35,1,6:08.0,Personal foul by M. Gasol (drawn by G. Antetokounmpo),,12,19
36,1,5:53.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,15,19
37,1,5:36.0,,K. Simmons misses 2-pt layup from 1 ft (block by J. Henson),15,19
38,1,5:34.0,Defensive rebound by J. Henson,,15,19
39,1,5:27.0,Personal foul by D. Brooks (drawn by E. Bledsoe),,15,19
40,1,5:27.0,,B. McLemore enters the game for J. Martin,15,19
41,1,5:27.0,S. Brown enters the game for T. Snell,,15,19
42,1,5:25.0,Personal foul by K. Simmons (drawn by E. Bledsoe),,15,19
43,1,5:12.0,K. Middleton makes 2-pt jump shot from 12 ft,,17,19
44,1,4:56.0,,M. Gasol makes 2-pt layup at rim,17,21
45,1,4:51.0,Turnover by E. Bledsoe (out of bounds lost ball),,17,21
46,1,4:51.0,,C. Parsons enters the game for D. Brooks,17,21
47,1,4:51.0,J. Parker enters the game for G. Antetokounmpo,,17,21
48,1,4:31.0,,M. Gasol misses 2-pt layup at rim,17,21
49,1,4:27.0,,Offensive rebound by J. Green,17,21
50,1,4:27.0,,Shooting foul by J. Henson (drawn by J. Green),17,21
51,1,4:27.0,,J. Green makes free throw 1 of 2,17,22
52,1,4:27.0,,X. Rathan-Mayes enters the game for K. Simmons,17,22
53,1,4:27.0,T. Zeller enters the game for J. Henson,,17,22
54,1,4:27.0,,J. Green misses free throw 2 of 2,17,22
55,1,4:25.0,Defensive rebound by T. Zeller,,17,22
56,1,4:14.0,K. Middleton makes 2-pt jump shot from 9 ft,,19,22
57,1,4:05.0,,M. Gasol misses 3-pt jump shot from 25 ft,19,22
58,1,4:03.0,Defensive rebound by E. Bledsoe,,19,22
59,1,3:57.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by S. Brown),,22,22
60,1,3:37.0,,Turnover by C. Parsons (bad pass; steal by E. Bledsoe),22,22
61,1,3:27.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,22,22
62,1,3:24.0,,Defensive rebound by M. Gasol,22,22
