,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
55,1,5:09.0,B. Ingram misses 2-pt jump shot from 14 ft,,13,16
56,1,5:07.0,Offensive rebound by B. Ingram,,13,16
57,1,4:56.0,Turnover by B. Lopez (turnover),,13,16
58,1,4:43.0,,J. Jack misses 2-pt jump shot from 18 ft,13,16
59,1,4:41.0,Defensive rebound by B. Ingram,,13,16
60,1,4:25.0,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),,16,16
61,1,4:07.0,,K. Porziņģis misses 2-pt jump shot from 10 ft (block by B. Ingram),16,16
62,1,4:05.0,,Offensive rebound by K. Porziņģis,16,16
63,1,4:03.0,,K. Porziņģis misses 2-pt jump shot from 5 ft,16,16
64,1,4:00.0,,Offensive rebound by E. Freedom,16,16
65,1,3:53.0,,D. McDermott makes 2-pt layup from 1 ft (assist by J. Jack),16,18
66,1,3:43.0,L. Nance misses 2-pt jump shot from 13 ft,,16,18
67,1,3:42.0,,Defensive rebound by C. Lee,16,18
68,1,3:34.0,,C. Lee misses 2-pt jump shot from 13 ft,16,18
69,1,3:33.0,Defensive rebound by B. Ingram,,16,18
70,1,3:26.0,B. Ingram misses 2-pt jump shot from 13 ft,,16,18
71,1,3:24.0,,Defensive rebound by J. Jack,16,18
72,1,3:17.0,,D. McDermott misses 3-pt jump shot from 24 ft,16,18
73,1,3:15.0,Defensive rebound by K. Caldwell-Pope,,16,18
74,1,3:07.0,L. Ball misses 3-pt jump shot from 22 ft,,16,18
75,1,3:05.0,Offensive rebound by L. Nance,,16,18
76,1,3:05.0,L. Nance makes 2-pt dunk at rim,,18,18
77,1,2:49.0,,J. Jack misses 2-pt jump shot from 19 ft,18,18
78,1,2:48.0,,Offensive rebound by D. McDermott,18,18
79,1,2:46.0,,D. McDermott misses 2-pt layup from 1 ft,18,18
80,1,2:45.0,Defensive rebound by L. Nance,,18,18
81,1,2:40.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,18,18
82,1,2:39.0,Offensive rebound by B. Lopez,,18,18
83,1,2:34.0,B. Lopez makes 2-pt layup at rim,,20,18
84,1,2:07.0,,Turnover by K. Porziņģis (bad pass; steal by K. Caldwell-Pope),20,18
85,1,2:05.0,Turnover by K. Caldwell-Pope (bad pass),,20,18
86,1,2:05.0,,F. Ntilikina enters the game for E. Freedom,20,18
87,1,2:05.0,,K. O'Quinn enters the game for J. Jack,20,18
88,1,2:05.0,K. Kuzma enters the game for B. Ingram,,20,18
89,1,2:05.0,J. Randle enters the game for L. Nance,,20,18
90,1,2:05.0,J. Clarkson enters the game for B. Lopez,,20,18
91,1,1:53.0,,K. Porziņģis makes 2-pt dunk at rim (assist by K. O'Quinn),20,20
