,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,Turnover by E. Moore (lost ball; steal by Z. Pachulia),,0,0
1,1,11:38.0,,S. Curry misses 3-pt jump shot from 27 ft,0,0
2,1,11:34.0,Defensive rebound by J. Holiday,,0,0
3,1,11:31.0,J. Holiday makes 3-pt jump shot from 24 ft,,3,0
4,1,11:12.0,,Z. Pachulia misses 2-pt jump shot from 8 ft,3,0
5,1,11:08.0,Defensive rebound by A. Davis,,3,0
6,1,11:05.0,D. Cousins misses 2-pt layup from 1 ft (block by O. Casspi),,3,0
7,1,11:05.0,Offensive rebound by Team,,3,0
8,1,11:02.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),,5,0
9,1,10:57.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,0
10,1,10:40.0,Defensive rebound by D. Cousins,,5,0
11,1,10:38.0,Personal foul by Z. Pachulia (drawn by D. Cousins),,5,0
12,1,10:27.0,D. Cousins misses 3-pt jump shot from 25 ft,,5,0
13,1,10:26.0,,Defensive rebound by Team,5,0
14,1,10:10.0,,O. Casspi misses 2-pt layup from 2 ft,5,0
15,1,10:06.0,Defensive rebound by D. Cousins,,5,0
16,1,10:03.0,R. Rondo misses 2-pt layup from 2 ft (block by K. Thompson),,5,0
17,1,9:57.0,,Defensive rebound by K. Thompson,5,0
18,1,9:55.0,,Turnover by D. Green (bad pass),5,0
19,1,9:43.0,A. Davis misses 2-pt jump shot from 16 ft,,5,0
20,1,9:42.0,,Defensive rebound by Team,5,0
21,1,9:42.0,Loose ball foul by R. Rondo (drawn by O. Casspi),,5,0
22,1,9:27.0,,O. Casspi makes 3-pt jump shot from 22 ft (assist by Z. Pachulia),5,3
23,1,9:12.0,J. Holiday misses 3-pt jump shot from 24 ft,,5,3
24,1,9:10.0,,Defensive rebound by Team,5,3
25,1,9:10.0,Loose ball foul by D. Cousins (drawn by D. Green),,5,3
26,1,8:59.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by O. Casspi),5,5
27,1,8:44.0,Turnover by D. Cousins (lost ball; steal by S. Curry),,5,5
28,1,8:41.0,,Turnover by S. Curry (bad pass),5,5
29,1,8:27.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by R. Rondo),,8,5
30,1,8:16.0,,K. Thompson misses 3-pt jump shot from 26 ft,8,5
31,1,8:13.0,Defensive rebound by R. Rondo,,8,5
