,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
0,1,11:39.0,,E. Payton misses 2-pt jump shot from 5 ft,0,0
1,1,11:35.0,Defensive rebound by T. Ennis,,0,0
2,1,11:27.0,J. Randle makes 2-pt jump shot from 12 ft,,2,0
3,1,11:11.0,Violation by B. Lopez (kicked ball),,2,0
4,1,11:06.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by E. Fournier),2,2
5,1,10:54.0,Shooting foul by B. Biyombo (drawn by T. Ennis),,2,2
6,1,10:54.0,T. Ennis makes free throw 1 of 2,,3,2
7,1,10:54.0,T. Ennis misses free throw 2 of 2,,3,2
8,1,10:48.0,Offensive rebound by T. Ennis,,3,2
9,1,10:46.0,Shooting foul by J. Simmons (drawn by B. Ingram),,3,2
10,1,10:46.0,B. Ingram misses free throw 1 of 2,,3,2
11,1,10:46.0,Offensive rebound by Team,,3,2
12,1,10:46.0,B. Ingram makes free throw 2 of 2,,4,2
13,1,10:29.0,,E. Fournier misses 2-pt jump shot from 17 ft,4,2
14,1,10:26.0,Defensive rebound by B. Ingram,,4,2
15,1,10:21.0,J. Randle makes 2-pt hook shot from 4 ft (assist by B. Ingram),,6,2
16,1,10:09.0,,B. Biyombo misses 2-pt jump shot from 11 ft,6,2
17,1,10:07.0,Defensive rebound by T. Ennis,,6,2
18,1,10:00.0,B. Lopez misses 3-pt jump shot from 26 ft,,6,2
19,1,9:57.0,,Defensive rebound by E. Fournier,6,2
20,1,9:49.0,,J. Simmons misses 2-pt jump shot from 15 ft,6,2
21,1,9:45.0,Defensive rebound by B. Lopez,,6,2
22,1,9:43.0,Turnover by B. Lopez (bad pass; steal by E. Payton),,6,2
23,1,9:38.0,,E. Payton makes 2-pt layup from 4 ft,6,4
24,1,9:30.0,J. Randle misses 2-pt jump shot from 16 ft,,6,4
25,1,9:30.0,,Defensive rebound by B. Biyombo,6,4
26,1,9:22.0,,Turnover by E. Payton (bad pass; steal by B. Lopez),6,4
27,1,9:16.0,B. Ingram makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,8,4
28,1,8:54.0,,M. Speights misses 3-pt jump shot from 26 ft,8,4
29,1,8:54.0,Defensive rebound by T. Ennis,,8,4
30,1,8:35.0,B. Lopez makes 2-pt jump shot from 13 ft (assist by K. Caldwell-Pope),,10,4
31,1,8:20.0,,Shooting foul by T. Ennis (drawn by E. Fournier),10,4
32,1,8:20.0,,E. Fournier makes free throw 1 of 2,10,5
33,1,8:20.0,,E. Fournier makes free throw 2 of 2,10,6
34,1,8:11.0,T. Ennis misses 2-pt layup from 1 ft (block by E. Payton),,10,6
35,1,8:07.0,,Defensive rebound by M. Speights,10,6
36,1,8:07.0,,Turnover by E. Fournier (traveling),10,6
37,1,7:52.0,B. Lopez misses 3-pt jump shot from 27 ft,,10,6
38,1,7:50.0,,Defensive rebound by E. Payton,10,6
39,1,7:41.0,,E. Payton makes 2-pt layup from 2 ft,10,8
40,1,7:31.0,T. Ennis misses 3-pt jump shot from 25 ft,,10,8
41,1,7:31.0,Offensive rebound by J. Randle,,10,8
42,1,7:26.0,J. Randle misses 2-pt hook shot from 8 ft,,10,8
43,1,7:24.0,,Defensive rebound by Team,10,8
44,1,7:23.0,Loose ball foul by B. Lopez (drawn by M. Speights),,10,8
45,1,7:15.0,,M. Speights misses 2-pt jump shot from 19 ft,10,8
46,1,7:15.0,,Offensive rebound by Team,10,8
47,1,7:15.0,,Shooting foul by B. Lopez (drawn by J. Simmons),10,8
48,1,7:15.0,,J. Simmons makes free throw 1 of 2,10,9
49,1,7:15.0,,J. Simmons makes free throw 2 of 2,10,10
