,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,J. Harris misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:23.0,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by D. DeRozan),,2,0
3,1,11:06.0,,T. Zeller misses 2-pt layup from 1 ft (block by S. Ibaka),2,0
4,1,11:04.0,Defensive rebound by D. DeRozan,,2,0
5,1,10:53.0,Offensive foul by S. Ibaka (drawn by R. Hollis-Jefferson),,2,0
6,1,10:53.0,Turnover by S. Ibaka (offensive foul),,2,0
7,1,10:36.0,,A. Crabbe misses 2-pt jump shot from 18 ft,2,0
8,1,10:34.0,Defensive rebound by J. Valančiūnas,,2,0
9,1,10:31.0,K. Lowry makes 3-pt jump shot from 25 ft,,5,0
10,1,10:06.0,,Shooting block foul by O. Anunoby (drawn by T. Zeller),5,0
11,1,10:06.0,,T. Zeller misses free throw 1 of 2,5,0
12,1,10:06.0,,Offensive rebound by Team,5,0
13,1,10:06.0,,T. Zeller makes free throw 2 of 2,5,1
14,1,9:47.0,S. Ibaka makes 2-pt layup from 4 ft (assist by D. DeRozan),,7,1
15,1,9:22.0,,T. Zeller misses 2-pt hook shot from 5 ft (block by J. Valančiūnas),7,1
16,1,9:20.0,Defensive rebound by J. Valančiūnas,,7,1
17,1,9:11.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,10,1
18,1,8:58.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,10,1
19,1,8:55.0,Defensive rebound by J. Valančiūnas,,10,1
20,1,8:46.0,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,12,1
21,1,8:46.0,Shooting foul by T. Zeller (drawn by J. Valančiūnas),,12,1
22,1,8:46.0,,Brooklyn full timeout,12,1
23,1,8:46.0,J. Valančiūnas makes free throw 1 of 1,,13,1
24,1,8:29.0,,S. Dinwiddie makes 2-pt jump shot from 11 ft,13,3
25,1,8:18.0,D. DeRozan misses 2-pt hook shot from 8 ft,,13,3
26,1,8:15.0,,Defensive rebound by T. Zeller,13,3
