,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
82,1,2:40.0,H. Barnes misses free throw 2 of 2,,27,27
83,1,2:35.0,Offensive rebound by N. Noel,,27,27
84,1,2:27.0,H. Barnes makes 2-pt layup from 2 ft,,29,27
85,1,2:07.0,,Personal foul by M. Kleber (drawn by B. Griffin),29,27
86,1,2:07.0,,B. Griffin makes free throw 1 of 2,29,28
87,1,2:07.0,,B. Griffin makes free throw 2 of 2,29,29
88,1,1:43.0,J. Barea misses 2-pt jump shot from 13 ft,,29,29
89,1,1:40.0,,Defensive rebound by W. Reed,29,29
90,1,1:32.0,,B. Griffin misses 2-pt jump shot from 4 ft,29,29
91,1,1:29.0,Defensive rebound by H. Barnes,,29,29
92,1,1:21.0,D. Smith misses 2-pt jump shot from 17 ft,,29,29
93,1,1:17.0,,Defensive rebound by B. Griffin,29,29
94,1,1:10.0,,L. Williams misses 2-pt layup from 2 ft,29,29
95,1,1:07.0,Defensive rebound by M. Kleber,,29,29
96,1,1:00.0,J. Barea misses 2-pt layup from 2 ft (block by W. Reed),,29,29
97,1,0:57.0,,Defensive rebound by W. Reed,29,29
98,1,0:55.0,,Shooting foul by H. Barnes (drawn by S. Thornwell),29,29
99,1,0:55.0,,S. Thornwell misses free throw 1 of 2,29,29
100,1,0:55.0,,Offensive rebound by Team,29,29
101,1,0:55.0,,D. Gallinari enters the game for B. Griffin,29,29
102,1,0:55.0,,S. Thornwell makes free throw 2 of 2,29,30
103,1,0:33.0,H. Barnes misses 3-pt jump shot from 30 ft,,29,30
104,1,0:29.0,,Defensive rebound by W. Reed,29,30
105,1,0:07.0,,L. Williams makes 2-pt jump shot from 15 ft,29,32
106,1,0:04.0,Personal foul by S. Thornwell (drawn by D. Smith),,29,32
107,1,0:04.0,,A. Rivers enters the game for L. Williams,29,32
108,1,0:04.0,,M. Harrell enters the game for W. Reed,29,32
109,1,0:04.0,D. Nowitzki enters the game for N. Noel,,29,32
