,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
0,1,11:35.0,J. Butler misses 2-pt jump shot from 15 ft,,0,0
1,1,11:30.0,,Defensive rebound by B. Adebayo,0,0
2,1,11:11.0,,J. Richardson misses 3-pt jump shot from 23 ft,0,0
3,1,11:08.0,Defensive rebound by J. Teague,,0,0
4,1,11:00.0,Turnover by J. Teague (bad pass; steal by J. Richardson),,0,0
5,1,10:54.0,,J. Richardson makes 2-pt dunk from 3 ft,0,2
6,1,10:39.0,K. Towns misses 2-pt jump shot from 17 ft,,0,2
7,1,10:35.0,,Defensive rebound by J. Johnson,0,2
8,1,10:23.0,,B. Adebayo misses 2-pt hook shot from 5 ft,0,2
9,1,10:18.0,Defensive rebound by K. Towns,,0,2
10,1,10:13.0,J. Butler misses 2-pt jump shot from 14 ft,,0,2
11,1,10:09.0,,Defensive rebound by J. Johnson,0,2
12,1,10:05.0,,D. Waiters makes 2-pt layup from 3 ft,0,4
13,1,9:49.0,Personal foul by B. Adebayo (drawn by K. Towns),,0,4
14,1,9:43.0,J. Teague misses 3-pt jump shot from 25 ft,,0,4
15,1,9:39.0,,Defensive rebound by J. Johnson,0,4
16,1,9:34.0,,G. Dragić makes 2-pt layup from 1 ft,0,6
17,1,9:24.0,Shooting foul by G. Dragić (drawn by J. Teague),,0,6
18,1,9:24.0,J. Teague makes free throw 1 of 2,,1,6
19,1,9:24.0,J. Teague makes free throw 2 of 2,,2,6
20,1,9:16.0,,Shooting foul by K. Towns (drawn by J. Johnson),2,6
21,1,9:16.0,,J. Johnson misses free throw 1 of 2,2,6
22,1,9:16.0,,J. Johnson makes free throw 2 of 2,2,7
23,1,9:08.0,A. Wiggins misses 2-pt jump shot from 10 ft,,2,7
24,1,9:03.0,,Defensive rebound by J. Johnson,2,7
25,1,8:58.0,,D. Waiters makes 2-pt jump shot from 20 ft,2,9
26,1,8:39.0,A. Wiggins misses 2-pt jump shot from 19 ft (block by J. Richardson),,2,9
27,1,8:34.0,,Defensive rebound by G. Dragić,2,9
28,1,8:32.0,,G. Dragić makes 2-pt jump shot from 4 ft,2,11
29,1,8:09.0,J. Teague misses 2-pt layup from 3 ft,,2,11
30,1,8:04.0,,Defensive rebound by D. Waiters,2,11
31,1,7:58.0,,J. Richardson misses 3-pt jump shot from 22 ft,2,11
32,1,7:56.0,Defensive rebound by A. Wiggins,,2,11
33,1,7:52.0,Turnover by J. Teague (bad pass; steal by J. Johnson),,2,11
34,1,7:36.0,,D. Waiters misses 2-pt layup from 3 ft,2,11
35,1,7:35.0,,Offensive rebound by B. Adebayo,2,11
36,1,7:35.0,,Shooting foul by T. Gibson (drawn by B. Adebayo),2,11
37,1,7:35.0,,B. Adebayo makes free throw 1 of 2,2,12
38,1,7:35.0,,B. Adebayo misses free throw 2 of 2,2,12
39,1,7:32.0,Defensive rebound by K. Towns,,2,12
40,1,7:13.0,T. Gibson misses 2-pt jump shot from 10 ft (block by J. Johnson),,2,12
41,1,7:08.0,Offensive rebound by J. Butler,,2,12
42,1,7:04.0,J. Butler makes 2-pt layup from 3 ft,,4,12
43,1,6:48.0,,J. Richardson misses 2-pt layup from 3 ft,4,12
44,1,6:45.0,Defensive rebound by J. Teague,,4,12
45,1,6:41.0,K. Towns makes 2-pt dunk from 3 ft (assist by J. Teague),,6,12
46,1,6:24.0,,J. Johnson misses 2-pt layup from 5 ft,6,12
47,1,6:19.0,,Offensive rebound by B. Adebayo,6,12
48,1,6:19.0,,B. Adebayo makes 2-pt dunk at rim,6,14
49,1,6:12.0,J. Teague misses 2-pt layup from 6 ft,,6,14
50,1,6:09.0,,Defensive rebound by G. Dragić,6,14
51,1,6:05.0,,G. Dragić makes 2-pt layup from 3 ft,6,16
52,1,5:58.0,Minnesota full timeout,,6,16
53,1,5:58.0,,T. Johnson enters the game for G. Dragić,6,16
54,1,5:47.0,K. Towns makes 3-pt jump shot from 27 ft (assist by J. Butler),,9,16
55,1,5:26.0,,J. Richardson makes 3-pt jump shot from 22 ft (assist by D. Waiters),9,19
56,1,5:07.0,A. Wiggins misses 2-pt jump shot from 6 ft,,9,19
57,1,5:02.0,Offensive rebound by K. Towns,,9,19
58,1,5:00.0,K. Towns makes 2-pt layup from 4 ft,,11,19
59,1,4:44.0,,D. Waiters misses 3-pt jump shot from 26 ft,11,19
60,1,4:39.0,,Offensive rebound by B. Adebayo,11,19
61,1,4:30.0,,T. Johnson makes 2-pt jump shot from 5 ft,11,21
62,1,4:16.0,J. Teague misses 2-pt layup from 4 ft,,11,21
63,1,4:13.0,,Defensive rebound by J. Johnson,11,21
64,1,4:00.0,,B. Adebayo misses 2-pt jump shot from 12 ft,11,21
65,1,3:56.0,Defensive rebound by T. Gibson,,11,21
66,1,3:51.0,J. Teague makes 3-pt jump shot from 26 ft,,14,21
67,1,3:29.0,,Shooting foul by T. Gibson (drawn by J. Johnson),14,21
68,1,3:29.0,,J. Johnson makes free throw 1 of 2,14,22
69,1,3:29.0,,K. Olynyk enters the game for J. Richardson,14,22
70,1,3:29.0,,J. Winslow enters the game for B. Adebayo,14,22
71,1,3:29.0,G. Dieng enters the game for K. Towns,,14,22
72,1,3:29.0,,J. Johnson misses free throw 2 of 2,14,22
73,1,3:26.0,Defensive rebound by T. Gibson,,14,22
74,1,3:20.0,A. Wiggins misses 2-pt jump shot from 4 ft,,14,22
75,1,3:15.0,,Defensive rebound by D. Waiters,14,22
76,1,3:11.0,,D. Waiters makes 2-pt layup from 2 ft,14,24
77,1,2:54.0,A. Wiggins makes 2-pt jump shot from 19 ft (assist by J. Teague),,16,24
78,1,2:47.0,,Miami full timeout,16,24
79,1,2:47.0,,O. White enters the game for J. Johnson,16,24
80,1,2:47.0,N. Bjelica enters the game for J. Butler,,16,24
81,1,2:47.0,J. Crawford enters the game for T. Gibson,,16,24
82,1,2:39.0,,T. Johnson misses 3-pt jump shot from 26 ft,16,24
83,1,2:36.0,Defensive rebound by A. Wiggins,,16,24
84,1,2:35.0,Turnover by A. Wiggins (bad pass),,16,24
85,1,2:35.0,Loose ball foul by J. Teague (drawn by T. Johnson),,16,24
86,1,2:21.0,,K. Olynyk misses 2-pt layup from 4 ft,16,24
87,1,2:14.0,,Offensive rebound by J. Winslow,16,24
88,1,2:14.0,,J. Winslow makes 2-pt layup at rim,16,26
89,1,2:04.0,J. Teague makes 2-pt jump shot from 9 ft,,18,26
90,1,1:46.0,,Turnover by K. Olynyk (traveling),18,26
91,1,1:46.0,,G. Dragić enters the game for D. Waiters,18,26
92,1,1:36.0,Turnover by J. Teague (bad pass),,18,26
93,1,1:36.0,T. Jones enters the game for J. Teague,,18,26
94,1,1:13.0,Offensive charge foul by T. Johnson (drawn by G. Dieng),,18,26
95,1,1:13.0,,Turnover by T. Johnson (offensive foul),18,26
96,1,0:59.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by J. Crawford),,21,26
97,1,0:45.0,,G. Dragić makes 2-pt jump shot from 13 ft,21,28
98,1,0:40.0,Offensive foul by N. Bjelica (drawn by T. Johnson),,21,28
99,1,0:40.0,Turnover by N. Bjelica (offensive foul),,21,28
100,1,0:29.0,,K. Olynyk makes 2-pt jump shot from 15 ft (assist by J. Winslow),21,30
101,1,0:09.0,A. Wiggins misses 2-pt jump shot from 5 ft,,21,30
102,1,0:05.0,Offensive rebound by G. Dieng,,21,30
103,1,0:05.0,G. Dieng makes 2-pt layup at rim,,23,30
104,1,0:00.0,,G. Dragić makes 2-pt jump shot from 11 ft,23,32
105,2,11:43.0,,J. Winslow makes 2-pt layup from 4 ft (assist by K. Olynyk),23,34
106,2,11:31.0,G. Dieng makes 2-pt layup from 4 ft (assist by J. Crawford),,25,34
107,2,11:31.0,Shooting foul by G. Dragić (drawn by G. Dieng),,25,34
108,2,11:31.0,G. Dieng misses free throw 1 of 1,,25,34
109,2,11:27.0,,Defensive rebound by K. Olynyk,25,34
110,2,11:19.0,,G. Dragić misses 2-pt jump shot from 18 ft,25,34
111,2,11:15.0,Defensive rebound by S. Muhammad,,25,34
112,2,11:10.0,G. Dieng misses 2-pt layup from 4 ft (block by T. Johnson),,25,34
113,2,11:02.0,,Defensive rebound by J. Winslow,25,34
114,2,10:55.0,,K. Olynyk makes 2-pt layup from 3 ft (assist by G. Dragić),25,36
115,2,10:38.0,J. Crawford makes 2-pt jump shot from 12 ft,,27,36
116,2,10:27.0,,K. Olynyk misses 3-pt jump shot from 27 ft,27,36
117,2,10:24.0,,Offensive rebound by T. Johnson,27,36
118,2,10:23.0,,Personal foul by T. Jones (drawn by K. Olynyk),27,36
119,2,10:05.0,,J. Winslow makes 2-pt layup from 2 ft,27,38
120,2,9:43.0,T. Jones makes 2-pt layup from 4 ft,,29,38
121,2,9:30.0,,T. Johnson makes 2-pt jump shot from 9 ft,29,40
122,2,9:22.0,J. Crawford misses 3-pt jump shot from 28 ft,,29,40
123,2,9:22.0,,Defensive rebound by J. Winslow,29,40
124,2,9:15.0,,Turnover by J. Winslow (bad pass; steal by J. Crawford),29,40
125,2,9:10.0,S. Muhammad makes 2-pt layup from 3 ft (assist by J. Crawford),,31,40
126,2,8:53.0,,Shooting foul by N. Bjelica (drawn by O. White),31,40
127,2,8:53.0,,O. White makes free throw 1 of 2,31,41
128,2,8:53.0,,W. Ellington enters the game for T. Johnson,31,41
129,2,8:53.0,,O. White misses free throw 2 of 2,31,41
130,2,8:50.0,Defensive rebound by G. Dieng,,31,41
131,2,8:39.0,S. Muhammad misses 2-pt layup from 7 ft (block by O. White),,31,41
132,2,8:34.0,,Defensive rebound by K. Olynyk,31,41
133,2,8:34.0,,J. Winslow makes 2-pt layup from 2 ft (assist by K. Olynyk),31,43
134,2,8:34.0,Violation by G. Dieng (def goaltending),,31,43
135,2,8:19.0,N. Bjelica makes 2-pt hook shot from 6 ft,,33,43
