,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
0,1,11:45.0,,A. Horford makes 2-pt hook shot from 7 ft (assist by K. Irving),0,2
1,1,11:31.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,2,2
2,1,11:12.0,,J. Tatum misses 2-pt layup from 5 ft (block by D. Green),2,2
3,1,11:12.0,,Offensive rebound by Team,2,2
4,1,11:06.0,,K. Irving makes 2-pt layup at rim,2,4
5,1,10:57.0,K. Durant misses 3-pt jump shot from 28 ft,,2,4
6,1,10:54.0,,Defensive rebound by M. Morris,2,4
7,1,10:50.0,,K. Irving misses 3-pt jump shot from 24 ft,2,4
8,1,10:45.0,Defensive rebound by D. Green,,2,4
9,1,10:38.0,D. Green misses 2-pt layup from 3 ft,,2,4
10,1,10:36.0,,Defensive rebound by J. Brown,2,4
11,1,10:30.0,,J. Brown misses 2-pt layup from 2 ft (block by K. Thompson),2,4
12,1,10:26.0,,Offensive rebound by J. Brown,2,4
13,1,10:25.0,,J. Brown misses 2-pt layup at rim,2,4
14,1,10:25.0,Defensive rebound by K. Durant,,2,4
15,1,10:20.0,K. Durant makes 2-pt layup at rim,,4,4
16,1,9:58.0,,M. Morris makes 2-pt jump shot from 18 ft,4,6
17,1,9:45.0,K. Durant misses 3-pt jump shot from 27 ft,,4,6
18,1,9:42.0,,Defensive rebound by M. Morris,4,6
19,1,9:30.0,,J. Brown misses 3-pt jump shot from 22 ft,4,6
20,1,9:27.0,Defensive rebound by Team,,4,6
21,1,9:18.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Thompson),,6,6
22,1,8:49.0,,M. Morris misses 2-pt jump shot from 18 ft,6,6
23,1,8:47.0,Defensive rebound by K. Thompson,,6,6
24,1,8:42.0,K. Thompson makes 3-pt jump shot from 26 ft,,9,6
25,1,8:40.0,,Boston full timeout,9,6
26,1,8:16.0,,J. Brown misses 2-pt jump shot from 21 ft,9,6
27,1,8:10.0,Defensive rebound by Z. Pachulia,,9,6
28,1,8:04.0,Shooting foul by M. Morris (drawn by S. Curry),,9,6
29,1,8:04.0,S. Curry makes free throw 1 of 2,,10,6
30,1,8:04.0,S. Curry misses free throw 2 of 2,,10,6
31,1,8:01.0,Offensive rebound by S. Curry,,10,6
32,1,8:00.0,S. Curry makes 3-pt jump shot from 26 ft,,13,6
33,1,7:47.0,,K. Irving misses 3-pt jump shot from 23 ft,13,6
34,1,7:44.0,Defensive rebound by K. Thompson,,13,6
35,1,7:39.0,Shooting foul by K. Irving (drawn by K. Durant),,13,6
36,1,7:39.0,K. Durant makes free throw 1 of 2,,14,6
37,1,7:39.0,,M. Smart enters the game for J. Tatum,14,6
38,1,7:39.0,K. Durant makes free throw 2 of 2,,15,6
39,1,7:27.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),15,8
40,1,7:12.0,K. Durant misses 2-pt jump shot from 22 ft,,15,8
41,1,7:09.0,Offensive rebound by S. Curry,,15,8
42,1,7:06.0,Turnover by D. Green (bad pass),,15,8
43,1,6:51.0,,Turnover by A. Horford (bad pass; steal by S. Curry),15,8
44,1,6:46.0,S. Curry misses 3-pt jump shot from 26 ft,,15,8
45,1,6:42.0,,Defensive rebound by M. Smart,15,8
46,1,6:36.0,,Turnover by A. Horford (bad pass; steal by K. Durant),15,8
47,1,6:31.0,K. Thompson misses 3-pt jump shot from 26 ft,,15,8
48,1,6:31.0,,Defensive rebound by Team,15,8
49,1,6:15.0,,K. Irving misses 2-pt layup from 7 ft (block by D. Green),15,8
50,1,6:12.0,Defensive rebound by Z. Pachulia,,15,8
51,1,6:06.0,K. Thompson misses 2-pt jump shot from 10 ft,,15,8
52,1,6:06.0,Offensive rebound by Z. Pachulia,,15,8
53,1,5:59.0,K. Thompson makes 2-pt layup from 3 ft (assist by Z. Pachulia),,17,8
54,1,5:38.0,A. Iguodala enters the game for D. Green,,17,8
55,1,5:32.0,,A. Horford makes 2-pt jump shot from 11 ft,17,10
56,1,5:20.0,Z. Pachulia makes 2-pt dunk from 1 ft (assist by S. Curry),,19,10
57,1,5:04.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by K. Irving),19,13
58,1,4:47.0,Turnover by S. Curry (lost ball; steal by J. Brown),,19,13
59,1,4:43.0,,J. Brown makes 2-pt dunk at rim,19,15
60,1,4:43.0,Golden State full timeout,,19,15
