,QUARTER,TIME_REMAINING,DETROIT_ACTION,OKLAHOMA CITY_ACTION,DETROIT_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),0,2
1,1,11:19.0,A. Bradley misses 3-pt jump shot from 27 ft,,0,2
2,1,11:18.0,Offensive rebound by Team,,0,2
3,1,11:18.0,Turnover by Team (shot clock),,0,2
4,1,11:08.0,,Turnover by S. Adams (bad pass),0,2
5,1,10:54.0,T. Harris misses 2-pt jump shot at rim (block by A. Roberson),,0,2
6,1,10:51.0,,Defensive rebound by S. Adams,0,2
7,1,10:43.0,,Turnover by A. Roberson (bad pass),0,2
8,1,10:27.0,A. Drummond makes 2-pt jump shot from 5 ft (assist by A. Bradley),,2,2
9,1,10:10.0,,P. George misses 2-pt jump shot from 11 ft,2,2
10,1,10:08.0,Defensive rebound by A. Bradley,,2,2
11,1,10:02.0,A. Drummond misses 2-pt layup from 1 ft,,2,2
12,1,10:02.0,,Defensive rebound by S. Adams,2,2
13,1,9:54.0,,R. Westbrook makes 2-pt jump shot from 16 ft,2,4
14,1,9:33.0,A. Bradley misses 2-pt jump shot from 20 ft,,2,4
15,1,9:31.0,,Defensive rebound by R. Westbrook,2,4
16,1,9:28.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),2,6
17,1,9:21.0,Detroit full timeout,,2,6
18,1,9:05.0,Turnover by R. Jackson (lost ball; steal by P. George),,2,6
19,1,9:04.0,,Offensive foul by P. George (drawn by R. Jackson),2,6
20,1,9:04.0,,Turnover by P. George (offensive foul),2,6
21,1,8:44.0,T. Harris misses 2-pt jump shot from 19 ft,,2,6
22,1,8:41.0,,Defensive rebound by C. Anthony,2,6
23,1,8:34.0,,P. George misses 3-pt jump shot from 23 ft,2,6
24,1,8:29.0,Defensive rebound by R. Jackson,,2,6
25,1,8:24.0,R. Jackson makes 2-pt jump shot from 21 ft,,4,6
26,1,8:09.0,,Turnover by R. Westbrook (bad pass; steal by T. Harris),4,6
27,1,8:01.0,R. Jackson misses 3-pt jump shot from 25 ft,,4,6
28,1,7:57.0,,Defensive rebound by A. Roberson,4,6
29,1,7:55.0,,R. Westbrook misses 2-pt jump shot from 23 ft,4,6
30,1,7:51.0,,Offensive rebound by S. Adams,4,6
31,1,7:43.0,,S. Adams makes 2-pt jump shot from 7 ft (assist by P. George),4,8
32,1,7:26.0,A. Bradley makes 2-pt dunk at rim (assist by A. Drummond),,6,8
33,1,7:14.0,,Personal foul by A. Bradley (drawn by R. Westbrook),6,8
34,1,7:02.0,,C. Anthony misses 2-pt jump shot from 13 ft,6,8
35,1,7:00.0,,Offensive rebound by S. Adams,6,8
36,1,7:00.0,,Personal foul by R. Jackson (drawn by S. Adams),6,8
37,1,6:58.0,,Personal foul by T. Harris (drawn by C. Anthony),6,8
38,1,6:49.0,,A. Roberson makes 2-pt dunk from 1 ft (assist by R. Westbrook),6,10
39,1,6:36.0,Personal foul by P. George (drawn by A. Drummond),,6,10
40,1,6:28.0,Turnover by R. Jackson (lost ball; steal by R. Westbrook),,6,10
41,1,6:23.0,,Turnover by P. George (bad pass),6,10
42,1,6:09.0,S. Johnson makes 3-pt jump shot from 22 ft (assist by T. Harris),,9,10
43,1,5:47.0,,C. Anthony makes 2-pt layup from 1 ft,9,12
44,1,5:30.0,A. Bradley misses 3-pt jump shot from 25 ft,,9,12
45,1,5:27.0,,Defensive rebound by P. George,9,12
46,1,5:18.0,,R. Westbrook makes 2-pt layup at rim,9,14
47,1,5:18.0,,Shooting foul by A. Drummond (drawn by R. Westbrook),9,14
48,1,5:18.0,,J. Huestis enters the game for P. George,9,14
49,1,5:18.0,,R. Westbrook makes free throw 1 of 1,9,15
50,1,5:02.0,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Johnson),,12,15
51,1,4:46.0,,C. Anthony misses 2-pt jump shot from 15 ft,12,15
52,1,4:43.0,Defensive rebound by A. Drummond,,12,15
53,1,4:36.0,R. Jackson misses 2-pt jump shot from 13 ft,,12,15
54,1,4:34.0,,Defensive rebound by C. Anthony,12,15
55,1,4:17.0,,C. Anthony misses 2-pt jump shot from 13 ft,12,15
56,1,4:16.0,Defensive rebound by R. Jackson,,12,15
57,1,4:05.0,A. Bradley misses 2-pt layup from 1 ft,,12,15
58,1,4:02.0,Offensive rebound by A. Drummond,,12,15
59,1,4:02.0,A. Drummond misses 2-pt layup at rim,,12,15
60,1,4:01.0,,Defensive rebound by S. Adams,12,15
61,1,3:58.0,,Oklahoma City full timeout,12,15
62,1,3:58.0,A. Tolliver enters the game for R. Jackson,,12,15
63,1,3:58.0,I. Smith enters the game for S. Johnson,,12,15
64,1,3:55.0,,Offensive foul by C. Anthony (drawn by A. Tolliver),12,15
65,1,3:55.0,,Turnover by C. Anthony (offensive foul),12,15
66,1,3:40.0,T. Harris misses 2-pt jump shot from 10 ft,,12,15
67,1,3:36.0,,Defensive rebound by C. Anthony,12,15
68,1,3:30.0,,C. Anthony makes 2-pt jump shot from 15 ft,12,17
69,1,3:16.0,A. Bradley misses 2-pt jump shot from 9 ft,,12,17
70,1,3:11.0,,Defensive rebound by R. Westbrook,12,17
71,1,3:08.0,,R. Westbrook misses 2-pt jump shot from 9 ft,12,17
72,1,3:05.0,Defensive rebound by T. Harris,,12,17
73,1,3:01.0,Turnover by T. Harris (bad pass),,12,17
74,1,3:01.0,,J. Grant enters the game for C. Anthony,12,17
75,1,2:44.0,,A. Roberson makes 3-pt jump shot from 23 ft (assist by J. Grant),12,20
76,1,2:22.0,A. Bradley makes 2-pt dunk at rim (assist by I. Smith),,14,20
77,1,2:07.0,,J. Huestis misses 3-pt jump shot from 24 ft,14,20
78,1,2:05.0,,Offensive rebound by A. Roberson,14,20
79,1,1:55.0,,R. Westbrook makes 2-pt layup at rim,14,22
80,1,1:45.0,A. Tolliver misses 3-pt jump shot from 24 ft,,14,22
81,1,1:43.0,,Defensive rebound by A. Roberson,14,22
82,1,1:38.0,,Personal foul by A. Drummond (drawn by R. Westbrook),14,22
83,1,1:38.0,,R. Westbrook makes free throw 1 of 2,14,23
84,1,1:38.0,,P. George enters the game for S. Adams,14,23
85,1,1:38.0,,P. Patterson enters the game for A. Roberson,14,23
86,1,1:38.0,E. Moreland enters the game for A. Drummond,,14,23
87,1,1:38.0,,R. Westbrook makes free throw 2 of 2,14,24
88,1,1:17.0,T. Harris makes 2-pt jump shot from 19 ft,,16,24
89,1,1:03.0,,Shooting foul by I. Smith (drawn by R. Westbrook),16,24
90,1,1:03.0,,R. Westbrook makes free throw 1 of 2,16,25
91,1,1:03.0,L. Kennard enters the game for A. Bradley,,16,25
92,1,1:03.0,,R. Westbrook makes free throw 2 of 2,16,26
93,1,0:41.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by L. Kennard),,19,26
94,1,0:32.0,,Turnover by R. Westbrook (bad pass; steal by L. Kennard),19,26
95,1,0:24.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by I. Smith),,22,26
96,1,0:03.0,,R. Westbrook makes 3-pt jump shot from 24 ft,22,29
97,1,0:00.0,I. Smith makes 3-pt jump shot from 55 ft,,25,29
98,2,11:44.0,I. Smith makes 2-pt jump shot from 12 ft,,27,29
99,2,11:25.0,,P. George makes 2-pt jump shot from 18 ft,27,31
100,2,11:10.0,Personal foul by P. George (drawn by S. Johnson),,27,31
101,2,11:10.0,,A. Roberson enters the game for P. George,27,31
102,2,10:59.0,A. Tolliver makes 2-pt layup from 1 ft,,29,31
103,2,10:46.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by R. Felton),29,34
104,2,10:22.0,I. Smith misses 2-pt jump shot from 21 ft,,29,34
105,2,10:19.0,,Defensive rebound by J. Huestis,29,34
106,2,10:03.0,,J. Grant makes 2-pt layup at rim,29,36
107,2,9:46.0,L. Kennard misses 3-pt jump shot from 25 ft,,29,36
108,2,9:45.0,,Defensive rebound by J. Grant,29,36
109,2,9:38.0,,P. Patterson misses 3-pt jump shot from 24 ft,29,36
110,2,9:33.0,Defensive rebound by I. Smith,,29,36
111,2,9:29.0,A. Tolliver misses 3-pt jump shot from 22 ft,,29,36
112,2,9:25.0,,Defensive rebound by R. Felton,29,36
113,2,9:12.0,,J. Grant makes 2-pt dunk at rim (assist by R. Felton),29,38
114,2,9:04.0,Detroit full timeout,,29,38
115,2,9:04.0,,C. Anthony enters the game for J. Grant,29,38
116,2,8:54.0,L. Kennard misses 2-pt jump shot from 7 ft,,29,38
117,2,8:53.0,Offensive rebound by Team,,29,38
118,2,8:53.0,Loose ball foul by E. Moreland (drawn by P. Patterson),,29,38
119,2,8:53.0,Turnover by E. Moreland (turnover),,29,38
120,2,8:53.0,,Á. Abrines enters the game for J. Huestis,29,38
121,2,8:43.0,,C. Anthony makes 2-pt jump shot from 13 ft (assist by R. Felton),29,40
122,2,8:28.0,S. Johnson makes 2-pt jump shot from 14 ft,,31,40
123,2,8:10.0,,R. Felton makes 2-pt jump shot from 9 ft,31,42
124,2,7:48.0,I. Smith makes 2-pt jump shot from 20 ft,,33,42
125,2,7:26.0,,C. Anthony misses 2-pt layup from 1 ft,33,42
126,2,7:26.0,,Offensive rebound by Team,33,42
127,2,7:26.0,,Turnover by C. Anthony (traveling),33,42
128,2,7:26.0,,R. Westbrook enters the game for R. Felton,33,42
129,2,7:26.0,,S. Adams enters the game for P. Patterson,33,42
130,2,7:26.0,L. Galloway enters the game for S. Johnson,,33,42
131,2,7:10.0,L. Galloway makes 3-pt jump shot from 22 ft (assist by L. Kennard),,36,42
132,2,6:53.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),36,44
133,2,6:41.0,I. Smith makes 2-pt layup from 1 ft,,38,44
134,2,6:27.0,,R. Westbrook misses 2-pt jump shot from 15 ft (block by I. Smith),38,44
135,2,6:25.0,Defensive rebound by L. Galloway,,38,44
136,2,6:15.0,I. Smith misses 2-pt layup at rim,,38,44
137,2,6:14.0,,Defensive rebound by C. Anthony,38,44
138,2,6:00.0,,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),38,46
139,2,5:41.0,L. Kennard misses 2-pt jump shot from 13 ft,,38,46
140,2,5:39.0,,Defensive rebound by A. Roberson,38,46
141,2,5:34.0,,C. Anthony misses 3-pt jump shot from 24 ft,38,46
142,2,5:31.0,Defensive rebound by L. Galloway,,38,46
143,2,5:21.0,I. Smith makes 2-pt jump shot from 6 ft,,40,46
144,2,4:58.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by Á. Abrines),40,49
145,2,4:47.0,Detroit full timeout,,40,49
146,2,4:47.0,T. Harris enters the game for L. Kennard,,40,49
147,2,4:47.0,A. Drummond enters the game for I. Smith,,40,49
148,2,4:47.0,A. Bradley enters the game for E. Moreland,,40,49
149,2,4:47.0,R. Jackson enters the game for A. Tolliver,,40,49
150,2,4:32.0,A. Drummond misses 2-pt layup from 3 ft (block by S. Adams),,40,49
151,2,4:32.0,,Defensive rebound by Team,40,49
152,2,4:25.0,,Á. Abrines misses 3-pt jump shot from 22 ft,40,49
153,2,4:21.0,Defensive rebound by L. Galloway,,40,49
154,2,4:11.0,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),,42,49
155,2,3:56.0,,R. Westbrook misses 2-pt jump shot from 14 ft,42,49
