,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:36.0,,C. Paul misses 3-pt jump shot from 25 ft,0,0
1,1,11:34.0,Defensive rebound by K. Towns,,0,0
2,1,11:17.0,Turnover by K. Towns (bad pass; steal by C. Capela),,0,0
3,1,11:11.0,,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),0,2
4,1,10:49.0,J. Butler misses 2-pt jump shot from 2 ft (block by P. Tucker),,0,2
5,1,10:46.0,,Defensive rebound by T. Ariza,0,2
6,1,10:42.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),0,4
7,1,10:29.0,A. Wiggins makes 2-pt jump shot from 2 ft (assist by K. Towns),,2,4
8,1,10:12.0,,Shooting foul by A. Wiggins (drawn by C. Capela),2,4
9,1,10:12.0,,C. Capela makes free throw 1 of 2,2,5
10,1,10:12.0,,C. Capela makes free throw 2 of 2,2,6
11,1,9:46.0,J. Teague misses 2-pt jump shot from 16 ft,,2,6
12,1,9:46.0,Offensive rebound by Team,,2,6
13,1,9:40.0,T. Gibson makes 2-pt layup at rim (assist by J. Teague),,4,6
14,1,9:26.0,,Turnover by C. Paul (bad pass),4,6
15,1,9:07.0,K. Towns misses 3-pt jump shot from 23 ft,,4,6
16,1,9:05.0,,Defensive rebound by C. Capela,4,6
17,1,8:57.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),4,8
18,1,8:32.0,J. Teague misses 3-pt jump shot from 28 ft,,4,8
19,1,8:29.0,,Defensive rebound by C. Capela,4,8
20,1,8:19.0,,C. Paul misses 2-pt jump shot from 11 ft,4,8
21,1,8:15.0,,Offensive rebound by Team,4,8
22,1,8:09.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Capela),4,11
23,1,7:54.0,K. Towns misses 2-pt hook shot from 10 ft,,4,11
24,1,7:51.0,,Defensive rebound by C. Capela,4,11
25,1,7:41.0,,Shooting foul by T. Gibson (drawn by J. Harden),4,11
26,1,7:41.0,,J. Harden misses free throw 1 of 3,4,11
27,1,7:41.0,,Offensive rebound by Team,4,11
28,1,7:41.0,,J. Harden makes free throw 2 of 3,4,12
29,1,7:41.0,,J. Harden makes free throw 3 of 3,4,13
30,1,7:27.0,T. Gibson misses 2-pt layup from 2 ft,,4,13
31,1,7:26.0,,Defensive rebound by C. Capela,4,13
32,1,7:22.0,,Shooting foul by J. Teague (drawn by C. Capela),4,13
33,1,7:22.0,,C. Capela makes free throw 1 of 2,4,14
34,1,7:22.0,,C. Capela makes free throw 2 of 2,4,15
35,1,7:10.0,Turnover by J. Teague (bad pass; steal by J. Harden),,4,15
36,1,6:51.0,,Turnover by C. Paul (bad pass; steal by J. Butler),4,15
37,1,6:36.0,K. Towns misses 2-pt hook shot from 5 ft (block by C. Capela),,4,15
38,1,6:33.0,Offensive rebound by K. Towns,,4,15
39,1,6:31.0,J. Butler misses 3-pt jump shot from 23 ft,,4,15
40,1,6:29.0,,Defensive rebound by T. Ariza,4,15
41,1,6:23.0,,T. Ariza misses 3-pt jump shot from 23 ft,4,15
42,1,6:21.0,Defensive rebound by J. Teague,,4,15
43,1,6:17.0,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),,6,15
44,1,6:00.0,,C. Capela misses 2-pt layup from 1 ft (block by J. Teague),6,15
45,1,5:57.0,,Offensive rebound by C. Capela,6,15
46,1,5:57.0,,C. Capela makes 2-pt dunk from 1 ft,6,17
47,1,5:53.0,Minnesota full timeout,,6,17
48,1,5:53.0,,E. Gordon enters the game for C. Paul,6,17
49,1,5:53.0,,G. Green enters the game for P. Tucker,6,17
50,1,5:47.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,8,17
51,1,5:27.0,,J. Harden misses 3-pt jump shot from 25 ft,8,17
52,1,5:25.0,Defensive rebound by J. Teague,,8,17
53,1,5:10.0,A. Wiggins misses 3-pt jump shot from 26 ft,,8,17
54,1,5:07.0,,Defensive rebound by T. Ariza,8,17
55,1,4:55.0,,G. Green misses 3-pt jump shot from 24 ft,8,17
