,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:39.0,D. Russell misses 3-pt jump shot from 24 ft,,0,0
1,1,11:37.0,,Defensive rebound by C. Felício,0,0
2,1,11:28.0,,J. Holiday misses 2-pt jump shot from 6 ft,0,0
3,1,11:23.0,Defensive rebound by A. Crabbe,,0,0
4,1,11:14.0,A. Crabbe misses 3-pt jump shot from 26 ft,,0,0
5,1,11:12.0,,Defensive rebound by C. Felício,0,0
6,1,10:49.0,,C. Felício makes 2-pt jump shot from 3 ft (assist by D. Nwaba),0,2
7,1,10:32.0,J. Harris makes 2-pt layup from 1 ft,,2,2
8,1,10:19.0,,D. Nwaba misses 2-pt jump shot from 8 ft,2,2
9,1,10:16.0,Defensive rebound by J. Harris,,2,2
10,1,10:00.0,D. Russell makes 3-pt jump shot from 25 ft,,5,2
11,1,9:46.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,2
12,1,9:44.0,Defensive rebound by J. Allen,,5,2
13,1,9:39.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by D. Russell),,7,2
14,1,9:27.0,,Shooting foul by J. Allen (drawn by C. Payne),7,2
15,1,9:27.0,,C. Payne misses free throw 1 of 2,7,2
16,1,9:27.0,,Offensive rebound by Team,7,2
17,1,9:27.0,,C. Payne makes free throw 2 of 2,7,3
18,1,9:17.0,D. Russell misses 3-pt jump shot from 26 ft,,7,3
19,1,9:13.0,,Defensive rebound by B. Portis,7,3
20,1,9:10.0,,C. Payne misses 3-pt jump shot from 26 ft,7,3
21,1,9:06.0,Defensive rebound by R. Hollis-Jefferson,,7,3
22,1,8:58.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by D. Russell),,10,3
23,1,8:41.0,,Turnover by B. Portis (bad pass; steal by A. Crabbe),10,3
24,1,8:37.0,D. Russell misses 3-pt jump shot from 25 ft,,10,3
25,1,8:36.0,,Defensive rebound by Team,10,3
26,1,8:24.0,,B. Portis makes 2-pt jump shot from 10 ft,10,5
27,1,8:03.0,J. Allen makes 2-pt layup from 2 ft (assist by J. Harris),,12,5
28,1,7:50.0,,B. Portis misses 3-pt jump shot from 26 ft,12,5
29,1,7:48.0,Defensive rebound by D. Russell,,12,5
30,1,7:43.0,Shooting foul by B. Portis (drawn by R. Hollis-Jefferson),,12,5
31,1,7:43.0,R. Hollis-Jefferson makes free throw 1 of 2,,13,5
32,1,7:43.0,R. Hollis-Jefferson makes free throw 2 of 2,,14,5
33,1,7:27.0,,C. Felício misses 2-pt layup from 2 ft (block by D. Russell),14,5
34,1,7:27.0,Defensive rebound by Team,,14,5
35,1,7:14.0,Turnover by J. Harris (traveling),,14,5
36,1,7:02.0,,B. Portis misses 2-pt jump shot from 6 ft (block by J. Allen),14,5
37,1,7:00.0,Defensive rebound by J. Allen,,14,5
38,1,6:56.0,Turnover by D. Russell (lost ball; steal by C. Payne),,14,5
39,1,6:51.0,,Chicago full timeout,14,5
40,1,6:51.0,S. Dinwiddie enters the game for J. Harris,,14,5
41,1,6:44.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by C. Felício),14,7
42,1,6:27.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,14,7
43,1,6:24.0,,Defensive rebound by B. Portis,14,7
44,1,6:17.0,,C. Payne misses 2-pt jump shot from 6 ft,14,7
45,1,6:14.0,Defensive rebound by R. Hollis-Jefferson,,14,7
46,1,5:54.0,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),,16,7
47,1,5:45.0,,J. Holiday makes 2-pt jump shot from 21 ft (assist by C. Payne),16,9
48,1,5:36.0,Brooklyn full timeout,,16,9
49,1,5:36.0,,S. Kilpatrick enters the game for D. Nwaba,16,9
50,1,5:36.0,C. LeVert enters the game for A. Crabbe,,16,9
51,1,5:17.0,S. Dinwiddie misses 3-pt jump shot from 29 ft,,16,9
52,1,5:17.0,Offensive rebound by Team,,16,9
53,1,5:17.0,Turnover by Team (shot clock),,16,9
54,1,5:03.0,,S. Kilpatrick makes 3-pt jump shot from 23 ft (assist by C. Payne),16,12
55,1,4:39.0,J. Allen misses 2-pt jump shot from 2 ft,,16,12
56,1,4:39.0,,Defensive rebound by B. Portis,16,12
57,1,4:30.0,,B. Portis makes 2-pt jump shot from 3 ft,16,14
