,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:39.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,,2,0
1,1,11:24.0,,K. Love misses 2-pt layup from 1 ft (block by K. Middleton),2,0
2,1,11:20.0,Defensive rebound by J. Henson,,2,0
3,1,11:18.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,0
4,1,11:18.0,Offensive rebound by J. Henson,,2,0
5,1,11:12.0,J. Henson makes 2-pt hook shot from 7 ft,,4,0
6,1,10:50.0,,J. Green makes 2-pt layup at rim (assist by L. James),4,2
7,1,10:41.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,7,2
8,1,10:29.0,,K. Korver makes 2-pt layup at rim (assist by L. James),7,4
9,1,10:08.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,7,4
10,1,10:04.0,,Defensive rebound by K. Love,7,4
11,1,9:55.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by L. James),7,7
12,1,9:34.0,G. Antetokounmpo misses 2-pt hook shot from 11 ft,,7,7
13,1,9:31.0,,Defensive rebound by L. James,7,7
14,1,9:30.0,,Personal foul by G. Antetokounmpo (drawn by L. James),7,7
15,1,9:08.0,,J. Green misses 3-pt jump shot from 23 ft,7,7
16,1,9:04.0,,Offensive rebound by K. Love,7,7
17,1,8:56.0,,G. Hill misses 3-pt jump shot from 24 ft (block by E. Bledsoe),7,7
18,1,8:51.0,Defensive rebound by J. Henson,,7,7
19,1,8:42.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,7,7
20,1,8:39.0,,Defensive rebound by K. Korver,7,7
21,1,8:29.0,,L. James misses 2-pt jump shot from 21 ft,7,7
22,1,8:26.0,Defensive rebound by J. Henson,,7,7
23,1,8:13.0,J. Henson misses 2-pt layup from 5 ft (block by K. Love),,7,7
24,1,8:13.0,Offensive rebound by Team,,7,7
25,1,8:05.0,K. Middleton makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,10,7
26,1,7:40.0,,G. Hill misses 3-pt jump shot from 26 ft,10,7
27,1,7:40.0,Defensive rebound by E. Bledsoe,,10,7
28,1,7:34.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,10,7
29,1,7:30.0,,Defensive rebound by K. Korver,10,7
30,1,7:25.0,,Turnover by L. James (lost ball; steal by G. Antetokounmpo),10,7
31,1,7:20.0,K. Middleton makes 2-pt layup from 1 ft (assist by J. Henson),,12,7
32,1,6:57.0,,L. James makes 2-pt layup from 1 ft,12,9
33,1,6:43.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),,14,9
34,1,6:25.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),14,12
35,1,6:02.0,Turnover by E. Bledsoe (bad pass),,14,12
36,1,6:02.0,,Cleveland full timeout,14,12
37,1,5:55.0,,Personal foul by G. Antetokounmpo (drawn by K. Korver),14,12
38,1,5:55.0,J. Parker enters the game for G. Antetokounmpo,,14,12
39,1,5:41.0,,Turnover by L. James (bad pass; steal by K. Middleton),14,12
40,1,5:37.0,Turnover by J. Parker (lost ball; steal by L. James),,14,12
41,1,5:31.0,,K. Love misses 3-pt jump shot from 23 ft,14,12
42,1,5:29.0,,Offensive rebound by L. James,14,12
