,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:40.0,,D. Schröder makes 2-pt layup from 2 ft,0,2
1,1,11:21.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,2,2
2,1,11:02.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),2,5
3,1,10:37.0,K. Durant misses 2-pt jump shot from 18 ft,,2,5
4,1,10:34.0,,Defensive rebound by D. Dedmon,2,5
5,1,10:20.0,,D. Schröder misses 2-pt jump shot from 9 ft,2,5
6,1,10:18.0,Defensive rebound by J. McGee,,2,5
7,1,10:14.0,Turnover by J. McGee (bad pass; steal by T. Prince),,2,5
8,1,10:06.0,,Turnover by T. Prince (bad pass; steal by J. McGee),2,5
9,1,10:00.0,S. Curry misses 3-pt jump shot from 26 ft,,2,5
10,1,9:56.0,,Defensive rebound by K. Bazemore,2,5
11,1,9:44.0,,T. Prince makes 3-pt jump shot from 24 ft,2,8
12,1,9:29.0,Shooting foul by J. Collins (drawn by S. Curry),,2,8
13,1,9:29.0,S. Curry makes free throw 1 of 2,,3,8
14,1,9:29.0,S. Curry makes free throw 2 of 2,,4,8
15,1,9:06.0,,D. Dedmon misses 2-pt jump shot from 9 ft (block by J. McGee),4,8
16,1,9:06.0,,Offensive rebound by Team,4,8
17,1,9:05.0,,D. Schröder misses 3-pt jump shot from 32 ft,4,8
18,1,9:05.0,,Offensive rebound by Team,4,8
19,1,9:05.0,,Turnover by Team (shot clock),4,8
20,1,8:52.0,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),,6,8
21,1,8:38.0,,J. Collins makes 3-pt jump shot from 22 ft (assist by D. Schröder),6,11
22,1,8:25.0,K. Durant makes 2-pt jump shot from 18 ft,,8,11
23,1,8:12.0,,Shooting foul by D. Green (drawn by K. Bazemore),8,11
24,1,8:12.0,,K. Bazemore misses free throw 1 of 2,8,11
