,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
0,1,11:38.0,W. Johnson misses 2-pt jump shot from 15 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Bazemore,0,0
2,1,11:14.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Schröder),0,2
3,1,11:02.0,L. Williams makes 3-pt jump shot from 23 ft (assist by D. Jordan),,3,2
4,1,10:43.0,,K. Bazemore misses 2-pt jump shot from 11 ft,3,2
5,1,10:40.0,Defensive rebound by B. Griffin,,3,2
6,1,10:32.0,B. Griffin misses 3-pt jump shot from 24 ft,,3,2
7,1,10:31.0,Offensive rebound by Team,,3,2
8,1,10:31.0,,Loose ball foul by J. Collins (drawn by D. Jordan),3,2
9,1,10:28.0,Shooting foul by D. Dedmon (drawn by B. Griffin),,3,2
10,1,10:28.0,B. Griffin makes free throw 1 of 2,,4,2
11,1,10:28.0,B. Griffin makes free throw 2 of 2,,5,2
12,1,10:13.0,,T. Prince misses 2-pt jump shot from 18 ft,5,2
13,1,10:07.0,Defensive rebound by D. Jordan,,5,2
14,1,9:46.0,A. Rivers makes 2-pt jump shot from 7 ft,,7,2
15,1,9:32.0,,D. Schröder makes 2-pt layup from 1 ft,7,4
16,1,9:23.0,Turnover by D. Jordan (lost ball; steal by T. Prince),,7,4
17,1,9:07.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Prince),7,6
18,1,8:53.0,W. Johnson makes 2-pt layup at rim (assist by B. Griffin),,9,6
19,1,8:41.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by D. Schröder),9,9
20,1,8:27.0,Turnover by B. Griffin (bad pass; steal by T. Prince),,9,9
21,1,8:19.0,,D. Dedmon misses 2-pt jump shot from 16 ft,9,9
22,1,8:16.0,Defensive rebound by D. Jordan,,9,9
23,1,8:08.0,Def 3 sec tech foul by T. Prince,,9,9
24,1,8:08.0,L. Williams makes technical free throw,,10,9
25,1,8:08.0,,E. İlyasova enters the game for J. Collins,10,9
26,1,8:00.0,B. Griffin makes 2-pt hook shot from 2 ft,,12,9
27,1,7:47.0,,E. İlyasova misses 2-pt jump shot from 17 ft,12,9
28,1,7:44.0,Defensive rebound by B. Griffin,,12,9
29,1,7:40.0,A. Rivers makes 3-pt jump shot from 24 ft (assist by L. Williams),,15,9
30,1,7:38.0,,Atlanta full timeout,15,9
31,1,7:23.0,,Shooting foul by B. Griffin (drawn by D. Dedmon),15,9
32,1,7:23.0,,D. Dedmon makes free throw 1 of 2,15,10
33,1,7:23.0,,D. Dedmon makes free throw 2 of 2,15,11
34,1,6:59.0,Turnover by Team (shot clock),,15,11
35,1,6:46.0,,D. Schröder misses 2-pt jump shot from 16 ft,15,11
36,1,6:42.0,Defensive rebound by B. Griffin,,15,11
37,1,6:39.0,Personal foul by T. Prince (drawn by W. Johnson),,15,11
38,1,6:33.0,L. Williams misses 2-pt jump shot from 20 ft,,15,11
39,1,6:29.0,,Defensive rebound by E. İlyasova,15,11
40,1,6:10.0,,T. Prince misses 3-pt jump shot from 23 ft,15,11
41,1,6:06.0,Defensive rebound by B. Griffin,,15,11
42,1,6:00.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by A. Rivers),,18,11
43,1,5:47.0,,Personal foul by A. Rivers (drawn by D. Schröder),18,11
44,1,5:47.0,,M. Belinelli enters the game for K. Bazemore,18,11
45,1,5:42.0,,D. Schröder makes 2-pt layup from 2 ft,18,13
46,1,5:31.0,J. Evans enters the game for L. Williams,,18,13
47,1,5:20.0,B. Griffin misses 2-pt jump shot from 18 ft,,18,13
48,1,5:16.0,,Defensive rebound by M. Belinelli,18,13
49,1,5:06.0,,D. Schröder makes 2-pt layup from 1 ft,18,15
50,1,4:47.0,Shooting foul by M. Belinelli (drawn by W. Johnson),,18,15
51,1,4:47.0,W. Johnson makes free throw 1 of 2,,19,15
52,1,4:47.0,,M. Delaney enters the game for T. Prince,19,15
53,1,4:47.0,W. Johnson makes free throw 2 of 2,,20,15
54,1,4:29.0,,Turnover by D. Schröder (bad pass; steal by B. Griffin),20,15
55,1,4:25.0,A. Rivers makes 2-pt dunk at rim (assist by B. Griffin),,22,15
56,1,4:08.0,,M. Belinelli makes 2-pt jump shot from 16 ft (assist by M. Delaney),22,17
57,1,3:58.0,,J. Magette enters the game for D. Dedmon,22,17
58,1,3:58.0,,J. Collins enters the game for D. Schröder,22,17
59,1,3:58.0,W. Reed enters the game for D. Jordan,,22,17
60,1,3:55.0,Personal foul by E. İlyasova (drawn by B. Griffin),,22,17
61,1,3:55.0,B. Griffin makes free throw 1 of 2,,23,17
62,1,3:55.0,B. Griffin misses free throw 2 of 2,,23,17
63,1,3:53.0,,Defensive rebound by J. Collins,23,17
64,1,3:41.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by E. İlyasova),23,19
65,1,3:25.0,B. Griffin makes 2-pt jump shot from 12 ft (assist by A. Rivers),,25,19
66,1,3:08.0,,M. Belinelli makes 2-pt layup at rim (assist by J. Collins),25,21
67,1,2:52.0,A. Rivers misses 2-pt layup from 1 ft,,25,21
68,1,2:48.0,,Defensive rebound by J. Magette,25,21
69,1,2:46.0,,Turnover by M. Delaney (step out of bounds),25,21
70,1,2:46.0,LA Clippers full timeout,,25,21
71,1,2:46.0,,T. Cavanaugh enters the game for E. İlyasova,25,21
72,1,2:46.0,L. Williams enters the game for A. Rivers,,25,21
73,1,2:46.0,S. Thornwell enters the game for W. Johnson,,25,21
74,1,2:33.0,W. Reed makes 2-pt dunk at rim (assist by B. Griffin),,27,21
75,1,2:15.0,,M. Belinelli makes 2-pt jump shot from 22 ft (assist by J. Collins),27,23
76,1,2:09.0,Turnover by L. Williams (bad pass; steal by J. Collins),,27,23
77,1,2:04.0,,T. Cavanaugh makes 2-pt layup from 2 ft (assist by J. Magette),27,25
78,1,1:51.0,Turnover by B. Griffin (bad pass; steal by J. Collins),,27,25
79,1,1:35.0,,J. Collins misses 2-pt jump shot from 10 ft,27,25
80,1,1:33.0,,Offensive rebound by Team,27,25
81,1,1:24.0,,Shooting foul by B. Griffin (drawn by M. Delaney),27,25
82,1,1:24.0,,M. Delaney makes free throw 1 of 2,27,26
83,1,1:24.0,S. Dekker enters the game for B. Griffin,,27,26
84,1,1:24.0,,M. Delaney makes free throw 2 of 2,27,27
85,1,1:14.0,L. Williams misses 2-pt jump shot from 18 ft,,27,27
86,1,1:09.0,,Defensive rebound by J. Collins,27,27
87,1,1:00.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by J. Magette),27,30
88,1,0:42.0,J. Evans makes 2-pt jump shot from 10 ft,,29,30
89,1,0:29.0,,J. Magette misses 3-pt jump shot from 28 ft,29,30
90,1,0:25.0,Defensive rebound by W. Reed,,29,30
91,1,0:04.0,S. Dekker misses 3-pt jump shot from 25 ft,,29,30
92,1,0:01.0,,Defensive rebound by M. Delaney,29,30
93,1,0:00.0,,M. Delaney misses 3-pt jump shot from 39 ft,29,30
