,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
0,1,11:57.0,Loose ball foul by M. Gortat (drawn by D. Jordan),,0,0
1,1,11:45.0,,Turnover by D. Jordan (bad pass),0,0
2,1,11:34.0,M. Gortat makes 2-pt hook shot from 8 ft (assist by B. Beal),,2,0
3,1,11:22.0,,S. Thornwell misses 2-pt jump shot from 21 ft,2,0
4,1,11:21.0,Defensive rebound by Team,,2,0
5,1,11:08.0,Personal foul by D. Jordan (drawn by M. Gortat),,2,0
6,1,11:02.0,B. Beal misses 3-pt jump shot from 24 ft,,2,0
7,1,11:01.0,,Defensive rebound by Team,2,0
8,1,10:44.0,,D. Gallinari misses 2-pt jump shot from 16 ft,2,0
9,1,10:39.0,Defensive rebound by O. Porter,,2,0
10,1,10:36.0,,Violation by W. Johnson (kicked ball),2,0
11,1,10:21.0,Turnover by M. Gortat (bad pass; steal by S. Thornwell),,2,0
12,1,10:10.0,,W. Johnson misses 3-pt jump shot from 24 ft,2,0
13,1,10:07.0,Defensive rebound by T. Frazier,,2,0
14,1,9:57.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by O. Porter),,4,0
15,1,9:38.0,,A. Rivers misses 2-pt layup from 1 ft,4,0
16,1,9:36.0,Defensive rebound by T. Frazier,,4,0
17,1,9:32.0,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Frazier),,7,0
18,1,9:29.0,,LA Clippers full timeout,7,0
19,1,9:14.0,,D. Gallinari misses 3-pt jump shot from 25 ft,7,0
20,1,9:11.0,Defensive rebound by Team,,7,0
21,1,8:51.0,T. Frazier misses 2-pt jump shot from 19 ft,,7,0
22,1,8:46.0,,Defensive rebound by S. Thornwell,7,0
23,1,8:40.0,,Turnover by A. Rivers (bad pass; steal by B. Beal),7,0
24,1,8:33.0,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Morris),,10,0
25,1,8:17.0,,Turnover by S. Thornwell (bad pass),10,0
26,1,8:17.0,,J. Evans enters the game for S. Thornwell,10,0
27,1,8:17.0,,L. Williams enters the game for A. Rivers,10,0
28,1,8:05.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Frazier),,13,0
29,1,7:48.0,,J. Evans makes 2-pt jump shot from 19 ft (assist by L. Williams),13,2
30,1,7:33.0,T. Frazier makes 2-pt jump shot from 11 ft,,15,2
31,1,7:23.0,,L. Williams makes 2-pt jump shot from 12 ft,15,4
32,1,7:07.0,O. Porter misses 2-pt jump shot from 7 ft (block by W. Johnson),,15,4
33,1,7:06.0,Offensive rebound by M. Gortat,,15,4
34,1,7:05.0,M. Gortat misses 2-pt layup at rim,,15,4
35,1,7:05.0,,Defensive rebound by W. Johnson,15,4
36,1,6:53.0,,Shooting foul by M. Morris (drawn by D. Gallinari),15,4
37,1,6:53.0,,D. Gallinari makes free throw 1 of 2,15,5
38,1,6:53.0,,C. Williams enters the game for W. Johnson,15,5
39,1,6:53.0,,D. Gallinari makes free throw 2 of 2,15,6
40,1,6:31.0,M. Morris makes 2-pt jump shot from 9 ft,,17,6
41,1,6:13.0,,Shooting foul by M. Morris (drawn by D. Gallinari),17,6
42,1,6:13.0,,D. Gallinari makes free throw 1 of 2,17,7
43,1,6:13.0,K. Oubre enters the game for M. Morris,,17,7
44,1,6:13.0,,D. Gallinari makes free throw 2 of 2,17,8
45,1,5:53.0,O. Porter misses 3-pt jump shot from 23 ft,,17,8
46,1,5:49.0,Offensive rebound by M. Gortat,,17,8
47,1,5:46.0,O. Porter makes 2-pt jump shot from 14 ft (assist by T. Frazier),,19,8
48,1,5:32.0,,L. Williams makes 2-pt layup from 1 ft (assist by D. Gallinari),19,10
49,1,5:26.0,B. Beal misses 3-pt jump shot from 27 ft,,19,10
50,1,5:21.0,Offensive rebound by B. Beal,,19,10
51,1,5:20.0,B. Beal misses 2-pt jump shot from 13 ft,,19,10
52,1,5:18.0,,Defensive rebound by D. Jordan,19,10
53,1,5:15.0,,D. Gallinari misses 2-pt layup from 1 ft,19,10
54,1,5:11.0,Defensive rebound by K. Oubre,,19,10
55,1,5:09.0,Turnover by B. Beal (bad pass; steal by J. Evans),,19,10
56,1,5:02.0,,D. Gallinari misses 3-pt jump shot from 24 ft,19,10
57,1,4:58.0,Defensive rebound by T. Frazier,,19,10
58,1,4:47.0,K. Oubre misses 2-pt layup from 4 ft,,19,10
59,1,4:43.0,,Defensive rebound by D. Jordan,19,10
60,1,4:39.0,,D. Gallinari makes 2-pt layup at rim,19,12
61,1,4:39.0,,Shooting foul by K. Oubre (drawn by D. Gallinari),19,12
62,1,4:39.0,,D. Gallinari makes free throw 1 of 1,19,13
63,1,4:25.0,B. Beal misses 3-pt jump shot from 25 ft,,19,13
64,1,4:22.0,,Defensive rebound by D. Jordan,19,13
65,1,4:15.0,,L. Williams makes 2-pt layup from 1 ft,19,15
66,1,3:59.0,Turnover by M. Gortat (bad pass),,19,15
67,1,3:59.0,,J. Wilson enters the game for D. Gallinari,19,15
68,1,3:46.0,,J. Evans makes 3-pt jump shot from 24 ft (assist by L. Williams),19,18
69,1,3:41.0,Washington full timeout,,19,18
70,1,3:41.0,I. Mahinmi enters the game for T. Frazier,,19,18
71,1,3:41.0,T. Satoranský enters the game for M. Gortat,,19,18
72,1,3:31.0,Def 3 sec tech foul by J. Wilson,,19,18
73,1,3:31.0,B. Beal misses technical free throw,,19,18
74,1,3:31.0,Offensive rebound by Team,,19,18
75,1,3:25.0,I. Mahinmi makes 2-pt hook shot from 3 ft,,21,18
76,1,3:11.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by D. Jordan),21,21
77,1,2:55.0,K. Oubre misses 3-pt jump shot from 25 ft,,21,21
78,1,2:50.0,,Defensive rebound by D. Jordan,21,21
79,1,2:37.0,,L. Williams misses 3-pt jump shot from 22 ft,21,21
80,1,2:32.0,Defensive rebound by O. Porter,,21,21
81,1,2:27.0,Personal foul by J. Evans (drawn by T. Satoranský),,21,21
82,1,2:27.0,,M. Harrell enters the game for D. Jordan,21,21
83,1,2:27.0,J. Meeks enters the game for B. Beal,,21,21
84,1,2:14.0,K. Oubre misses 2-pt jump shot from 11 ft,,21,21
85,1,2:10.0,,Defensive rebound by J. Wilson,21,21
86,1,2:07.0,,C. Williams makes 3-pt jump shot from 24 ft (assist by J. Evans),21,24
87,1,1:49.0,T. Satoranský makes 2-pt hook shot from 7 ft (assist by I. Mahinmi),,23,24
88,1,1:43.0,M. Scott enters the game for O. Porter,,23,24
89,1,1:35.0,,J. Evans misses 3-pt jump shot from 23 ft,23,24
90,1,1:31.0,Defensive rebound by M. Scott,,23,24
91,1,1:23.0,Shooting foul by J. Wilson (drawn by I. Mahinmi),,23,24
92,1,1:23.0,I. Mahinmi makes free throw 1 of 2,,24,24
93,1,1:23.0,I. Mahinmi makes free throw 2 of 2,,25,24
94,1,1:08.0,,C. Williams misses 2-pt jump shot from 7 ft,25,24
95,1,1:05.0,,Offensive rebound by C. Williams,25,24
96,1,1:03.0,,J. Evans makes 3-pt jump shot from 25 ft (assist by C. Williams),25,27
97,1,0:40.0,T. Satoranský makes 2-pt jump shot from 16 ft (assist by J. Meeks),,27,27
98,1,0:23.0,,M. Harrell makes 2-pt hook shot from 7 ft,27,29
99,1,0:23.0,,Shooting foul by I. Mahinmi (drawn by M. Harrell),27,29
100,1,0:23.0,,S. Thornwell enters the game for J. Evans,27,29
101,1,0:23.0,,W. Johnson enters the game for L. Williams,27,29
102,1,0:23.0,,M. Harrell makes free throw 1 of 1,27,30
103,1,0:00.0,Turnover by T. Satoranský (bad pass; steal by W. Johnson),,27,30
104,2,11:45.0,K. Oubre misses 3-pt jump shot from 22 ft,,27,30
105,2,11:45.0,,Defensive rebound by J. Wilson,27,30
106,2,11:32.0,,Personal foul by I. Mahinmi (drawn by L. Williams),27,30
107,2,11:25.0,,A. Rivers makes 3-pt jump shot from 23 ft (assist by L. Williams),27,33
