,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
0,1,11:37.0,,W. Chandler misses 3-pt jump shot from 22 ft,0,0
1,1,11:34.0,,Offensive rebound by M. Plumlee,0,0
2,1,11:29.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Murray),0,3
3,1,11:08.0,T. Prince misses 3-pt jump shot from 24 ft,,0,3
4,1,11:03.0,,Defensive rebound by G. Harris,0,3
5,1,10:52.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Plumlee),0,6
6,1,10:35.0,K. Bazemore makes 2-pt jump shot from 22 ft (assist by D. Schröder),,2,6
7,1,10:22.0,,Turnover by J. Murray (bad pass; steal by E. İlyasova),2,6
8,1,10:12.0,E. İlyasova misses 2-pt layup from 2 ft,,2,6
9,1,10:10.0,,Defensive rebound by M. Plumlee,2,6
10,1,10:04.0,,J. Murray misses 3-pt jump shot from 24 ft,2,6
11,1,10:01.0,Defensive rebound by T. Prince,,2,6
12,1,9:57.0,Personal block foul by M. Plumlee (drawn by D. Schröder),,2,6
13,1,9:49.0,Turnover by K. Bazemore (lost ball; steal by G. Harris),,2,6
14,1,9:39.0,,Personal foul by K. Bazemore (drawn by G. Harris),2,6
15,1,9:33.0,,W. Chandler misses 2-pt layup from 2 ft,2,6
16,1,9:31.0,Defensive rebound by M. Plumlee,,2,6
17,1,9:24.0,D. Schröder makes 2-pt jump shot from 15 ft,,4,6
18,1,9:04.0,,W. Chandler misses 3-pt jump shot from 25 ft,4,6
19,1,9:01.0,Defensive rebound by M. Plumlee,,4,6
20,1,8:53.0,T. Prince misses 3-pt jump shot from 26 ft,,4,6
21,1,8:47.0,,Defensive rebound by G. Harris,4,6
22,1,8:40.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),4,9
23,1,8:22.0,D. Schröder misses 2-pt jump shot from 10 ft,,4,9
24,1,8:18.0,Offensive rebound by E. İlyasova,,4,9
25,1,8:16.0,E. İlyasova misses 2-pt layup from 2 ft (block by J. Murray),,4,9
26,1,8:15.0,Offensive rebound by E. İlyasova,,4,9
27,1,8:14.0,E. İlyasova misses 2-pt jump shot from 7 ft (block by N. Jokić),,4,9
28,1,8:14.0,Offensive rebound by Team,,4,9
29,1,8:09.0,T. Prince makes 3-pt jump shot from 22 ft (assist by D. Schröder),,7,9
30,1,7:55.0,,M. Plumlee makes 2-pt jump shot from 16 ft (assist by J. Murray),7,11
31,1,7:34.0,T. Prince makes 3-pt jump shot from 22 ft (assist by D. Schröder),,10,11
32,1,7:11.0,,N. Jokić misses 3-pt jump shot from 24 ft,10,11
33,1,7:07.0,Defensive rebound by K. Bazemore,,10,11
34,1,7:03.0,M. Plumlee misses 2-pt dunk from 2 ft,,10,11
35,1,6:59.0,,Defensive rebound by W. Chandler,10,11
36,1,6:57.0,,J. Murray misses 3-pt jump shot from 24 ft,10,11
37,1,6:57.0,Defensive rebound by D. Schröder,,10,11
38,1,6:48.0,T. Prince makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,13,11
39,1,6:46.0,,Denver full timeout,13,11
40,1,6:46.0,,T. Lyles enters the game for M. Plumlee,13,11
41,1,6:46.0,,W. Barton enters the game for W. Chandler,13,11
42,1,6:46.0,D. Dedmon enters the game for M. Plumlee,,13,11
43,1,6:38.0,,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),13,13
44,1,6:15.0,D. Schröder makes 2-pt layup from 2 ft,,15,13
45,1,5:57.0,,N. Jokić misses 3-pt jump shot from 24 ft,15,13
46,1,5:54.0,Defensive rebound by T. Prince,,15,13
47,1,5:49.0,Shooting foul by T. Lyles (drawn by K. Bazemore),,15,13
48,1,5:49.0,K. Bazemore makes free throw 1 of 2,,16,13
49,1,5:49.0,M. Belinelli enters the game for T. Prince,,16,13
50,1,5:49.0,K. Bazemore makes free throw 2 of 2,,17,13
51,1,5:35.0,,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),17,15
52,1,5:14.0,E. İlyasova misses 2-pt jump shot from 4 ft,,17,15
53,1,5:12.0,,Defensive rebound by N. Jokić,17,15
54,1,5:02.0,,N. Jokić misses 2-pt hook shot from 2 ft (block by D. Dedmon),17,15
55,1,4:57.0,Defensive rebound by D. Dedmon,,17,15
56,1,4:49.0,D. Schröder makes 3-pt jump shot from 24 ft,,20,15
57,1,4:33.0,,Shooting foul by D. Schröder (drawn by T. Lyles),20,15
58,1,4:33.0,,T. Lyles misses free throw 1 of 2,20,15
59,1,4:33.0,,Offensive rebound by Team,20,15
60,1,4:33.0,T. Prince enters the game for E. İlyasova,,20,15
61,1,4:33.0,J. Collins enters the game for K. Bazemore,,20,15
62,1,4:33.0,,T. Lyles makes free throw 2 of 2,20,16
63,1,4:23.0,Turnover by T. Prince (bad pass; steal by G. Harris),,20,16
64,1,4:17.0,,W. Barton misses 3-pt jump shot from 25 ft,20,16
65,1,4:15.0,,Offensive rebound by Team,20,16
66,1,4:15.0,Loose ball foul by D. Dedmon (drawn by N. Jokić),,20,16
67,1,4:12.0,,Turnover by J. Murray (traveling),20,16
68,1,4:12.0,M. Delaney enters the game for D. Schröder,,20,16
69,1,3:59.0,T. Prince misses 3-pt jump shot from 23 ft,,20,16
70,1,3:55.0,Offensive rebound by D. Dedmon,,20,16
71,1,3:53.0,M. Belinelli makes 2-pt jump shot from 20 ft (assist by D. Dedmon),,22,16
72,1,3:43.0,,Personal foul by J. Collins (drawn by N. Jokić),22,16
73,1,3:43.0,,T. Craig enters the game for J. Murray,22,16
74,1,3:37.0,,T. Lyles misses 3-pt jump shot from 25 ft,22,16
75,1,3:34.0,,Offensive rebound by G. Harris,22,16
76,1,3:32.0,,N. Jokić misses 3-pt jump shot from 24 ft,22,16
77,1,3:29.0,Defensive rebound by D. Dedmon,,22,16
78,1,3:15.0,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Prince),,24,16
79,1,3:15.0,Shooting foul by N. Jokić (drawn by D. Dedmon),,24,16
80,1,3:15.0,,K. Faried enters the game for N. Jokić,24,16
81,1,3:15.0,D. Dedmon makes free throw 1 of 1,,25,16
82,1,2:58.0,,T. Lyles makes 2-pt hook shot from 6 ft,25,18
83,1,2:45.0,D. Dedmon misses 3-pt jump shot from 25 ft,,25,18
84,1,2:45.0,,Defensive rebound by Team,25,18
85,1,2:45.0,Loose ball foul by J. Collins (drawn by T. Lyles),,25,18
86,1,2:45.0,Atlanta full timeout,,25,18
87,1,2:45.0,,M. Beasley enters the game for G. Harris,25,18
88,1,2:45.0,,T. Lyles makes free throw 1 of 2,25,19
89,1,2:45.0,,T. Lyles misses free throw 2 of 2,25,19
90,1,2:43.0,Defensive rebound by D. Dedmon,,25,19
91,1,2:36.0,Personal foul by M. Beasley (drawn by M. Belinelli),,25,19
92,1,2:26.0,,Offensive charge foul by T. Prince (drawn by K. Faried),25,19
93,1,2:26.0,Turnover by T. Prince (offensive foul),,25,19
94,1,2:14.0,,W. Barton misses 2-pt layup from 2 ft,25,19
95,1,2:09.0,,Offensive rebound by K. Faried,25,19
96,1,2:09.0,,K. Faried misses 2-pt dunk at rim,25,19
97,1,2:09.0,Defensive rebound by M. Delaney,,25,19
98,1,1:52.0,M. Delaney misses 2-pt layup from 2 ft,,25,19
99,1,1:50.0,,Defensive rebound by T. Lyles,25,19
100,1,1:27.0,,T. Craig misses 3-pt jump shot from 25 ft,25,19
101,1,1:25.0,Defensive rebound by Team,,25,19
102,1,1:25.0,M. Muscala enters the game for D. Dedmon,,25,19
103,1,1:09.0,M. Belinelli makes 2-pt layup from 2 ft (assist by J. Collins),,27,19
104,1,0:59.0,,W. Barton misses 3-pt jump shot from 25 ft,27,19
105,1,0:55.0,Defensive rebound by M. Delaney,,27,19
106,1,0:48.0,M. Delaney makes 2-pt jump shot from 18 ft (assist by T. Prince),,29,19
107,1,0:29.0,,K. Faried makes 2-pt hook shot from 3 ft (assist by M. Beasley),29,21
108,1,0:24.0,T. Prince misses 2-pt layup from 3 ft,,29,21
109,1,0:21.0,,Defensive rebound by K. Faried,29,21
110,1,0:01.0,,M. Beasley misses 3-pt jump shot from 22 ft,29,21
111,1,0:01.0,,Offensive rebound by Team,29,21
112,2,11:43.0,T. Prince makes 2-pt layup from 3 ft,,31,21
113,2,11:29.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by W. Barton),31,24
114,2,11:19.0,M. Belinelli misses 3-pt jump shot from 25 ft,,31,24
115,2,11:16.0,,Defensive rebound by T. Lyles,31,24
116,2,11:09.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by T. Lyles),31,27
117,2,10:46.0,J. Collins misses 2-pt hook shot from 6 ft,,31,27
118,2,10:43.0,,Defensive rebound by T. Lyles,31,27
119,2,10:40.0,,W. Chandler makes 2-pt layup from 2 ft (assist by K. Faried),31,29
120,2,10:40.0,Atlanta full timeout,,31,29
121,2,10:40.0,T. Dorsey enters the game for M. Belinelli,,31,29
122,2,10:40.0,M. Plumlee enters the game for J. Collins,,31,29
123,2,10:20.0,M. Delaney misses 3-pt jump shot from 25 ft,,31,29
124,2,10:17.0,,Defensive rebound by T. Lyles,31,29
125,2,10:02.0,,K. Faried makes 2-pt dunk from 1 ft (assist by T. Lyles),31,31
126,2,9:39.0,Turnover by T. Prince (bad pass; steal by J. Murray),,31,31
127,2,9:31.0,,Turnover by T. Lyles (lost ball; steal by M. Delaney),31,31
128,2,9:26.0,M. Delaney makes 2-pt layup from 2 ft,,33,31
129,2,9:26.0,,Violation by T. Lyles (def goaltending),33,31
130,2,9:16.0,,W. Barton misses 2-pt jump shot from 22 ft,33,31
131,2,9:13.0,Defensive rebound by M. Muscala,,33,31
132,2,8:57.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Delaney),,35,31
133,2,8:31.0,,W. Barton misses 2-pt jump shot from 10 ft,35,31
134,2,8:27.0,Defensive rebound by M. Muscala,,35,31
135,2,8:15.0,T. Prince makes 3-pt jump shot from 22 ft (assist by M. Delaney),,38,31
136,2,8:14.0,,Denver full timeout,38,31
137,2,8:14.0,,N. Jokić enters the game for W. Barton,38,31
138,2,8:14.0,,G. Harris enters the game for K. Faried,38,31
139,2,8:14.0,E. İlyasova enters the game for M. Delaney,,38,31
140,2,8:14.0,D. Schröder enters the game for T. Prince,,38,31
141,2,8:14.0,K. Bazemore enters the game for M. Muscala,,38,31
142,2,7:53.0,,W. Chandler makes 2-pt layup from 2 ft (assist by N. Jokić),38,33
143,2,7:39.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Schröder),,41,33
144,2,7:17.0,,N. Jokić misses 3-pt jump shot from 25 ft,41,33
145,2,7:14.0,Defensive rebound by E. İlyasova,,41,33
146,2,7:04.0,T. Dorsey misses 2-pt layup from 1 ft,,41,33
147,2,7:04.0,,Defensive rebound by N. Jokić,41,33
148,2,6:55.0,,G. Harris makes 2-pt jump shot from 16 ft (assist by N. Jokić),41,35
149,2,6:35.0,K. Bazemore makes 2-pt layup from 2 ft (assist by E. İlyasova),,43,35
150,2,6:25.0,Violation by M. Plumlee (kicked ball),,43,35
151,2,6:20.0,,T. Lyles misses 2-pt layup from 2 ft (block by K. Bazemore),43,35
152,2,6:20.0,,Offensive rebound by Team,43,35
153,2,6:18.0,,T. Lyles misses 3-pt jump shot from 25 ft,43,35
154,2,6:15.0,Defensive rebound by D. Schröder,,43,35
155,2,6:08.0,Turnover by D. Schröder (lost ball; steal by N. Jokić),,43,35
156,2,5:53.0,,N. Jokić misses 2-pt hook shot from 4 ft,43,35
157,2,5:49.0,,Offensive rebound by N. Jokić,43,35
158,2,5:49.0,,N. Jokić makes 2-pt jump shot from 4 ft,43,37
159,2,5:40.0,M. Plumlee misses 2-pt layup from 3 ft (block by N. Jokić),,43,37
160,2,5:40.0,Offensive rebound by Team,,43,37
161,2,5:40.0,J. Collins enters the game for M. Plumlee,,43,37
162,2,5:38.0,D. Schröder misses 2-pt jump shot from 15 ft,,43,37
163,2,5:35.0,,Defensive rebound by T. Lyles,43,37
164,2,5:24.0,,W. Barton enters the game for J. Murray,43,37
165,2,5:17.0,,T. Lyles misses 2-pt layup from 1 ft,43,37
166,2,5:15.0,Defensive rebound by E. İlyasova,,43,37
167,2,5:10.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),,46,37
168,2,4:48.0,,Personal foul by J. Collins (drawn by N. Jokić),46,37
169,2,4:40.0,,W. Barton makes 2-pt layup from 2 ft,46,39
