,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by M. Brogdon),0,2
1,1,11:24.0,Turnover by C. McCollum (bad pass),,0,2
2,1,11:11.0,,K. Middleton makes 2-pt layup from 1 ft (assist by M. Brogdon),0,4
3,1,10:52.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by D. Lillard),,2,4
4,1,10:33.0,,K. Middleton misses 2-pt jump shot from 15 ft,2,4
5,1,10:30.0,,Offensive rebound by M. Brogdon,2,4
6,1,10:29.0,,Turnover by M. Brogdon (bad pass; steal by D. Lillard),2,4
7,1,10:20.0,Turnover by D. Lillard (bad pass; steal by T. Maker),,2,4
8,1,10:16.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Maker),2,6
9,1,10:04.0,J. Nurkić misses 2-pt layup from 1 ft,,2,6
10,1,9:56.0,Offensive rebound by J. Nurkić,,2,6
11,1,9:56.0,J. Nurkić misses 2-pt layup at rim,,2,6
12,1,9:56.0,,Defensive rebound by T. Maker,2,6
13,1,9:47.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,2,6
14,1,9:45.0,Defensive rebound by D. Lillard,,2,6
15,1,9:41.0,J. Nurkić misses 2-pt layup at rim,,2,6
16,1,9:36.0,,Defensive rebound by K. Middleton,2,6
17,1,9:36.0,,K. Middleton misses 2-pt layup from 2 ft (block by A. Aminu),2,6
18,1,9:35.0,Defensive rebound by Team,,2,6
19,1,9:19.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,4,6
20,1,9:00.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),4,8
21,1,8:33.0,C. McCollum makes 3-pt jump shot from 27 ft,,7,8
22,1,8:14.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,8
23,1,8:11.0,Defensive rebound by A. Aminu,,7,8
24,1,8:03.0,Shooting foul by K. Middleton (drawn by A. Aminu),,7,8
25,1,8:03.0,A. Aminu makes free throw 1 of 2,,8,8
26,1,8:03.0,,D. Liggins enters the game for T. Snell,8,8
27,1,8:03.0,A. Aminu makes free throw 2 of 2,,9,8
28,1,7:44.0,,K. Middleton makes 2-pt jump shot from 12 ft,9,10
29,1,7:25.0,C. McCollum misses 2-pt layup from 5 ft (block by D. Liggins),,9,10
30,1,7:25.0,,Defensive rebound by D. Liggins,9,10
31,1,7:20.0,,Turnover by D. Liggins (bad pass; steal by C. McCollum),9,10
32,1,6:50.0,,K. Middleton makes 2-pt layup from 1 ft,9,12
33,1,6:44.0,Shooting foul by T. Maker (drawn by D. Lillard),,9,12
34,1,6:44.0,,Milwaukee full timeout,9,12
35,1,6:44.0,,M. Teletović enters the game for M. Brogdon,9,12
36,1,6:44.0,,G. Monroe enters the game for G. Antetokounmpo,9,12
37,1,6:44.0,D. Lillard makes free throw 1 of 2,,10,12
38,1,6:44.0,D. Lillard makes free throw 2 of 2,,11,12
39,1,6:29.0,,Shooting foul by D. Lillard (drawn by K. Middleton),11,12
40,1,6:29.0,,K. Middleton makes free throw 1 of 2,11,13
41,1,6:29.0,,K. Middleton makes free throw 2 of 2,11,14
42,1,6:14.0,A. Aminu misses 2-pt layup from 2 ft,,11,14
43,1,6:11.0,,Defensive rebound by T. Maker,11,14
44,1,6:04.0,,Turnover by K. Middleton (bad pass; steal by D. Lillard),11,14
45,1,5:57.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Aminu),,14,14
46,1,5:44.0,,M. Dellavedova enters the game for T. Maker,14,14
47,1,5:44.0,P. Connaughton enters the game for C. McCollum,,14,14
48,1,5:44.0,E. Turner enters the game for M. Harkless,,14,14
49,1,5:34.0,,M. Dellavedova misses 2-pt jump shot from 3 ft,14,14
50,1,5:31.0,Defensive rebound by A. Aminu,,14,14
51,1,5:29.0,D. Lillard misses 3-pt jump shot from 26 ft,,14,14
52,1,5:25.0,,Defensive rebound by M. Dellavedova,14,14
53,1,5:19.0,,M. Teletović makes 3-pt jump shot from 26 ft (assist by K. Middleton),14,17
54,1,5:08.0,Turnover by D. Lillard (bad pass),,14,17
55,1,4:53.0,,D. Liggins misses 2-pt layup from 1 ft,14,17
56,1,4:49.0,Defensive rebound by J. Nurkić,,14,17
57,1,4:41.0,J. Nurkić misses 3-pt jump shot from 26 ft,,14,17
58,1,4:38.0,Offensive rebound by D. Lillard,,14,17
59,1,4:36.0,D. Lillard misses 2-pt layup from 3 ft,,14,17
60,1,4:35.0,Offensive rebound by D. Lillard,,14,17
61,1,4:35.0,Shooting foul by K. Middleton (drawn by D. Lillard),,14,17
62,1,4:35.0,D. Lillard makes free throw 1 of 2,,15,17
63,1,4:35.0,,G. Antetokounmpo enters the game for K. Middleton,15,17
64,1,4:35.0,D. Lillard makes free throw 2 of 2,,16,17
65,1,4:23.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,16,17
66,1,4:20.0,Defensive rebound by D. Lillard,,16,17
67,1,4:12.0,A. Aminu misses 3-pt jump shot from 26 ft,,16,17
68,1,4:09.0,,Defensive rebound by G. Antetokounmpo,16,17
