,QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
0,1,11:46.0,,J. Jerebko misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:30.0,D. Schröder misses 3-pt jump shot from 25 ft,,0,0
3,1,11:27.0,,Defensive rebound by J. Ingles,0,0
4,1,11:18.0,,J. Ingles makes 2-pt layup from 2 ft,0,2
5,1,11:10.0,T. Prince misses 3-pt jump shot from 25 ft,,0,2
6,1,11:08.0,,Defensive rebound by J. Jerebko,0,2
7,1,11:00.0,,Turnover by R. Rubio (bad pass),0,2
8,1,10:47.0,D. Dedmon makes 2-pt dunk from 2 ft (assist by T. Prince),,2,2
9,1,10:30.0,,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),2,4
10,1,10:30.0,,Shooting foul by D. Dedmon (drawn by R. Gobert),2,4
11,1,10:30.0,,R. Gobert makes free throw 1 of 1,2,5
12,1,10:16.0,Shooting foul by J. Ingles (drawn by D. Schröder),,2,5
13,1,10:16.0,D. Schröder makes free throw 1 of 2,,3,5
14,1,10:16.0,D. Schröder makes free throw 2 of 2,,4,5
15,1,10:05.0,,J. Ingles misses 3-pt jump shot from 24 ft,4,5
16,1,10:01.0,Defensive rebound by D. Schröder,,4,5
17,1,9:51.0,Shooting foul by R. Rubio (drawn by D. Schröder),,4,5
18,1,9:51.0,D. Schröder misses free throw 1 of 2,,4,5
19,1,9:51.0,Offensive rebound by Team,,4,5
20,1,9:51.0,D. Schröder misses free throw 2 of 2,,4,5
21,1,9:48.0,Offensive rebound by D. Dedmon,,4,5
22,1,9:41.0,D. Schröder misses 2-pt jump shot from 15 ft,,4,5
23,1,9:38.0,,Defensive rebound by D. Mitchell,4,5
24,1,9:30.0,,R. Rubio makes 2-pt jump shot from 14 ft (assist by D. Mitchell),4,7
25,1,9:11.0,D. Dedmon misses 3-pt jump shot from 25 ft,,4,7
26,1,9:08.0,,Defensive rebound by J. Ingles,4,7
27,1,8:57.0,,J. Jerebko misses 2-pt jump shot from 7 ft,4,7
