,QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by K. Anderson),0,2
1,1,11:23.0,D. Arthur makes 2-pt jump shot from 20 ft (assist by N. Jokić),,2,2
2,1,11:11.0,,P. Gasol makes 2-pt layup at rim (assist by D. Green),2,4
3,1,10:56.0,J. Murray makes 3-pt jump shot from 25 ft (assist by D. Arthur),,5,4
4,1,10:40.0,,D. Murray misses 2-pt jump shot from 8 ft,5,4
5,1,10:38.0,Defensive rebound by D. Arthur,,5,4
6,1,10:30.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),,8,4
7,1,10:07.0,,P. Gasol misses 2-pt hook shot from 7 ft,8,4
8,1,10:02.0,,Offensive rebound by D. Murray,8,4
9,1,10:02.0,,D. Murray misses 2-pt layup at rim,8,4
10,1,10:00.0,,Offensive rebound by D. Murray,8,4
11,1,10:00.0,,D. Murray misses 2-pt layup at rim,8,4
12,1,10:00.0,Defensive rebound by N. Jokić,,8,4
13,1,9:59.0,Turnover by N. Jokić (bad pass; steal by D. Green),,8,4
14,1,9:53.0,,D. Green makes 2-pt layup from 1 ft (assist by D. Murray),8,6
15,1,9:37.0,G. Harris makes 3-pt jump shot from 24 ft (assist by N. Jokić),,11,6
16,1,9:13.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Green),11,8
17,1,9:03.0,W. Barton misses 2-pt jump shot from 22 ft,,11,8
18,1,9:03.0,,Defensive rebound by P. Gasol,11,8
19,1,8:54.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Gasol),11,10
20,1,8:33.0,N. Jokić misses 2-pt layup from 2 ft,,11,10
21,1,8:30.0,Offensive rebound by N. Jokić,,11,10
22,1,8:26.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,14,10
23,1,8:10.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by K. Anderson),14,12
24,1,7:55.0,D. Arthur makes 3-pt jump shot from 25 ft (assist by N. Jokić),,17,12
25,1,7:40.0,,P. Gasol makes 3-pt jump shot from 22 ft (assist by D. Murray),17,15
26,1,7:24.0,G. Harris misses 2-pt jump shot from 12 ft,,17,15
27,1,7:22.0,,Defensive rebound by D. Green,17,15
28,1,7:12.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. Murray),17,18
29,1,7:11.0,Denver full timeout,,17,18
30,1,6:47.0,D. Arthur misses 3-pt jump shot from 23 ft,,17,18
31,1,6:47.0,Offensive rebound by Team,,17,18
32,1,6:47.0,Turnover by Team (shot clock),,17,18
33,1,6:26.0,,Turnover by L. Aldridge (lost ball; steal by D. Arthur),17,18
34,1,6:21.0,J. Murray misses 2-pt layup from 3 ft (block by D. Murray),,17,18
35,1,6:18.0,,Defensive rebound by D. Murray,17,18
36,1,6:15.0,,Offensive foul by D. Murray (drawn by W. Barton),17,18
37,1,6:15.0,,Turnover by D. Murray (offensive foul),17,18
38,1,5:56.0,N. Jokić makes 2-pt hook shot from 7 ft,,19,18
39,1,5:42.0,,Turnover by D. Green (bad pass; steal by W. Barton),19,18
40,1,5:37.0,W. Barton makes 2-pt layup from 2 ft,,21,18
41,1,5:18.0,,D. Green misses 2-pt layup at rim,21,18
42,1,5:16.0,Defensive rebound by D. Arthur,,21,18
43,1,5:13.0,G. Harris misses 3-pt jump shot from 25 ft,,21,18
44,1,5:11.0,,Defensive rebound by Team,21,18
45,1,5:11.0,,T. Parker enters the game for D. Murray,21,18
46,1,5:11.0,,D. Bertāns enters the game for D. Green,21,18
47,1,5:11.0,,M. Ginóbili enters the game for P. Gasol,21,18
48,1,4:52.0,,D. Bertāns makes 2-pt layup from 2 ft (assist by K. Anderson),21,20
49,1,4:42.0,D. Arthur makes 2-pt hook shot from 1 ft (assist by N. Jokić),,23,20
50,1,4:36.0,,San Antonio full timeout,23,20
51,1,4:36.0,,P. Mills enters the game for K. Anderson,23,20
52,1,4:36.0,T. Lyles enters the game for D. Arthur,,23,20
53,1,4:36.0,T. Craig enters the game for W. Barton,,23,20
54,1,4:17.0,,L. Aldridge makes 2-pt jump shot from 12 ft (assist by T. Parker),23,22
55,1,4:00.0,Personal foul by L. Aldridge (drawn by N. Jokić),,23,22
56,1,3:51.0,T. Lyles misses 3-pt jump shot from 25 ft,,23,22
57,1,3:49.0,,Defensive rebound by D. Bertāns,23,22
58,1,3:40.0,,M. Ginóbili makes 2-pt layup from 1 ft (assist by T. Parker),23,24
59,1,3:40.0,,Shooting foul by T. Craig (drawn by M. Ginóbili),23,24
60,1,3:40.0,,M. Ginóbili makes free throw 1 of 1,23,25
61,1,3:18.0,G. Harris misses 2-pt jump shot from 6 ft,,23,25
62,1,3:16.0,,Defensive rebound by T. Parker,23,25
63,1,3:09.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by P. Mills),23,28
64,1,2:52.0,J. Murray misses 3-pt jump shot from 25 ft,,23,28
65,1,2:50.0,,Defensive rebound by D. Bertāns,23,28
66,1,2:40.0,,Turnover by L. Aldridge (traveling),23,28
67,1,2:27.0,J. Murray misses 3-pt jump shot from 24 ft,,23,28
68,1,2:24.0,,Defensive rebound by D. Bertāns,23,28
69,1,2:19.0,,P. Gasol enters the game for L. Aldridge,23,28
70,1,2:19.0,E. Mudiay enters the game for J. Murray,,23,28
71,1,2:15.0,,T. Parker misses 2-pt layup from 1 ft,23,28
72,1,2:14.0,,P. Gasol misses 2-pt layup from 1 ft,23,28
73,1,2:14.0,,Offensive rebound by P. Gasol,23,28
74,1,2:13.0,,Offensive rebound by P. Gasol,23,28
75,1,2:12.0,,P. Gasol misses 2-pt layup from 2 ft,23,28
76,1,2:10.0,,Offensive rebound by P. Gasol,23,28
77,1,2:06.0,,P. Gasol misses 2-pt layup at rim,23,28
78,1,2:03.0,,Offensive rebound by P. Gasol,23,28
79,1,2:03.0,,P. Gasol misses 2-pt layup at rim,23,28
80,1,2:03.0,Defensive rebound by N. Jokić,,23,28
81,1,1:55.0,G. Harris makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,26,28
82,1,1:35.0,,M. Ginóbili misses 2-pt layup from 2 ft (block by T. Lyles),26,28
83,1,1:33.0,Defensive rebound by T. Lyles,,26,28
84,1,1:30.0,Turnover by T. Lyles (bad pass),,26,28
85,1,1:30.0,W. Barton enters the game for G. Harris,,26,28
86,1,1:16.0,,P. Gasol makes 2-pt layup from 2 ft (assist by M. Ginóbili),26,30
87,1,0:59.0,T. Lyles misses 2-pt jump shot from 19 ft,,26,30
88,1,0:56.0,Offensive rebound by T. Craig,,26,30
89,1,0:54.0,T. Craig misses 2-pt layup from 2 ft,,26,30
90,1,0:54.0,Offensive rebound by T. Lyles,,26,30
91,1,0:50.0,T. Lyles misses 2-pt jump shot from 3 ft,,26,30
92,1,0:47.0,Offensive rebound by N. Jokić,,26,30
93,1,0:46.0,T. Lyles makes 2-pt layup from 3 ft (assist by N. Jokić),,28,30
94,1,0:32.0,,P. Gasol misses 2-pt jump shot from 16 ft,28,30
95,1,0:29.0,Defensive rebound by T. Lyles,,28,30
96,1,0:12.0,W. Barton makes 2-pt layup from 2 ft,,30,30
97,1,0:06.0,,Personal foul by E. Mudiay (drawn by T. Parker),30,30
98,1,0:06.0,M. Beasley enters the game for N. Jokić,,30,30
99,1,0:02.0,,Turnover by P. Mills (bad pass; steal by W. Barton),30,30
100,1,0:00.0,Turnover by W. Barton (traveling),,30,30
101,1,0:00.0,,M. Ginóbili misses 3-pt jump shot from 23 ft (block by T. Craig),30,30
102,1,0:00.0,,Offensive rebound by Team,30,30
