,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Green),0,2
1,1,11:30.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,2
2,1,11:20.0,,D. Green makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),3,5
3,1,10:56.0,N. Jokić misses 2-pt hook shot from 10 ft,,3,5
4,1,10:53.0,,Defensive rebound by D. Green,3,5
5,1,10:49.0,,Z. Pachulia misses 2-pt layup from 1 ft,3,5
6,1,10:47.0,Defensive rebound by N. Jokić,,3,5
7,1,10:42.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by W. Chandler),,6,5
8,1,10:24.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green),6,7
9,1,10:09.0,N. Jokić makes 2-pt hook shot from 6 ft (assist by G. Harris),,8,7
10,1,9:56.0,,D. Green makes 2-pt jump shot from 10 ft (assist by S. Curry),8,9
11,1,9:37.0,N. Jokić misses 2-pt jump shot from 18 ft,,8,9
12,1,9:34.0,,Defensive rebound by S. Curry,8,9
13,1,9:34.0,,Personal foul by N. Jokić (drawn by S. Curry),8,9
14,1,9:25.0,,A. Iguodala misses 3-pt jump shot from 25 ft,8,9
15,1,9:20.0,,Offensive rebound by S. Curry,8,9
16,1,9:18.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Green),8,11
17,1,8:57.0,J. Murray misses 2-pt jump shot from 10 ft,,8,11
18,1,8:55.0,Offensive rebound by N. Jokić,,8,11
19,1,8:55.0,N. Jokić makes 2-pt layup at rim,,10,11
20,1,8:41.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by D. Green),10,14
21,1,8:40.0,Denver full timeout,,10,14
22,1,8:27.0,G. Harris makes 2-pt jump shot from 10 ft (assist by J. Murray),,12,14
23,1,8:14.0,,S. Curry misses 3-pt jump shot from 27 ft,12,14
24,1,8:11.0,,Offensive rebound by Z. Pachulia,12,14
25,1,8:10.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),12,17
26,1,7:53.0,N. Jokić misses 2-pt layup from 7 ft,,12,17
27,1,7:51.0,,Defensive rebound by Z. Pachulia,12,17
28,1,7:47.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),12,19
29,1,7:29.0,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),,14,19
30,1,7:19.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),14,22
31,1,7:02.0,Turnover by J. Murray (bad pass; steal by A. Iguodala),,14,22
32,1,6:57.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),14,24
33,1,6:48.0,M. Plumlee makes 2-pt hook shot from 10 ft (assist by J. Murray),,16,24
34,1,6:34.0,,K. Thompson misses 2-pt jump shot from 9 ft,16,24
35,1,6:32.0,Defensive rebound by N. Jokić,,16,24
36,1,6:32.0,Turnover by N. Jokić (bad pass),,16,24
37,1,6:17.0,,S. Curry misses 3-pt jump shot from 22 ft,16,24
38,1,6:13.0,Defensive rebound by M. Plumlee,,16,24
39,1,6:06.0,G. Harris misses 2-pt jump shot from 20 ft,,16,24
40,1,6:04.0,Offensive rebound by Team,,16,24
41,1,6:04.0,,Loose ball foul by Z. Pachulia (drawn by M. Plumlee),16,24
42,1,6:04.0,,J. Bell enters the game for Z. Pachulia,16,24
43,1,6:04.0,T. Lyles enters the game for M. Plumlee,,16,24
44,1,6:01.0,J. Murray misses 3-pt jump shot from 22 ft,,16,24
45,1,5:57.0,,Defensive rebound by J. Bell,16,24
46,1,5:43.0,,S. Curry misses 3-pt jump shot from 25 ft,16,24
47,1,5:39.0,Defensive rebound by N. Jokić,,16,24
48,1,5:26.0,N. Jokić makes 2-pt jump shot from 12 ft,,18,24
49,1,5:08.0,,S. Curry misses 2-pt layup from 2 ft,18,24
50,1,5:04.0,Defensive rebound by T. Lyles,,18,24
51,1,5:01.0,J. Murray misses 3-pt jump shot from 25 ft,,18,24
52,1,4:58.0,,Defensive rebound by K. Thompson,18,24
53,1,4:53.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),18,26
54,1,4:35.0,T. Lyles makes 2-pt jump shot from 16 ft (assist by J. Murray),,20,26
55,1,4:28.0,,Turnover by S. Curry (bad pass),20,26
56,1,4:28.0,W. Barton enters the game for W. Chandler,,20,26
57,1,4:15.0,T. Lyles misses 2-pt jump shot from 9 ft,,20,26
58,1,4:13.0,,Defensive rebound by J. Bell,20,26
59,1,4:11.0,,Shooting foul by T. Lyles (drawn by D. Green),20,26
60,1,4:11.0,,D. Green misses free throw 1 of 2,20,26
61,1,4:11.0,,Offensive rebound by Team,20,26
62,1,4:11.0,,N. Young enters the game for A. Iguodala,20,26
63,1,4:11.0,,P. McCaw enters the game for K. Thompson,20,26
64,1,4:11.0,,D. Green makes free throw 2 of 2,20,27
65,1,4:00.0,Turnover by J. Murray (bad pass; steal by P. McCaw),,20,27
66,1,3:57.0,,P. McCaw misses 2-pt layup from 1 ft (block by W. Barton),20,27
67,1,3:57.0,,Offensive rebound by Team,20,27
68,1,3:57.0,,Golden State full timeout,20,27
69,1,3:53.0,,N. Young misses 2-pt jump shot from 20 ft,20,27
70,1,3:49.0,Defensive rebound by N. Jokić,,20,27
71,1,3:45.0,G. Harris misses 2-pt jump shot from 20 ft,,20,27
72,1,3:43.0,Offensive rebound by J. Murray,,20,27
73,1,3:43.0,Shooting foul by N. Young (drawn by J. Murray),,20,27
74,1,3:43.0,J. Murray makes free throw 1 of 2,,21,27
75,1,3:43.0,J. Murray misses free throw 2 of 2,,21,27
76,1,3:39.0,,Defensive rebound by J. Bell,21,27
77,1,3:28.0,,P. McCaw makes 2-pt layup from 2 ft,21,29
78,1,3:12.0,J. Murray misses 2-pt layup from 2 ft,,21,29
79,1,3:09.0,,Defensive rebound by D. Green,21,29
80,1,3:02.0,,O. Casspi enters the game for D. Green,21,29
81,1,3:02.0,W. Chandler enters the game for G. Harris,,21,29
82,1,3:02.0,M. Beasley enters the game for N. Jokić,,21,29
83,1,2:50.0,,O. Casspi misses 2-pt layup from 2 ft,21,29
84,1,2:50.0,,Offensive rebound by Team,21,29
85,1,2:50.0,Loose ball foul by W. Chandler (drawn by O. Casspi),,21,29
86,1,2:50.0,T. Craig enters the game for J. Murray,,21,29
87,1,2:41.0,,S. Curry misses 2-pt layup from 2 ft,21,29
88,1,2:37.0,,Offensive rebound by J. Bell,21,29
89,1,2:37.0,,J. Bell misses 2-pt layup at rim,21,29
90,1,2:36.0,Defensive rebound by W. Chandler,,21,29
91,1,2:33.0,T. Lyles makes 2-pt layup from 3 ft (assist by W. Barton),,23,29
92,1,2:19.0,,J. Bell makes 2-pt hook shot from 8 ft (assist by S. Curry),23,31
93,1,2:09.0,Shooting foul by S. Curry (drawn by T. Lyles),,23,31
94,1,2:09.0,T. Lyles makes free throw 1 of 2,,24,31
95,1,2:09.0,T. Lyles misses free throw 2 of 2,,24,31
96,1,2:06.0,,Defensive rebound by O. Casspi,24,31
97,1,2:02.0,,Personal foul by T. Craig (drawn by J. Bell),24,31
98,1,1:56.0,,N. Young misses 3-pt jump shot from 24 ft,24,31
99,1,1:50.0,Defensive rebound by T. Lyles,,24,31
100,1,1:36.0,T. Lyles makes 2-pt layup from 1 ft,,26,31
101,1,1:22.0,,S. Curry makes 2-pt layup from 1 ft,26,33
102,1,1:01.0,T. Craig makes 2-pt layup from 1 ft (assist by T. Lyles),,28,33
103,1,0:46.0,,Turnover by O. Casspi (bad pass; steal by T. Lyles),28,33
104,1,0:41.0,W. Barton misses 2-pt jump shot from 7 ft (block by J. Bell),,28,33
105,1,0:37.0,,Defensive rebound by P. McCaw,28,33
106,1,0:37.0,,Shooting foul by M. Beasley (drawn by S. Curry),28,33
107,1,0:37.0,,S. Curry makes free throw 1 of 2,28,34
108,1,0:37.0,,S. Curry makes free throw 2 of 2,28,35
109,1,0:26.0,W. Barton misses 2-pt jump shot from 8 ft,,28,35
110,1,0:23.0,,Defensive rebound by O. Casspi,28,35
111,1,0:05.0,,N. Young misses 3-pt jump shot from 25 ft,28,35
112,1,0:01.0,,Offensive rebound by J. Bell,28,35
113,1,0:01.0,,J. Bell makes 2-pt layup from 1 ft,28,37
114,1,0:01.0,,Shooting foul by T. Lyles (drawn by J. Bell),28,37
115,1,0:01.0,,S. Livingston enters the game for S. Curry,28,37
116,1,0:01.0,,J. Bell misses free throw 1 of 1,28,37
117,1,0:00.0,Defensive rebound by T. Lyles,,28,37
118,2,11:46.0,T. Lyles misses 2-pt hook shot from 7 ft,,28,37
119,2,11:42.0,,Defensive rebound by D. Green,28,37
120,2,11:28.0,,D. Green misses 3-pt jump shot from 27 ft,28,37
121,2,11:24.0,,Offensive rebound by D. West,28,37
122,2,11:20.0,,K. Thompson misses 3-pt jump shot from 26 ft,28,37
123,2,11:17.0,Defensive rebound by M. Plumlee,,28,37
124,2,11:09.0,W. Barton misses 3-pt jump shot from 25 ft,,28,37
125,2,11:05.0,Offensive rebound by J. Murray,,28,37
126,2,11:04.0,J. Murray makes 2-pt jump shot from 20 ft,,30,37
127,2,10:46.0,,Personal foul by J. Murray (drawn by N. Young),30,37
128,2,10:41.0,,S. Livingston makes 2-pt hook shot from 6 ft (assist by D. West),30,39
129,2,10:28.0,J. Murray misses 2-pt jump shot from 12 ft,,30,39
130,2,10:22.0,,Defensive rebound by D. West,30,39
131,2,10:14.0,,D. West misses 2-pt jump shot from 8 ft,30,39
132,2,10:12.0,,Offensive rebound by D. West,30,39
133,2,10:10.0,,D. West makes 2-pt layup from 4 ft,30,41
134,2,9:47.0,J. Murray misses 2-pt layup from 3 ft (block by D. Green),,30,41
135,2,9:45.0,,Defensive rebound by K. Thompson,30,41
136,2,9:42.0,Offensive charge foul by D. West (drawn by T. Craig),,30,41
137,2,9:42.0,,Turnover by D. West (offensive foul),30,41
138,2,9:27.0,W. Barton misses 2-pt jump shot from 5 ft (block by K. Thompson),,30,41
139,2,9:21.0,,Defensive rebound by D. West,30,41
140,2,9:14.0,,S. Livingston makes 2-pt jump shot from 12 ft,30,43
141,2,9:12.0,Denver full timeout,,30,43
142,2,9:12.0,N. Jokić enters the game for T. Lyles,,30,43
143,2,8:57.0,J. Murray makes 2-pt jump shot from 12 ft (assist by W. Barton),,32,43
144,2,8:33.0,,D. West makes 2-pt jump shot from 18 ft (assist by D. Green),32,45
145,2,8:13.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,34,45
146,2,8:03.0,,D. Green misses 3-pt jump shot from 24 ft,34,45
147,2,8:00.0,Defensive rebound by N. Jokić,,34,45
148,2,7:43.0,J. Murray makes 3-pt jump shot from 23 ft,,37,45
149,2,7:34.0,,Golden State full timeout,37,45
150,2,7:34.0,,A. Iguodala enters the game for N. Young,37,45
151,2,7:34.0,,J. Bell enters the game for D. Green,37,45
152,2,7:26.0,,K. Thompson misses 2-pt jump shot from 20 ft,37,45
153,2,7:24.0,Defensive rebound by M. Plumlee,,37,45
154,2,7:12.0,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),,39,45
155,2,6:56.0,,D. West misses 2-pt jump shot from 18 ft,39,45
