,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
0,1,11:42.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),0,3
1,1,11:28.0,,Offensive charge foul by S. Adams (drawn by O. Anunoby),0,3
2,1,11:28.0,Turnover by S. Adams (offensive foul),,0,3
3,1,11:12.0,,J. Valančiūnas misses 2-pt layup from 3 ft,0,3
4,1,11:12.0,Defensive rebound by Team,,0,3
5,1,10:56.0,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,2,3
6,1,10:42.0,,S. Ibaka makes 2-pt jump shot from 12 ft,2,5
7,1,10:35.0,Turnover by R. Westbrook (bad pass),,2,5
8,1,10:16.0,,Turnover by O. Anunoby (lost ball; steal by C. Brewer),2,5
9,1,10:12.0,P. George makes 2-pt dunk at rim,,4,5
10,1,9:52.0,,Shooting foul by C. Brewer (drawn by D. DeRozan),4,5
11,1,9:52.0,,D. DeRozan makes free throw 1 of 2,4,6
12,1,9:52.0,,D. DeRozan makes free throw 2 of 2,4,7
13,1,9:43.0,Personal foul by O. Anunoby (drawn by P. George),,4,7
14,1,9:28.0,C. Brewer makes 3-pt jump shot from 23 ft (assist by C. Anthony),,7,7
15,1,9:09.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by K. Lowry),7,9
16,1,8:57.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,9,9
17,1,8:47.0,,D. DeRozan misses 3-pt jump shot from 25 ft,9,9
18,1,8:44.0,Defensive rebound by P. George,,9,9
19,1,8:37.0,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),,11,9
20,1,8:20.0,,D. DeRozan makes 2-pt jump shot from 11 ft,11,11
21,1,8:07.0,P. George misses 2-pt jump shot from 20 ft,,11,11
22,1,8:04.0,,Defensive rebound by S. Ibaka,11,11
23,1,7:58.0,,S. Ibaka misses 3-pt jump shot from 28 ft,11,11
24,1,7:55.0,Defensive rebound by R. Westbrook,,11,11
25,1,7:53.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,14,11
26,1,7:34.0,,S. Ibaka misses 2-pt layup from 4 ft,14,11
27,1,7:32.0,Defensive rebound by C. Brewer,,14,11
28,1,7:29.0,,Offensive charge foul by C. Brewer (drawn by K. Lowry),14,11
29,1,7:29.0,Turnover by C. Brewer (offensive foul),,14,11
30,1,7:19.0,,K. Lowry makes 3-pt jump shot from 28 ft,14,14
31,1,6:59.0,C. Anthony makes 2-pt jump shot from 16 ft,,16,14
32,1,6:50.0,,D. DeRozan misses 3-pt jump shot from 26 ft,16,14
33,1,6:47.0,,Offensive rebound by J. Valančiūnas,16,14
34,1,6:46.0,,J. Valančiūnas makes 2-pt layup at rim,16,16
35,1,6:34.0,S. Adams makes 2-pt dunk at rim (assist by P. George),,18,16
36,1,6:22.0,,Turnover by J. Valančiūnas (traveling),18,16
37,1,6:22.0,,Toronto full timeout,18,16
38,1,6:22.0,J. Huestis enters the game for C. Brewer,,18,16
39,1,6:13.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,20,16
40,1,5:51.0,,Turnover by S. Ibaka (bad pass; steal by P. George),20,16
41,1,5:47.0,Turnover by R. Westbrook (bad pass),,20,16
42,1,5:32.0,,K. Lowry makes 3-pt jump shot from 29 ft (assist by J. Valančiūnas),20,19
43,1,5:25.0,Personal foul by S. Ibaka (drawn by S. Adams),,20,19
44,1,5:11.0,J. Huestis misses 3-pt jump shot from 22 ft,,20,19
45,1,5:08.0,Offensive rebound by S. Adams,,20,19
46,1,5:06.0,J. Huestis misses 2-pt layup from 3 ft,,20,19
47,1,5:02.0,Offensive rebound by J. Huestis,,20,19
48,1,5:02.0,J. Huestis misses 2-pt layup at rim,,20,19
49,1,5:01.0,,Defensive rebound by D. DeRozan,20,19
50,1,4:43.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by K. Lowry),20,22
