,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,Turnover by J. Green (lost ball; steal by K. Koufos),,0,0
1,1,11:25.0,,K. Koufos misses 2-pt hook shot from 8 ft (block by M. Gasol),0,0
2,1,11:21.0,Defensive rebound by A. Harrison,,0,0
3,1,11:19.0,T. Evans misses 2-pt layup at rim (block by G. Temple),,0,0
4,1,11:16.0,,Defensive rebound by Z. Randolph,0,0
5,1,11:12.0,,G. Temple misses 3-pt jump shot from 23 ft,0,0
6,1,11:12.0,Defensive rebound by D. Brooks,,0,0
7,1,10:53.0,D. Brooks misses 2-pt jump shot from 6 ft,,0,0
8,1,10:50.0,,Defensive rebound by B. Bogdanović,0,0
9,1,10:41.0,,Z. Randolph misses 2-pt jump shot from 16 ft (block by M. Gasol),0,0
10,1,10:38.0,,Offensive rebound by Z. Randolph,0,0
11,1,10:35.0,,Z. Randolph misses 2-pt jump shot from 9 ft,0,0
12,1,10:32.0,,Offensive rebound by K. Koufos,0,0
13,1,10:31.0,,Turnover by K. Koufos (bad pass; steal by T. Evans),0,0
14,1,10:27.0,A. Harrison misses 3-pt jump shot from 25 ft,,0,0
15,1,10:24.0,,Defensive rebound by K. Koufos,0,0
16,1,10:14.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by G. Temple),0,3
17,1,10:02.0,T. Evans makes 3-pt jump shot from 25 ft,,3,3
18,1,9:54.0,,G. Hill makes 2-pt layup from 2 ft,3,5
19,1,9:43.0,T. Evans misses 2-pt layup from 3 ft,,3,5
20,1,9:41.0,,Defensive rebound by K. Koufos,3,5
21,1,9:32.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by M. Gasol),3,5
22,1,9:32.0,,Offensive rebound by Team,3,5
23,1,9:20.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,3,5
24,1,9:16.0,Defensive rebound by A. Harrison,,3,5
25,1,9:11.0,A. Harrison makes 2-pt jump shot from 3 ft,,5,5
26,1,8:48.0,,K. Koufos misses 2-pt hook shot from 6 ft,5,5
27,1,8:46.0,Defensive rebound by J. Green,,5,5
28,1,8:36.0,M. Gasol misses 3-pt jump shot from 25 ft,,5,5
29,1,8:33.0,,Defensive rebound by B. Bogdanović,5,5
30,1,8:13.0,,G. Hill misses 2-pt jump shot from 14 ft,5,5
31,1,8:10.0,Defensive rebound by M. Gasol,,5,5
32,1,8:01.0,J. Green misses 3-pt jump shot from 22 ft,,5,5
33,1,7:59.0,,Defensive rebound by G. Hill,5,5
34,1,7:56.0,,Turnover by G. Hill (out of bounds lost ball),5,5
35,1,7:38.0,M. Gasol makes 2-pt jump shot from 15 ft,,7,5
36,1,7:19.0,,G. Hill misses 3-pt jump shot from 25 ft,7,5
37,1,7:11.0,Defensive rebound by T. Evans,,7,5
38,1,7:05.0,T. Evans misses 3-pt jump shot from 23 ft,,7,5
39,1,7:03.0,,Defensive rebound by Z. Randolph,7,5
40,1,6:56.0,,Turnover by B. Bogdanović (bad pass; steal by A. Harrison),7,5
41,1,6:51.0,Memphis full timeout,,7,5
42,1,6:51.0,J. Martin enters the game for D. Brooks,,7,5
43,1,6:51.0,J. Ennis enters the game for J. Green,,7,5
44,1,6:51.0,K. Simmons enters the game for A. Harrison,,7,5
45,1,6:36.0,J. Martin makes 2-pt jump shot from 19 ft (assist by T. Evans),,9,5
46,1,6:14.0,,Shooting foul by J. Martin (drawn by K. Koufos),9,5
47,1,6:14.0,,K. Koufos misses free throw 1 of 2,9,5
48,1,6:14.0,,Offensive rebound by Team,9,5
49,1,6:14.0,,K. Koufos misses free throw 2 of 2,9,5
50,1,6:11.0,Defensive rebound by J. Martin,,9,5
51,1,5:49.0,T. Evans makes 3-pt jump shot from 25 ft,,12,5
52,1,5:31.0,,Z. Randolph makes 2-pt layup from 1 ft,12,7
53,1,5:22.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Evans),,15,7
54,1,5:00.0,,Z. Randolph misses 2-pt layup from 5 ft (block by M. Gasol),15,7
55,1,4:56.0,,Offensive rebound by G. Temple,15,7
56,1,4:56.0,,G. Temple misses 2-pt jump shot from 10 ft,15,7
57,1,4:56.0,Defensive rebound by Team,,15,7
58,1,4:56.0,,Loose ball foul by K. Koufos (drawn by M. Gasol),15,7
59,1,4:56.0,,F. Mason enters the game for G. Hill,15,7
60,1,4:56.0,,W. Cauley-Stein enters the game for K. Koufos,15,7
61,1,4:56.0,M. Chalmers enters the game for T. Evans,,15,7
62,1,4:33.0,J. Martin makes 2-pt layup from 1 ft (assist by M. Chalmers),,17,7
63,1,4:17.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),17,9
64,1,3:55.0,Shooting foul by F. Mason (drawn by K. Simmons),,17,9
65,1,3:55.0,K. Simmons makes free throw 1 of 2,,18,9
66,1,3:55.0,,B. Hield enters the game for G. Temple,18,9
67,1,3:55.0,K. Simmons makes free throw 2 of 2,,19,9
68,1,3:38.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by J. Martin),19,9
69,1,3:36.0,,Offensive rebound by W. Cauley-Stein,19,9
70,1,3:36.0,,F. Mason makes 2-pt layup from 1 ft,19,11
71,1,3:36.0,,Shooting foul by M. Chalmers (drawn by F. Mason),19,11
72,1,3:36.0,W. Selden enters the game for K. Simmons,,19,11
73,1,3:36.0,,F. Mason makes free throw 1 of 1,19,12
74,1,3:13.0,J. Martin makes 2-pt layup from 2 ft (assist by W. Selden),,21,12
75,1,3:08.0,,Sacramento full timeout,21,12
76,1,3:08.0,,S. Labissière enters the game for B. Bogdanović,21,12
77,1,3:08.0,,V. Carter enters the game for Z. Randolph,21,12
78,1,2:56.0,,W. Cauley-Stein makes 2-pt hook shot from 8 ft,21,14
79,1,2:36.0,J. Ennis misses 3-pt jump shot from 25 ft,,21,14
80,1,2:33.0,Offensive rebound by J. Ennis,,21,14
81,1,2:33.0,Shooting foul by V. Carter (drawn by J. Ennis),,21,14
82,1,2:33.0,J. Ennis makes free throw 1 of 2,,22,14
83,1,2:33.0,D. Davis enters the game for M. Gasol,,22,14
84,1,2:33.0,J. Ennis makes free throw 2 of 2,,23,14
85,1,2:18.0,,F. Mason misses 2-pt jump shot from 20 ft,23,14
86,1,2:15.0,Defensive rebound by J. Ennis,,23,14
87,1,2:06.0,M. Chalmers makes 3-pt jump shot from 24 ft (assist by D. Davis),,26,14
88,1,1:52.0,,S. Labissière makes 2-pt hook shot from 9 ft,26,16
89,1,1:40.0,Personal foul by S. Labissière (drawn by D. Davis),,26,16
90,1,1:23.0,D. Davis makes 2-pt jump shot from 20 ft,,28,16
91,1,0:59.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,28,16
92,1,0:54.0,,Offensive rebound by V. Carter,28,16
93,1,0:54.0,,V. Carter misses 2-pt layup at rim,28,16
94,1,0:53.0,Defensive rebound by M. Chalmers,,28,16
95,1,0:52.0,M. Chalmers makes 3-pt jump shot from 25 ft,,31,16
96,1,0:44.0,,Shooting foul by J. Martin (drawn by F. Mason),31,16
97,1,0:44.0,,F. Mason makes free throw 1 of 2,31,17
98,1,0:44.0,J. Green enters the game for J. Martin,,31,17
99,1,0:44.0,,F. Mason misses free throw 2 of 2,31,17
100,1,0:41.0,Defensive rebound by J. Ennis,,31,17
101,1,0:34.0,D. Davis makes 2-pt layup from 2 ft (assist by M. Chalmers),,33,17
102,1,0:17.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by F. Mason),33,20
103,1,0:01.0,Shooting foul by F. Mason (drawn by M. Chalmers),,33,20
104,1,0:01.0,M. Chalmers makes free throw 2 of 2,,34,20
105,1,0:01.0,M. Chalmers makes free throw 1 of 2,,35,20
106,1,0:00.0,,Personal foul by M. Chalmers (drawn by F. Mason),35,20
107,1,0:00.0,,Technical foul by F. Mason,35,20
108,1,0:00.0,,F. Mason makes free throw 2 of 3,35,21
109,1,0:00.0,,F. Mason misses free throw 3 of 3,35,21
110,1,0:00.0,,Offensive rebound by Team,35,21
111,1,0:00.0,,F. Mason makes free throw 1 of 3,35,22
112,1,0:00.0,J. Ennis makes technical free throw,,36,22
113,2,11:39.0,,B. Hield misses 3-pt jump shot from 23 ft,36,22
114,2,11:34.0,Defensive rebound by M. Chalmers,,36,22
115,2,11:14.0,W. Selden misses 3-pt jump shot from 25 ft,,36,22
116,2,11:11.0,,Defensive rebound by V. Carter,36,22
117,2,11:03.0,,Offensive foul by S. Labissière (drawn by J. Green),36,22
118,2,11:03.0,,Turnover by S. Labissière (offensive foul),36,22
119,2,11:03.0,T. Evans enters the game for M. Chalmers,,36,22
120,2,11:03.0,A. Harrison enters the game for W. Selden,,36,22
121,2,10:51.0,Def 3 sec tech foul by W. Cauley-Stein,,36,22
122,2,10:51.0,T. Evans makes technical free throw,,37,22
123,2,10:42.0,J. Green makes 2-pt layup from 1 ft,,39,22
124,2,10:27.0,,Turnover by W. Cauley-Stein (traveling),39,22
125,2,10:17.0,T. Evans misses 3-pt jump shot from 25 ft,,39,22
126,2,10:14.0,,Defensive rebound by W. Cauley-Stein,39,22
127,2,10:03.0,,V. Carter misses 3-pt jump shot from 27 ft,39,22
128,2,9:58.0,Defensive rebound by A. Harrison,,39,22
129,2,9:54.0,J. Green makes 3-pt jump shot from 25 ft (assist by A. Harrison),,42,22
130,2,9:34.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,42,22
131,2,9:32.0,Defensive rebound by D. Davis,,42,22
132,2,9:23.0,A. Harrison misses 2-pt jump shot from 18 ft,,42,22
133,2,9:19.0,,Defensive rebound by B. Hield,42,22
134,2,9:12.0,,B. Hield misses 3-pt jump shot from 25 ft (block by J. Ennis),42,22
135,2,9:08.0,Defensive rebound by T. Evans,,42,22
136,2,9:05.0,T. Evans misses 2-pt layup from 2 ft (block by B. Hield),,42,22
137,2,9:02.0,Offensive rebound by T. Evans,,42,22
138,2,9:02.0,Turnover by J. Green (step out of bounds),,42,22
139,2,9:02.0,,B. Bogdanović enters the game for V. Carter,42,22
140,2,8:47.0,,B. Hield misses 2-pt jump shot from 21 ft,42,22
141,2,8:42.0,Defensive rebound by T. Evans,,42,22
142,2,8:36.0,D. Davis makes 2-pt dunk from 2 ft (assist by T. Evans),,44,22
143,2,8:13.0,,S. Labissière misses 2-pt jump shot from 14 ft,44,22
144,2,8:13.0,Defensive rebound by D. Davis,,44,22
145,2,8:08.0,A. Harrison makes 2-pt layup from 1 ft,,46,22
146,2,8:08.0,Shooting foul by B. Bogdanović (drawn by A. Harrison),,46,22
147,2,8:08.0,J. Martin enters the game for J. Green,,46,22
148,2,8:08.0,D. Brooks enters the game for J. Ennis,,46,22
149,2,8:08.0,A. Harrison misses free throw 1 of 1,,46,22
150,2,8:08.0,,Defensive rebound by W. Cauley-Stein,46,22
151,2,8:02.0,,Sacramento full timeout,46,22
152,2,7:47.0,,S. Labissière makes 2-pt layup from 3 ft,46,24
153,2,7:33.0,Turnover by T. Evans (bad pass; steal by W. Cauley-Stein),,46,24
154,2,7:28.0,,B. Hield misses 3-pt jump shot from 24 ft,46,24
155,2,7:25.0,Defensive rebound by T. Evans,,46,24
156,2,7:09.0,J. Martin misses 2-pt jump shot from 19 ft,,46,24
157,2,7:05.0,,Defensive rebound by W. Cauley-Stein,46,24
158,2,6:51.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),46,26
159,2,6:27.0,T. Evans makes 2-pt layup from 1 ft,,48,26
160,2,6:10.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by G. Hill),48,29
161,2,5:49.0,D. Brooks makes 2-pt layup from 3 ft (assist by J. Martin),,50,29
162,2,5:36.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),50,32
163,2,5:29.0,Memphis full timeout,,50,32
164,2,5:29.0,M. Gasol enters the game for A. Harrison,,50,32
165,2,5:29.0,K. Simmons enters the game for D. Davis,,50,32
166,2,5:16.0,T. Evans makes 2-pt jump shot from 19 ft,,52,32
167,2,4:56.0,,Personal foul by J. Martin (drawn by W. Cauley-Stein),52,32
168,2,4:56.0,,Z. Randolph enters the game for S. Labissière,52,32
169,2,4:56.0,B. Wright enters the game for J. Martin,,52,32
170,2,4:50.0,,G. Hill makes 2-pt jump shot from 21 ft,52,34
171,2,4:29.0,M. Gasol misses 2-pt jump shot from 19 ft,,52,34
172,2,4:25.0,,Defensive rebound by W. Cauley-Stein,52,34
173,2,4:13.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,52,36
174,2,3:53.0,K. Simmons misses 3-pt jump shot from 25 ft,,52,36
175,2,3:49.0,,Defensive rebound by B. Bogdanović,52,36
176,2,3:42.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),52,38
177,2,3:20.0,T. Evans makes 2-pt jump shot from 20 ft,,54,38
178,2,3:00.0,,B. Hield misses 3-pt jump shot from 25 ft,54,38
179,2,2:56.0,Defensive rebound by D. Brooks,,54,38
180,2,2:41.0,T. Evans misses 2-pt jump shot from 22 ft,,54,38
181,2,2:39.0,Offensive rebound by B. Wright,,54,38
182,2,2:28.0,Turnover by K. Simmons (bad pass; steal by Z. Randolph),,54,38
183,2,2:25.0,,G. Hill makes 2-pt dunk at rim,54,40
184,2,2:00.0,M. Gasol makes 2-pt jump shot from 20 ft,,56,40
185,2,1:51.0,,Shooting foul by M. Gasol (drawn by Z. Randolph),56,40
186,2,1:51.0,,Z. Randolph misses free throw 1 of 2,56,40
