,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by S. Curry),0,2
1,1,11:29.0,B. Beal makes 2-pt jump shot from 6 ft,,2,2
2,1,11:13.0,,K. Thompson makes 2-pt layup from 4 ft (assist by D. Green),2,4
3,1,10:54.0,M. Gortat makes 2-pt jump shot from 15 ft,,4,4
4,1,10:49.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,4,4
5,1,10:43.0,Defensive rebound by O. Porter,,4,4
6,1,10:41.0,O. Porter misses 3-pt jump shot from 26 ft (block by D. Green),,4,4
7,1,10:32.0,Offensive rebound by O. Porter,,4,4
8,1,10:31.0,O. Porter makes 2-pt jump shot from 13 ft,,6,4
9,1,10:23.0,,Turnover by D. Green (bad pass; steal by K. Oubre),6,4
10,1,10:16.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,8,4
11,1,10:08.0,,Turnover by K. Durant (bad pass; steal by O. Porter),8,4
12,1,10:02.0,B. Beal misses 3-pt jump shot from 23 ft,,8,4
13,1,9:58.0,,Defensive rebound by K. Durant,8,4
14,1,9:49.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by K. Durant),8,6
15,1,9:34.0,M. Gortat misses 2-pt layup from 2 ft,,8,6
16,1,9:30.0,,Defensive rebound by Z. Pachulia,8,6
17,1,9:30.0,,D. Green makes 2-pt dunk from 1 ft,8,8
18,1,9:30.0,,Shooting foul by O. Porter (drawn by D. Green),8,8
19,1,9:30.0,,D. Green makes free throw 1 of 1,8,9
20,1,9:18.0,B. Beal misses 2-pt jump shot from 11 ft,,8,9
21,1,9:14.0,,Defensive rebound by Z. Pachulia,8,9
22,1,9:10.0,,D. Green misses 3-pt jump shot from 27 ft,8,9
23,1,9:04.0,Defensive rebound by M. Gortat,,8,9
24,1,8:56.0,M. Gortat misses 2-pt layup from 3 ft (block by D. Green),,8,9
25,1,8:51.0,,Defensive rebound by Z. Pachulia,8,9
26,1,8:48.0,,Turnover by K. Durant (lost ball; steal by K. Oubre),8,9
27,1,8:43.0,O. Porter makes 3-pt jump shot from 26 ft (assist by M. Gortat),,11,9
28,1,8:27.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),11,11
29,1,8:19.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by J. Wall),,14,11
30,1,7:55.0,,S. Curry misses 3-pt jump shot from 25 ft,14,11
31,1,7:49.0,Defensive rebound by K. Oubre,,14,11
32,1,7:41.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,16,11
33,1,7:31.0,,Turnover by D. Green (bad pass),16,11
34,1,7:18.0,J. Wall misses 2-pt layup from 3 ft,,16,11
35,1,7:13.0,,Defensive rebound by S. Curry,16,11
36,1,7:13.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,16,11
37,1,7:08.0,Defensive rebound by O. Porter,,16,11
38,1,6:56.0,B. Beal makes 2-pt jump shot from 4 ft (assist by J. Wall),,18,11
39,1,6:46.0,,S. Curry makes 2-pt jump shot from 12 ft (assist by D. Green),18,13
40,1,6:46.0,,Shooting foul by K. Oubre (drawn by S. Curry),18,13
41,1,6:46.0,,Golden State full timeout,18,13
42,1,6:46.0,,S. Curry makes free throw 1 of 1,18,14
43,1,6:26.0,M. Gortat makes 2-pt hook shot from 2 ft (assist by J. Wall),,20,14
44,1,6:02.0,,Z. Pachulia misses 2-pt layup from 2 ft (block by M. Gortat),20,14
45,1,6:00.0,Defensive rebound by Team,,20,14
46,1,5:51.0,,Offensive charge foul by J. Wall (drawn by S. Curry),20,14
47,1,5:51.0,Turnover by J. Wall (offensive foul),,20,14
48,1,5:51.0,,A. Iguodala enters the game for D. Green,20,14
49,1,5:33.0,,K. Durant misses 2-pt jump shot from 12 ft,20,14
50,1,5:31.0,,Offensive rebound by Z. Pachulia,20,14
51,1,5:28.0,,Z. Pachulia misses 2-pt layup from 1 ft (block by O. Porter),20,14
52,1,5:21.0,Defensive rebound by O. Porter,,20,14
53,1,5:20.0,J. Wall misses 3-pt jump shot from 26 ft,,20,14
54,1,5:20.0,,Turnover by Z. Pachulia (bad pass; steal by J. Wall),20,14
55,1,5:16.0,,Defensive rebound by Z. Pachulia,20,14
56,1,5:15.0,B. Beal misses 3-pt jump shot from 25 ft,,20,14
57,1,5:06.0,,Defensive rebound by Z. Pachulia,20,14
58,1,5:02.0,,S. Curry makes 2-pt layup from 2 ft,20,16
59,1,4:43.0,K. Oubre misses 2-pt jump shot from 11 ft,,20,16
60,1,4:40.0,,Defensive rebound by Z. Pachulia,20,16
61,1,4:38.0,,S. Curry misses 3-pt jump shot from 25 ft,20,16
62,1,4:31.0,Defensive rebound by O. Porter,,20,16
63,1,4:28.0,O. Porter makes 3-pt jump shot from 25 ft,,23,16
64,1,4:19.0,,Golden State full timeout,23,16
65,1,4:19.0,,J. McGee enters the game for K. Thompson,23,16
66,1,4:19.0,,P. McCaw enters the game for Z. Pachulia,23,16
67,1,4:19.0,J. Meeks enters the game for K. Oubre,,23,16
68,1,4:08.0,,P. McCaw misses 3-pt jump shot from 23 ft,23,16
69,1,4:04.0,Defensive rebound by M. Gortat,,23,16
70,1,4:02.0,J. Wall misses 2-pt layup from 2 ft (block by K. Durant),,23,16
71,1,4:02.0,Offensive rebound by Team,,23,16
72,1,3:53.0,J. Wall makes 2-pt dunk at rim (assist by M. Gortat),,25,16
73,1,3:40.0,,K. Durant misses 3-pt jump shot from 27 ft,25,16
74,1,3:36.0,,Offensive rebound by J. McGee,25,16
75,1,3:31.0,,S. Curry makes 2-pt layup from 2 ft (assist by J. McGee),25,18
76,1,3:14.0,O. Porter makes 3-pt jump shot from 22 ft (assist by M. Gortat),,28,18
77,1,3:02.0,,S. Curry makes 2-pt jump shot from 14 ft,28,20
78,1,2:50.0,J. Meeks misses 2-pt jump shot from 18 ft,,28,20
79,1,2:45.0,,Defensive rebound by K. Durant,28,20
80,1,2:41.0,,K. Durant makes 2-pt layup from 1 ft,28,22
81,1,2:22.0,Shooting foul by S. Curry (drawn by J. Wall),,28,22
82,1,2:22.0,J. Wall misses free throw 1 of 2,,28,22
83,1,2:22.0,Offensive rebound by Team,,28,22
84,1,2:22.0,,D. Green enters the game for K. Durant,28,22
85,1,2:22.0,I. Mahinmi enters the game for M. Gortat,,28,22
86,1,2:22.0,M. Scott enters the game for B. Beal,,28,22
87,1,2:22.0,T. Frazier enters the game for O. Porter,,28,22
88,1,2:22.0,J. Wall makes free throw 2 of 2,,29,22
89,1,2:19.0,,Turnover by D. Green (bad pass),29,22
90,1,2:05.0,Turnover by I. Mahinmi (bad pass; steal by J. McGee),,29,22
91,1,2:00.0,,S. Curry misses 3-pt jump shot from 26 ft,29,22
92,1,1:59.0,,J. McGee misses 2-pt layup from 2 ft,29,22
93,1,1:59.0,,Offensive rebound by J. McGee,29,22
94,1,1:55.0,Defensive rebound by Team,,29,22
95,1,1:43.0,Turnover by T. Frazier (bad pass),,29,22
96,1,1:34.0,,P. McCaw makes 2-pt dunk from 1 ft (assist by D. Green),29,24
