,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
0,1,11:41.0,,N. Vučević makes 2-pt hook shot from 8 ft,0,2
1,1,11:23.0,W. Barton makes 2-pt jump shot from 9 ft,,2,2
2,1,11:07.0,,A. Gordon misses 2-pt jump shot from 15 ft,2,2
3,1,11:04.0,Defensive rebound by W. Barton,,2,2
4,1,10:50.0,J. Murray misses 3-pt jump shot from 25 ft,,2,2
5,1,10:46.0,,Defensive rebound by J. Simmons,2,2
6,1,10:34.0,,A. Gordon misses 2-pt layup from 3 ft (block by M. Plumlee),2,2
7,1,10:34.0,,Offensive rebound by A. Gordon,2,2
8,1,10:28.0,,Shooting foul by G. Harris (drawn by E. Payton),2,2
9,1,10:28.0,,E. Payton makes free throw 1 of 2,2,3
10,1,10:28.0,,E. Payton makes free throw 2 of 2,2,4
11,1,10:18.0,Turnover by G. Harris (bad pass),,2,4
12,1,9:54.0,,A. Gordon misses 3-pt jump shot from 25 ft,2,4
13,1,9:52.0,,Offensive rebound by A. Afflalo,2,4
14,1,9:50.0,,A. Afflalo misses 2-pt jump shot from 18 ft,2,4
15,1,9:46.0,Defensive rebound by M. Plumlee,,2,4
16,1,9:42.0,Turnover by W. Barton (lost ball; steal by E. Payton),,2,4
17,1,9:36.0,,Shooting foul by J. Murray (drawn by A. Afflalo),2,4
18,1,9:36.0,,A. Afflalo makes free throw 1 of 2,2,5
19,1,9:36.0,,A. Afflalo makes free throw 2 of 2,2,6
20,1,9:18.0,J. Murray makes 2-pt jump shot from 10 ft (assist by M. Plumlee),,4,6
21,1,9:05.0,,J. Simmons makes 2-pt jump shot from 13 ft (assist by E. Payton),4,8
22,1,8:55.0,Shooting foul by J. Simmons (drawn by W. Barton),,4,8
23,1,8:55.0,W. Barton misses free throw 1 of 2,,4,8
24,1,8:55.0,Offensive rebound by Team,,4,8
25,1,8:55.0,W. Barton makes free throw 2 of 2,,5,8
26,1,8:38.0,,A. Gordon misses 3-pt jump shot from 24 ft,5,8
27,1,8:34.0,Defensive rebound by G. Harris,,5,8
28,1,8:26.0,W. Barton misses 3-pt jump shot from 25 ft,,5,8
29,1,8:22.0,,Defensive rebound by N. Vučević,5,8
30,1,8:18.0,,A. Gordon misses 2-pt jump shot from 20 ft,5,8
31,1,8:15.0,Defensive rebound by M. Plumlee,,5,8
32,1,8:05.0,G. Harris misses 3-pt jump shot from 23 ft,,5,8
33,1,8:01.0,,Defensive rebound by A. Afflalo,5,8
34,1,7:46.0,,J. Simmons makes 3-pt jump shot from 25 ft (assist by N. Vučević),5,11
35,1,7:23.0,Turnover by M. Plumlee (traveling),,5,11
36,1,7:04.0,,Personal foul by M. Plumlee (drawn by J. Simmons),5,11
37,1,6:55.0,,N. Vučević misses 2-pt jump shot from 18 ft,5,11
38,1,6:50.0,,Offensive rebound by A. Afflalo,5,11
39,1,6:42.0,,Turnover by N. Vučević (bad pass),5,11
40,1,6:42.0,,Orlando full timeout,5,11
41,1,6:29.0,G. Harris misses 2-pt jump shot from 9 ft,,5,11
42,1,6:23.0,,Defensive rebound by N. Vučević,5,11
43,1,6:15.0,,E. Payton misses 2-pt jump shot from 18 ft,5,11
44,1,6:12.0,Defensive rebound by W. Chandler,,5,11
45,1,6:05.0,J. Murray misses 2-pt jump shot from 11 ft (block by N. Vučević),,5,11
46,1,6:01.0,,Defensive rebound by N. Vučević,5,11
47,1,5:53.0,,N. Vučević makes 2-pt hook shot from 12 ft,5,13
48,1,5:33.0,G. Harris misses 2-pt jump shot from 22 ft,,5,13
49,1,5:29.0,,Defensive rebound by N. Vučević,5,13
50,1,5:24.0,,N. Vučević misses 3-pt jump shot from 25 ft,5,13
51,1,5:20.0,Defensive rebound by G. Harris,,5,13
52,1,4:59.0,W. Barton makes 2-pt layup from 3 ft,,7,13
53,1,4:50.0,,E. Payton misses 2-pt jump shot from 11 ft,7,13
54,1,4:43.0,,Offensive rebound by N. Vučević,7,13
55,1,4:43.0,,N. Vučević makes 2-pt layup at rim,7,15
56,1,4:38.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),,9,15
57,1,4:20.0,,J. Simmons makes 2-pt jump shot from 12 ft,9,17
58,1,4:19.0,Denver full timeout,,9,17
59,1,4:19.0,,D. Augustin enters the game for E. Payton,9,17
60,1,4:19.0,M. Beasley enters the game for G. Harris,,9,17
61,1,4:02.0,W. Chandler misses 2-pt jump shot from 11 ft,,9,17
62,1,3:57.0,,Defensive rebound by N. Vučević,9,17
63,1,3:51.0,,N. Vučević misses 3-pt jump shot from 25 ft,9,17
64,1,3:48.0,Defensive rebound by W. Chandler,,9,17
65,1,3:37.0,J. Murray misses 2-pt layup from 2 ft (block by N. Vučević),,9,17
66,1,3:37.0,Offensive rebound by Team,,9,17
67,1,3:29.0,J. Murray misses 2-pt jump shot from 20 ft,,9,17
68,1,3:27.0,Offensive rebound by W. Chandler,,9,17
69,1,3:23.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),,12,17
70,1,3:08.0,,J. Simmons makes 2-pt jump shot from 12 ft,12,19
71,1,2:47.0,M. Plumlee misses 2-pt layup from 3 ft,,12,19
72,1,2:46.0,,Defensive rebound by D. Augustin,12,19
73,1,2:46.0,,Personal foul by W. Chandler (drawn by D. Augustin),12,19
74,1,2:46.0,,W. Iwundu enters the game for A. Afflalo,12,19
75,1,2:46.0,,B. Biyombo enters the game for N. Vučević,12,19
76,1,2:46.0,E. Mudiay enters the game for M. Plumlee,,12,19
77,1,2:46.0,K. Faried enters the game for J. Murray,,12,19
78,1,2:34.0,,J. Simmons misses 2-pt jump shot from 11 ft,12,19
79,1,2:32.0,,Offensive rebound by Team,12,19
80,1,2:24.0,,J. Simmons misses 2-pt jump shot from 16 ft,12,19
81,1,2:18.0,,Offensive rebound by A. Gordon,12,19
82,1,2:18.0,,A. Gordon makes 2-pt layup at rim,12,21
83,1,2:13.0,W. Barton misses 3-pt jump shot from 25 ft,,12,21
84,1,2:09.0,,Defensive rebound by W. Iwundu,12,21
85,1,2:02.0,,B. Biyombo misses 2-pt layup from 2 ft,12,21
86,1,1:57.0,Defensive rebound by E. Mudiay,,12,21
87,1,1:55.0,K. Faried makes 2-pt layup from 1 ft (assist by W. Barton),,14,21
88,1,1:37.0,,Turnover by J. Simmons (bad pass),14,21
89,1,1:37.0,,M. Speights enters the game for A. Gordon,14,21
90,1,1:37.0,T. Lyles enters the game for W. Chandler,,14,21
91,1,1:22.0,T. Lyles misses 2-pt jump shot from 13 ft,,14,21
92,1,1:19.0,Offensive rebound by K. Faried,,14,21
93,1,1:09.0,Personal foul by M. Speights (drawn by E. Mudiay),,14,21
94,1,1:04.0,E. Mudiay misses 3-pt jump shot from 25 ft,,14,21
95,1,1:01.0,,Defensive rebound by W. Iwundu,14,21
96,1,0:49.0,,Personal foul by W. Barton (drawn by D. Augustin),14,21
97,1,0:49.0,,D. Augustin makes free throw 1 of 2,14,22
98,1,0:49.0,G. Harris enters the game for W. Barton,,14,22
99,1,0:49.0,,D. Augustin makes free throw 2 of 2,14,23
100,1,0:30.0,,Offensive charge foul by G. Harris (drawn by M. Speights),14,23
101,1,0:30.0,Turnover by G. Harris (offensive foul),,14,23
102,1,0:30.0,W. Barton enters the game for G. Harris,,14,23
103,1,0:17.0,,J. Simmons makes 2-pt layup from 2 ft,14,25
104,1,0:00.0,T. Lyles misses 3-pt jump shot from 27 ft,,14,25
105,1,0:00.0,Offensive rebound by Team,,14,25
106,2,11:48.0,T. Lyles misses 3-pt jump shot from 26 ft,,14,25
107,2,11:44.0,,Defensive rebound by B. Biyombo,14,25
108,2,11:27.0,,B. Biyombo makes 2-pt layup from 3 ft (assist by M. Speights),14,27
109,2,11:13.0,M. Beasley makes 2-pt jump shot from 15 ft,,16,27
110,2,10:56.0,,D. Augustin makes 2-pt jump shot from 18 ft (assist by B. Biyombo),16,29
111,2,10:43.0,Shooting foul by M. Speights (drawn by T. Lyles),,16,29
112,2,10:43.0,T. Lyles makes free throw 1 of 2,,17,29
113,2,10:43.0,T. Lyles makes free throw 2 of 2,,18,29
114,2,10:27.0,,M. Speights misses 2-pt hook shot from 8 ft,18,29
115,2,10:23.0,Defensive rebound by T. Lyles,,18,29
116,2,10:16.0,T. Lyles misses 3-pt jump shot from 24 ft,,18,29
117,2,10:13.0,,Defensive rebound by B. Biyombo,18,29
118,2,10:09.0,,Orlando full timeout,18,29
119,2,10:08.0,,Turnover by M. Speights (bad pass),18,29
120,2,9:45.0,E. Mudiay makes 2-pt jump shot from 14 ft,,20,29
121,2,9:27.0,,D. Augustin misses 3-pt jump shot from 27 ft,20,29
122,2,9:24.0,Defensive rebound by K. Faried,,20,29
123,2,9:13.0,M. Beasley makes 2-pt jump shot from 20 ft (assist by W. Barton),,22,29
124,2,9:00.0,,Shooting foul by E. Mudiay (drawn by B. Biyombo),22,29
125,2,9:00.0,,B. Biyombo makes free throw 1 of 2,22,30
126,2,9:00.0,,B. Biyombo makes free throw 2 of 2,22,31
127,2,8:44.0,E. Mudiay makes 2-pt layup from 3 ft,,24,31
128,2,8:24.0,,M. Speights misses 2-pt jump shot from 15 ft,24,31
129,2,8:21.0,Defensive rebound by W. Barton,,24,31
130,2,8:16.0,W. Barton makes 2-pt layup from 4 ft,,26,31
131,2,8:03.0,,E. Payton makes 3-pt jump shot from 23 ft (assist by M. Speights),26,34
132,2,7:51.0,K. Faried makes 2-pt layup from 6 ft (assist by E. Mudiay),,28,34
133,2,7:51.0,Shooting foul by W. Iwundu (drawn by K. Faried),,28,34
134,2,7:51.0,K. Faried makes free throw 1 of 1,,29,34
135,2,7:41.0,,M. Speights misses 3-pt jump shot from 26 ft,29,34
136,2,7:37.0,Defensive rebound by M. Beasley,,29,34
137,2,7:32.0,W. Barton misses 2-pt layup from 3 ft (block by B. Biyombo),,29,34
138,2,7:28.0,,Defensive rebound by W. Iwundu,29,34
139,2,7:25.0,,D. Augustin misses 3-pt jump shot from 24 ft,29,34
140,2,7:21.0,Defensive rebound by M. Beasley,,29,34
141,2,7:21.0,Turnover by M. Beasley (bad pass),,29,34
142,2,7:21.0,,A. Gordon enters the game for M. Speights,29,34
143,2,7:21.0,,N. Vučević enters the game for B. Biyombo,29,34
144,2,7:07.0,,Shooting foul by T. Lyles (drawn by A. Gordon),29,34
145,2,7:07.0,,A. Gordon misses free throw 1 of 2,29,34
146,2,7:07.0,,Offensive rebound by Team,29,34
147,2,7:07.0,,A. Gordon makes free throw 2 of 2,29,35
148,2,6:57.0,M. Beasley makes 2-pt jump shot from 12 ft,,31,35
149,2,6:43.0,,E. Payton misses 2-pt jump shot from 11 ft,31,35
150,2,6:41.0,Defensive rebound by W. Barton,,31,35
151,2,6:31.0,T. Lyles misses 2-pt hook shot from 6 ft,,31,35
152,2,6:31.0,,Defensive rebound by N. Vučević,31,35
153,2,6:26.0,,Turnover by N. Vučević (bad pass; steal by E. Mudiay),31,35
154,2,6:25.0,W. Barton makes 2-pt dunk from 1 ft (assist by E. Mudiay),,33,35
155,2,6:25.0,,Orlando full timeout,33,35
156,2,6:25.0,,J. Simmons enters the game for E. Payton,33,35
157,2,6:25.0,,A. Afflalo enters the game for W. Iwundu,33,35
158,2,6:10.0,,D. Augustin misses 3-pt jump shot from 22 ft,33,35
159,2,6:06.0,Defensive rebound by E. Mudiay,,33,35
160,2,6:03.0,E. Mudiay misses 2-pt layup from 3 ft,,33,35
161,2,6:00.0,,Defensive rebound by A. Afflalo,33,35
162,2,5:57.0,,D. Augustin misses 2-pt layup from 2 ft,33,35
163,2,5:57.0,Defensive rebound by K. Faried,,33,35
164,2,5:45.0,E. Mudiay misses 3-pt jump shot from 24 ft,,33,35
165,2,5:45.0,,Defensive rebound by Team,33,35
166,2,5:45.0,Loose ball foul by K. Faried (drawn by J. Simmons),,33,35
167,2,5:45.0,,E. Payton enters the game for D. Augustin,33,35
168,2,5:36.0,,A. Gordon makes 2-pt layup from 2 ft (assist by E. Payton),33,37
169,2,5:36.0,,Shooting foul by K. Faried (drawn by A. Gordon),33,37
170,2,5:36.0,,A. Gordon makes free throw 1 of 1,33,38
171,2,5:17.0,M. Beasley makes 3-pt jump shot from 25 ft,,36,38
172,2,4:56.0,,J. Simmons makes 2-pt layup from 6 ft,36,40
173,2,4:56.0,,Shooting foul by E. Mudiay (drawn by J. Simmons),36,40
174,2,4:56.0,,J. Simmons makes free throw 1 of 1,36,41
175,2,4:40.0,Personal foul by J. Simmons (drawn by K. Faried),,36,41
176,2,4:26.0,E. Mudiay misses 2-pt jump shot from 19 ft,,36,41
177,2,4:23.0,Offensive rebound by K. Faried,,36,41
178,2,4:22.0,K. Faried makes 2-pt layup from 2 ft,,38,41
179,2,4:08.0,,A. Afflalo misses 2-pt jump shot from 20 ft,38,41
180,2,4:00.0,,Offensive rebound by N. Vučević,38,41
181,2,4:00.0,,N. Vučević makes 2-pt layup at rim,38,43
182,2,3:47.0,E. Mudiay makes 2-pt layup from 2 ft,,40,43
183,2,3:28.0,,A. Gordon misses 2-pt jump shot from 9 ft,40,43
184,2,3:26.0,Defensive rebound by W. Barton,,40,43
185,2,3:19.0,T. Lyles misses 2-pt layup from 4 ft,,40,43
186,2,3:17.0,,Defensive rebound by N. Vučević,40,43
187,2,3:15.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Payton),40,45
188,2,2:52.0,K. Faried makes 2-pt jump shot from 21 ft,,42,45
189,2,2:29.0,,A. Afflalo misses 2-pt layup from 3 ft,42,45
190,2,2:26.0,Defensive rebound by K. Faried,,42,45
191,2,2:22.0,Turnover by K. Faried (bad pass; steal by N. Vučević),,42,45
192,2,2:17.0,,N. Vučević misses 2-pt hook shot from 5 ft,42,45
193,2,2:14.0,Defensive rebound by T. Lyles,,42,45
194,2,2:01.0,M. Beasley misses 3-pt jump shot from 23 ft,,42,45
195,2,1:56.0,,Defensive rebound by N. Vučević,42,45
196,2,1:46.0,,J. Simmons misses 2-pt jump shot from 15 ft,42,45
197,2,1:43.0,Defensive rebound by M. Beasley,,42,45
198,2,1:39.0,E. Mudiay makes 3-pt jump shot from 24 ft (assist by M. Beasley),,45,45
199,2,1:16.0,,J. Simmons makes 2-pt layup from 2 ft (assist by N. Vučević),45,47
200,2,0:56.0,W. Barton misses 2-pt jump shot from 7 ft,,45,47
201,2,0:54.0,,Defensive rebound by N. Vučević,45,47
202,2,0:49.0,,E. Payton misses 2-pt layup from 2 ft,45,47
203,2,0:47.0,Defensive rebound by E. Mudiay,,45,47
204,2,0:42.0,K. Faried makes 2-pt layup from 1 ft (assist by W. Barton),,47,47
205,2,0:36.0,,Turnover by J. Simmons (lost ball; steal by W. Barton),47,47
206,2,0:31.0,W. Barton misses 2-pt layup from 2 ft (block by J. Simmons),,47,47
207,2,0:31.0,,Defensive rebound by Team,47,47
208,2,0:31.0,,D. Augustin enters the game for J. Simmons,47,47
209,2,0:31.0,W. Chandler enters the game for T. Lyles,,47,47
210,2,0:18.0,,Shooting foul by M. Beasley (drawn by E. Payton),47,47
211,2,0:18.0,,E. Payton misses free throw 1 of 2,47,47
212,2,0:18.0,,Offensive rebound by Team,47,47
213,2,0:18.0,,W. Iwundu enters the game for D. Augustin,47,47
214,2,0:18.0,,E. Payton makes free throw 2 of 2,47,48
215,2,0:02.0,E. Mudiay makes 2-pt layup from 2 ft,,49,48
216,3,11:45.0,G. Harris makes 2-pt layup from 3 ft (assist by W. Barton),,51,48
217,3,11:22.0,,E. Payton makes 3-pt jump shot from 24 ft (assist by A. Gordon),51,51
218,3,11:06.0,Shooting foul by N. Vučević (drawn by G. Harris),,51,51
219,3,11:06.0,G. Harris makes free throw 1 of 2,,52,51
220,3,11:06.0,G. Harris makes free throw 2 of 2,,53,51
221,3,10:52.0,,A. Gordon makes 2-pt jump shot from 14 ft,53,53
222,3,10:34.0,W. Barton misses 3-pt jump shot from 25 ft,,53,53
223,3,10:30.0,,Defensive rebound by A. Gordon,53,53
224,3,10:23.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by A. Gordon),53,56
225,3,10:04.0,W. Chandler makes 2-pt layup from 2 ft,,55,56
226,3,9:53.0,,A. Afflalo makes 2-pt layup from 2 ft (assist by E. Payton),55,58
227,3,9:37.0,W. Chandler makes 2-pt layup from 2 ft,,57,58
228,3,9:17.0,,J. Simmons misses 2-pt jump shot from 5 ft (block by W. Barton),57,58
229,3,9:14.0,,Offensive rebound by J. Simmons,57,58
230,3,9:13.0,,N. Vučević misses 2-pt jump shot from 6 ft,57,58
231,3,9:13.0,Defensive rebound by G. Harris,,57,58
232,3,9:10.0,J. Murray misses 2-pt layup from 2 ft (block by A. Afflalo),,57,58
233,3,9:10.0,Offensive rebound by Team,,57,58
234,3,9:06.0,M. Plumlee makes 2-pt jump shot from 13 ft (assist by G. Harris),,59,58
235,3,8:55.0,,E. Payton makes 2-pt layup from 2 ft,59,60
236,3,8:55.0,Violation by M. Plumlee (def goaltending),,59,60
237,3,8:41.0,G. Harris makes 2-pt dunk from 2 ft (assist by M. Plumlee),,61,60
238,3,8:30.0,,N. Vučević misses 2-pt jump shot from 19 ft,61,60
239,3,8:27.0,,Offensive rebound by J. Simmons,61,60
240,3,8:15.0,,E. Payton misses 3-pt jump shot from 25 ft,61,60
241,3,8:13.0,Defensive rebound by J. Murray,,61,60
242,3,8:03.0,G. Harris makes 2-pt jump shot from 17 ft,,63,60
243,3,7:40.0,,N. Vučević makes 2-pt hook shot from 6 ft,63,62
244,3,7:27.0,G. Harris makes 2-pt jump shot from 15 ft,,65,62
245,3,7:26.0,,Orlando full timeout,65,62
246,3,7:06.0,,J. Simmons misses 2-pt jump shot from 8 ft,65,62
247,3,7:03.0,Defensive rebound by M. Plumlee,,65,62
248,3,6:55.0,Turnover by M. Plumlee (turnover),,65,62
249,3,6:44.0,Offensive charge foul by J. Simmons (drawn by M. Plumlee),,65,62
250,3,6:44.0,,Turnover by J. Simmons (offensive foul),65,62
251,3,6:34.0,W. Barton makes 2-pt layup from 2 ft,,67,62
252,3,6:15.0,,Personal foul by W. Chandler (drawn by A. Gordon),67,62
253,3,6:01.0,,A. Gordon misses 3-pt jump shot from 25 ft,67,62
254,3,6:00.0,,Offensive rebound by Team,67,62
255,3,6:00.0,,Turnover by Team (shot clock),67,62
256,3,5:41.0,M. Plumlee makes 2-pt hook shot from 3 ft (assist by J. Murray),,69,62
257,3,5:21.0,,Turnover by N. Vučević (bad pass; steal by W. Barton),69,62
258,3,5:13.0,W. Barton misses 2-pt layup from 2 ft,,69,62
259,3,5:10.0,,Defensive rebound by N. Vučević,69,62
260,3,5:09.0,Offensive charge foul by E. Payton (drawn by G. Harris),,69,62
261,3,5:09.0,,Turnover by E. Payton (offensive foul),69,62
262,3,5:09.0,,D. Augustin enters the game for J. Simmons,69,62
263,3,4:58.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by W. Barton),,72,62
264,3,4:42.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by E. Payton),72,64
265,3,4:36.0,W. Barton makes 2-pt layup from 2 ft,,74,64
266,3,4:36.0,Shooting foul by E. Payton (drawn by W. Barton),,74,64
267,3,4:36.0,,W. Iwundu enters the game for A. Afflalo,74,64
268,3,4:36.0,E. Mudiay enters the game for J. Murray,,74,64
269,3,4:36.0,W. Barton makes free throw 1 of 1,,75,64
270,3,4:18.0,M. Beasley enters the game for W. Barton,,75,64
271,3,4:14.0,,N. Vučević misses 3-pt jump shot from 26 ft (block by M. Plumlee),75,64
272,3,4:09.0,,Offensive rebound by N. Vučević,75,64
273,3,4:09.0,,N. Vučević misses 3-pt jump shot from 26 ft (block by M. Plumlee),75,64
274,3,4:09.0,Defensive rebound by M. Plumlee,,75,64
275,3,3:49.0,M. Beasley misses 2-pt jump shot from 12 ft,,75,64
276,3,3:46.0,,Defensive rebound by N. Vučević,75,64
277,3,3:40.0,,B. Biyombo enters the game for N. Vučević,75,64
278,3,3:28.0,,Turnover by A. Gordon (bad pass; steal by E. Mudiay),75,64
279,3,3:25.0,Turnover by E. Mudiay (bad pass),,75,64
280,3,3:25.0,K. Faried enters the game for M. Plumlee,,75,64
281,3,3:13.0,,W. Iwundu misses 3-pt jump shot from 23 ft,75,64
