,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by M. Teodosić),0,3
1,1,11:23.0,Z. LaVine misses 2-pt jump shot from 20 ft,,0,3
2,1,11:19.0,,Defensive rebound by T. Harris,0,3
3,1,11:13.0,,A. Bradley misses 2-pt jump shot from 14 ft,0,3
4,1,11:11.0,Defensive rebound by P. Zipser,,0,3
5,1,10:48.0,R. Lopez misses 2-pt jump shot from 21 ft,,0,3
6,1,10:47.0,,Defensive rebound by T. Harris,0,3
7,1,10:25.0,,T. Harris misses 3-pt jump shot from 24 ft,0,3
8,1,10:23.0,Defensive rebound by P. Zipser,,0,3
9,1,10:05.0,J. Holiday misses 3-pt jump shot from 22 ft,,0,3
10,1,10:02.0,,Defensive rebound by D. Jordan,0,3
11,1,9:48.0,,Turnover by D. Jordan (lost ball; steal by R. Lopez),0,3
12,1,9:44.0,J. Grant misses 2-pt layup from 2 ft (block by D. Gallinari),,0,3
13,1,9:44.0,Offensive rebound by Team,,0,3
14,1,9:38.0,R. Lopez misses 2-pt hook shot from 6 ft,,0,3
15,1,9:35.0,,Defensive rebound by D. Gallinari,0,3
16,1,9:30.0,,Personal foul by Z. LaVine (drawn by D. Jordan),0,3
17,1,9:22.0,,D. Gallinari makes 2-pt jump shot from 16 ft,0,5
18,1,9:08.0,J. Holiday misses 2-pt jump shot from 17 ft,,0,5
19,1,9:04.0,Offensive rebound by R. Lopez,,0,5
20,1,9:03.0,Turnover by P. Zipser (bad pass),,0,5
21,1,8:49.0,,T. Harris misses 2-pt jump shot from 14 ft,0,5
22,1,8:43.0,,Offensive rebound by D. Jordan,0,5
23,1,8:43.0,,D. Jordan misses 2-pt layup at rim,0,5
24,1,8:40.0,Defensive rebound by J. Grant,,0,5
25,1,8:38.0,Z. LaVine misses 2-pt jump shot from 14 ft,,0,5
26,1,8:38.0,,Defensive rebound by D. Jordan,0,5
27,1,8:31.0,,D. Gallinari misses 3-pt jump shot from 26 ft,0,5
28,1,8:31.0,,Offensive rebound by Team,0,5
29,1,8:25.0,,D. Gallinari misses 2-pt jump shot from 14 ft,0,5
30,1,8:22.0,Defensive rebound by J. Holiday,,0,5
31,1,8:18.0,Turnover by J. Holiday (bad pass),,0,5
32,1,8:08.0,,A. Bradley makes 2-pt jump shot from 16 ft (assist by M. Teodosić),0,7
33,1,7:56.0,J. Grant makes 3-pt jump shot from 25 ft,,3,7
