,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,D. Green makes 3-pt jump shot from 25 ft (assist by J. Bell),0,3
1,1,11:21.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by G. Harris),,2,3
2,1,10:55.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,3
3,1,10:51.0,Defensive rebound by W. Chandler,,2,3
4,1,10:45.0,N. Jokić misses 3-pt jump shot from 25 ft,,2,3
5,1,10:44.0,,Defensive rebound by Team,2,3
6,1,10:44.0,Loose ball foul by J. Murray (drawn by D. Green),,2,3
7,1,10:34.0,,K. Thompson misses 3-pt jump shot from 27 ft,2,3
8,1,10:32.0,Defensive rebound by M. Plumlee,,2,3
9,1,10:25.0,N. Jokić misses 2-pt hook shot from 7 ft,,2,3
10,1,10:23.0,,Defensive rebound by P. McCaw,2,3
11,1,10:17.0,,K. Durant misses 2-pt jump shot from 17 ft,2,3
12,1,10:15.0,Defensive rebound by W. Chandler,,2,3
13,1,9:56.0,G. Harris misses 3-pt jump shot from 25 ft,,2,3
14,1,9:53.0,,Defensive rebound by J. Bell,2,3
15,1,9:47.0,,Turnover by J. Bell (traveling),2,3
16,1,9:47.0,Denver full timeout,,2,3
17,1,9:35.0,J. Murray makes 2-pt jump shot from 19 ft (assist by M. Plumlee),,4,3
18,1,9:15.0,,Turnover by K. Durant (lost ball; steal by J. Murray),4,3
19,1,9:09.0,W. Chandler misses 2-pt layup from 1 ft (block by D. Green),,4,3
20,1,9:08.0,,Defensive rebound by Team,4,3
21,1,9:08.0,Loose ball foul by W. Chandler (drawn by D. Green),,4,3
22,1,8:53.0,,K. Thompson misses 2-pt jump shot from 13 ft,4,3
23,1,8:50.0,Defensive rebound by J. Murray,,4,3
24,1,8:34.0,W. Chandler makes 3-pt jump shot from 26 ft,,7,3
25,1,8:13.0,,D. Green misses 3-pt jump shot from 22 ft,7,3
26,1,8:10.0,Defensive rebound by J. Murray,,7,3
27,1,8:02.0,Turnover by M. Plumlee (bad pass; steal by K. Thompson),,7,3
28,1,7:57.0,,K. Durant misses 3-pt jump shot from 26 ft,7,3
29,1,7:53.0,Defensive rebound by J. Murray,,7,3
30,1,7:48.0,W. Chandler misses 3-pt jump shot from 22 ft,,7,3
31,1,7:42.0,,Defensive rebound by D. Green,7,3
32,1,7:36.0,,K. Durant misses 2-pt jump shot from 14 ft,7,3
33,1,7:32.0,Defensive rebound by W. Chandler,,7,3
34,1,7:26.0,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),,9,3
35,1,7:16.0,,Golden State full timeout,9,3
