,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,D. Gallinari makes 2-pt jump shot from 13 ft,0,2
1,1,11:25.0,D. Smith misses 2-pt dunk from 1 ft,,0,2
2,1,11:21.0,,Defensive rebound by D. Gallinari,0,2
3,1,11:11.0,,M. Teodosić makes 3-pt jump shot from 24 ft (assist by D. Gallinari),0,5
4,1,10:57.0,D. Smith makes 2-pt layup from 1 ft,,2,5
5,1,10:46.0,,M. Teodosić misses 3-pt jump shot from 26 ft,2,5
6,1,10:43.0,Defensive rebound by Y. Ferrell,,2,5
7,1,10:27.0,Turnover by W. Matthews (bad pass; steal by A. Bradley),,2,5
8,1,10:22.0,,A. Bradley makes 2-pt jump shot from 22 ft,2,7
9,1,9:59.0,Y. Ferrell makes 2-pt jump shot from 16 ft (assist by D. Powell),,4,7
10,1,9:55.0,Violation by D. Nowitzki (kicked ball),,4,7
11,1,9:45.0,,D. Jordan misses 2-pt hook shot from 6 ft,4,7
12,1,9:42.0,Defensive rebound by D. Powell,,4,7
13,1,9:31.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,4,7
14,1,9:28.0,,Defensive rebound by D. Jordan,4,7
15,1,9:21.0,,T. Harris makes 2-pt jump shot from 11 ft,4,9
16,1,9:03.0,W. Matthews misses 2-pt jump shot from 16 ft,,4,9
17,1,9:01.0,,Defensive rebound by D. Jordan,4,9
18,1,8:52.0,,T. Harris makes 2-pt jump shot from 8 ft (assist by A. Bradley),4,11
19,1,8:52.0,Dallas full timeout,,4,11
20,1,8:35.0,W. Matthews misses 2-pt jump shot from 13 ft,,4,11
21,1,8:32.0,,Defensive rebound by D. Jordan,4,11
22,1,8:22.0,,A. Bradley misses 3-pt jump shot from 23 ft,4,11
23,1,8:19.0,Defensive rebound by D. Nowitzki,,4,11
24,1,8:01.0,Y. Ferrell makes 2-pt jump shot from 13 ft (assist by W. Matthews),,6,11
25,1,7:46.0,,D. Gallinari makes 2-pt dunk at rim (assist by M. Teodosić),6,13
26,1,7:31.0,Y. Ferrell makes 2-pt layup from 2 ft,,8,13
27,1,7:22.0,,A. Bradley makes 2-pt layup from 1 ft (assist by M. Teodosić),8,15
28,1,7:11.0,D. Smith misses 2-pt jump shot from 8 ft,,8,15
29,1,7:09.0,,Defensive rebound by D. Jordan,8,15
30,1,7:09.0,,Personal foul by D. Nowitzki (drawn by M. Teodosić),8,15
31,1,7:09.0,S. Mejri enters the game for D. Nowitzki,,8,15
32,1,7:09.0,M. Kleber enters the game for D. Powell,,8,15
33,1,6:59.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by T. Harris),8,17
34,1,6:41.0,Turnover by D. Smith (lost ball; steal by A. Bradley),,8,17
35,1,6:32.0,,Turnover by D. Jordan (bad pass),8,17
36,1,6:21.0,D. Smith makes 3-pt jump shot from 25 ft (assist by W. Matthews),,11,17
37,1,6:02.0,,T. Harris misses 3-pt jump shot from 23 ft,11,17
38,1,5:57.0,,Offensive rebound by M. Teodosić,11,17
39,1,5:53.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by M. Teodosić),11,20
40,1,5:35.0,Offensive foul by D. Smith (drawn by A. Bradley),,11,20
41,1,5:35.0,Turnover by D. Smith (offensive foul),,11,20
42,1,5:35.0,,LA Clippers full timeout,11,20
43,1,5:35.0,,L. Williams enters the game for A. Bradley,11,20
44,1,5:35.0,J. Barea enters the game for D. Smith,,11,20
45,1,5:20.0,,D. Jordan misses 2-pt hook shot from 3 ft,11,20
46,1,5:17.0,Defensive rebound by S. Mejri,,11,20
47,1,5:05.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,14,20
48,1,4:54.0,,D. Jordan misses 2-pt dunk at rim,14,20
49,1,4:54.0,Defensive rebound by Team,,14,20
50,1,4:54.0,,T. Wallace enters the game for M. Teodosić,14,20
51,1,4:38.0,S. Mejri makes 2-pt dunk from 1 ft (assist by J. Barea),,16,20
52,1,4:14.0,,D. Gallinari misses 3-pt jump shot from 24 ft,16,20
53,1,4:14.0,,Offensive rebound by Team,16,20
54,1,4:14.0,Loose ball foul by S. Mejri (drawn by D. Jordan),,16,20
55,1,4:14.0,,W. Johnson enters the game for D. Gallinari,16,20
56,1,4:14.0,D. Harris enters the game for Y. Ferrell,,16,20
57,1,4:07.0,,T. Harris misses 3-pt jump shot from 24 ft,16,20
58,1,4:03.0,Defensive rebound by W. Matthews,,16,20
59,1,3:55.0,J. Barea makes 2-pt jump shot from 8 ft,,18,20
60,1,3:45.0,,T. Harris misses 2-pt jump shot from 16 ft,18,20
61,1,3:42.0,Defensive rebound by S. Mejri,,18,20
62,1,3:36.0,Shooting foul by T. Wallace (drawn by J. Barea),,18,20
63,1,3:36.0,J. Barea makes free throw 1 of 2,,19,20
64,1,3:36.0,J. Barea makes free throw 2 of 2,,20,20
65,1,3:27.0,,T. Wallace misses 2-pt layup from 4 ft,20,20
66,1,3:24.0,Defensive rebound by J. Barea,,20,20
67,1,3:12.0,S. Mejri makes 2-pt layup at rim (assist by W. Matthews),,22,20
68,1,2:55.0,,Turnover by T. Wallace (out of bounds lost ball),22,20
69,1,2:36.0,D. Harris makes 3-pt jump shot from 23 ft (assist by M. Kleber),,25,20
70,1,2:27.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Williams),25,22
71,1,2:08.0,S. Mejri misses 2-pt layup from 2 ft (block by D. Jordan),,25,22
72,1,2:05.0,,Defensive rebound by D. Jordan,25,22
73,1,2:01.0,,T. Harris misses 2-pt layup from 2 ft (block by S. Mejri),25,22
74,1,1:57.0,Defensive rebound by D. Harris,,25,22
75,1,1:54.0,J. Barea misses 3-pt jump shot from 25 ft,,25,22
76,1,1:49.0,,Defensive rebound by T. Wallace,25,22
77,1,1:46.0,,T. Harris makes 2-pt layup from 1 ft (assist by T. Wallace),25,24
78,1,1:45.0,,Technical foul by D. Jordan,25,24
79,1,1:45.0,,S. Dekker enters the game for D. Jordan,25,24
80,1,1:45.0,,M. Harrell enters the game for T. Harris,25,24
81,1,1:45.0,D. Nowitzki enters the game for W. Matthews,,25,24
82,1,1:45.0,D. Powell enters the game for M. Kleber,,25,24
83,1,1:45.0,D. Harris makes technical free throw,,26,24
84,1,1:45.0,D. Smith enters the game for S. Mejri,,26,24
85,1,1:30.0,Turnover by J. Barea (bad pass),,26,24
86,1,1:16.0,,T. Wallace misses 2-pt hook shot from 10 ft,26,24
87,1,1:10.0,,Offensive rebound by S. Dekker,26,24
88,1,1:10.0,,S. Dekker misses 2-pt layup at rim,26,24
89,1,1:09.0,Defensive rebound by D. Nowitzki,,26,24
90,1,1:07.0,Turnover by D. Nowitzki (lost ball; steal by M. Harrell),,26,24
91,1,1:06.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by T. Wallace),26,27
92,1,0:46.0,Shooting foul by W. Johnson (drawn by D. Nowitzki),,26,27
93,1,0:46.0,D. Nowitzki makes free throw 1 of 2,,27,27
94,1,0:46.0,D. Nowitzki makes free throw 2 of 2,,28,27
95,1,0:36.0,,S. Dekker makes 2-pt layup from 1 ft (assist by L. Williams),28,29
96,1,0:20.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,28,29
