,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:43.0,D. Lillard makes 2-pt layup from 2 ft,,2,0
1,1,11:30.0,,K. Lowry makes 2-pt jump shot from 9 ft,2,2
2,1,11:11.0,C. McCollum misses 3-pt jump shot from 23 ft,,2,2
3,1,11:09.0,,Defensive rebound by S. Ibaka,2,2
4,1,11:00.0,,K. Lowry misses 2-pt jump shot from 14 ft,2,2
5,1,10:56.0,Defensive rebound by J. Nurkić,,2,2
6,1,10:49.0,D. Lillard makes 3-pt jump shot from 29 ft (assist by J. Nurkić),,5,2
7,1,10:23.0,,J. Valančiūnas makes 3-pt jump shot from 22 ft (assist by K. Lowry),5,5
8,1,10:06.0,E. Turner misses 3-pt jump shot from 26 ft,,5,5
9,1,10:03.0,,Defensive rebound by K. Lowry,5,5
10,1,9:56.0,,D. DeRozan misses 2-pt jump shot from 9 ft,5,5
11,1,9:52.0,Defensive rebound by D. Lillard,,5,5
12,1,9:46.0,C. McCollum misses 3-pt jump shot from 26 ft,,5,5
13,1,9:44.0,Offensive rebound by A. Aminu,,5,5
14,1,9:36.0,J. Nurkić misses 2-pt hook shot from 10 ft,,5,5
15,1,9:33.0,,Defensive rebound by J. Valančiūnas,5,5
16,1,9:31.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),5,7
17,1,9:31.0,,Shooting foul by C. McCollum (drawn by D. DeRozan),5,7
18,1,9:31.0,,D. DeRozan makes free throw 1 of 1,5,8
19,1,9:20.0,D. Lillard makes 2-pt jump shot from 14 ft,,7,8
20,1,9:05.0,,K. Lowry misses 2-pt jump shot from 19 ft,7,8
21,1,9:02.0,Defensive rebound by A. Aminu,,7,8
22,1,8:53.0,C. McCollum misses 2-pt layup from 1 ft,,7,8
23,1,8:52.0,,Defensive rebound by J. Valančiūnas,7,8
24,1,8:46.0,,J. Valančiūnas misses 3-pt jump shot from 24 ft,7,8
25,1,8:42.0,Defensive rebound by J. Nurkić,,7,8
26,1,8:32.0,Shooting foul by S. Ibaka (drawn by D. Lillard),,7,8
27,1,8:32.0,D. Lillard makes free throw 1 of 2,,8,8
28,1,8:32.0,D. Lillard makes free throw 2 of 2,,9,8
29,1,8:19.0,,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),9,10
30,1,8:08.0,E. Turner misses 2-pt jump shot from 13 ft,,9,10
31,1,8:06.0,,Defensive rebound by S. Ibaka,9,10
32,1,7:58.0,,J. Valančiūnas misses 2-pt layup from 1 ft,9,10
33,1,7:56.0,Defensive rebound by J. Nurkić,,9,10
34,1,7:51.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,11,10
35,1,7:25.0,,D. DeRozan makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),11,13
