,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:45.0,Shooting foul by M. Chriss (drawn by K. Porziņģis),,0,0
1,1,11:45.0,K. Porziņģis makes free throw 1 of 2,,1,0
2,1,11:45.0,K. Porziņģis makes free throw 2 of 2,,2,0
3,1,11:32.0,,G. Monroe misses 2-pt layup from 1 ft (block by K. Porziņģis),2,0
4,1,11:29.0,Defensive rebound by K. Porziņģis,,2,0
5,1,11:20.0,E. Freedom makes 2-pt layup from 1 ft,,4,0
6,1,11:20.0,Shooting foul by T. Warren (drawn by E. Freedom),,4,0
7,1,11:20.0,E. Freedom makes free throw 1 of 1,,5,0
8,1,10:58.0,,M. Chriss misses 2-pt layup from 1 ft,5,0
9,1,10:56.0,Defensive rebound by T. Hardaway,,5,0
10,1,10:52.0,E. Freedom makes 2-pt layup at rim (assist by C. Lee),,7,0
11,1,10:32.0,,M. Chriss makes 3-pt jump shot from 22 ft (assist by D. Booker),7,3
12,1,10:19.0,J. Jack makes 2-pt layup at rim,,9,3
13,1,9:58.0,,M. Chriss misses 3-pt jump shot from 26 ft,9,3
14,1,9:55.0,Defensive rebound by J. Jack,,9,3
15,1,9:50.0,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),,11,3
16,1,9:38.0,,T. Daniels misses 3-pt jump shot from 26 ft,11,3
17,1,9:35.0,,Offensive rebound by M. Chriss,11,3
18,1,9:34.0,,M. Chriss misses 2-pt layup at rim,11,3
19,1,9:30.0,,Offensive rebound by D. Booker,11,3
20,1,9:30.0,,D. Booker makes 2-pt layup at rim,11,5
21,1,9:19.0,E. Freedom makes 2-pt layup at rim (assist by J. Jack),,13,5
22,1,9:19.0,Shooting foul by G. Monroe (drawn by E. Freedom),,13,5
23,1,9:19.0,E. Freedom makes free throw 1 of 1,,14,5
24,1,9:08.0,,D. Booker misses 2-pt layup at rim,14,5
25,1,9:06.0,Defensive rebound by K. Porziņģis,,14,5
26,1,9:03.0,Turnover by C. Lee (bad pass),,14,5
27,1,8:41.0,,T. Warren misses 2-pt jump shot from 11 ft,14,5
28,1,8:40.0,,Offensive rebound by Team,14,5
29,1,8:40.0,Loose ball foul by E. Freedom (drawn by G. Monroe),,14,5
30,1,8:36.0,,Turnover by T. Warren (bad pass),14,5
31,1,8:25.0,C. Lee makes 2-pt jump shot from 14 ft (assist by K. Porziņģis),,16,5
32,1,8:16.0,,Phoenix full timeout,16,5
33,1,8:07.0,,T. Warren makes 2-pt jump shot from 12 ft (assist by G. Monroe),16,7
34,1,7:47.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,19,7
35,1,7:25.0,,Turnover by G. Monroe (bad pass; steal by T. Hardaway),19,7
36,1,7:19.0,C. Lee makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,22,7
37,1,7:08.0,,T. Daniels makes 3-pt jump shot from 26 ft,22,10
38,1,6:47.0,C. Lee misses 2-pt jump shot from 5 ft,,22,10
39,1,6:45.0,,Defensive rebound by G. Monroe,22,10
40,1,6:33.0,,T. Warren misses 2-pt jump shot at rim,22,10
41,1,6:32.0,,Offensive rebound by T. Warren,22,10
42,1,6:32.0,,T. Warren misses 2-pt layup at rim,22,10
43,1,6:32.0,Defensive rebound by Team,,22,10
44,1,6:32.0,,D. Bender enters the game for M. Chriss,22,10
45,1,6:23.0,T. Hardaway misses 3-pt jump shot from 25 ft,,22,10
46,1,6:20.0,,Defensive rebound by D. Booker,22,10
47,1,6:19.0,,Personal take foul by J. Jack (drawn by D. Booker),22,10
48,1,6:08.0,,T. Warren makes 2-pt jump shot from 20 ft,22,12
49,1,5:47.0,J. Jack misses 2-pt jump shot from 11 ft,,22,12
50,1,5:42.0,Offensive rebound by E. Freedom,,22,12
51,1,5:42.0,E. Freedom makes 2-pt layup at rim,,24,12
