,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:44.0,B. Ingram makes 2-pt layup at rim,,2,0
1,1,11:24.0,,D. Booker misses 2-pt jump shot from 8 ft,2,0
2,1,11:21.0,Defensive rebound by B. Lopez,,2,0
3,1,11:11.0,B. Ingram makes 2-pt jump shot from 7 ft,,4,0
4,1,10:50.0,,J. Jackson misses 2-pt layup from 1 ft,4,0
5,1,10:50.0,Defensive rebound by Team,,4,0
6,1,10:38.0,B. Lopez makes 2-pt layup at rim,,6,0
7,1,10:38.0,Shooting foul by T. Chandler (drawn by B. Lopez),,6,0
8,1,10:38.0,B. Lopez misses free throw 1 of 1,,6,0
9,1,10:36.0,,Defensive rebound by T. Chandler,6,0
10,1,10:31.0,,E. Bledsoe misses 2-pt layup from 1 ft,6,0
11,1,10:29.0,Defensive rebound by L. Nance,,6,0
12,1,10:24.0,C. Brewer misses 2-pt layup at rim,,6,0
13,1,10:24.0,,Defensive rebound by D. Booker,6,0
14,1,10:17.0,,D. Booker makes 2-pt layup at rim,6,2
15,1,10:02.0,Shooting foul by J. Jackson (drawn by L. Nance),,6,2
16,1,10:02.0,L. Nance makes free throw 1 of 2,,7,2
17,1,10:02.0,L. Nance makes free throw 2 of 2,,8,2
18,1,9:57.0,,Personal block foul by C. Brewer (drawn by E. Bledsoe),8,2
19,1,9:47.0,,Shooting foul by L. Ball (drawn by D. Booker),8,2
20,1,9:47.0,,D. Booker misses free throw 1 of 2,8,2
21,1,9:47.0,,Offensive rebound by Team,8,2
22,1,9:47.0,,D. Booker makes free throw 2 of 2,8,3
23,1,9:37.0,L. Nance misses 2-pt jump shot from 10 ft,,8,3
24,1,9:34.0,,Defensive rebound by T. Warren,8,3
25,1,9:30.0,,T. Chandler makes 2-pt dunk at rim (assist by T. Warren),8,5
26,1,9:19.0,L. Nance makes 2-pt layup at rim (assist by L. Ball),,10,5
27,1,9:14.0,,Shooting foul by L. Nance (drawn by J. Jackson),10,5
28,1,9:14.0,,J. Jackson makes free throw 1 of 2,10,6
