,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:49.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),,2,0
1,1,11:21.0,,B. Beal misses 3-pt jump shot from 22 ft,2,0
2,1,11:18.0,Defensive rebound by B. Simmons,,2,0
3,1,11:15.0,J. Redick misses 3-pt jump shot from 25 ft,,2,0
4,1,11:10.0,,Defensive rebound by M. Gortat,2,0
5,1,10:57.0,,Shooting foul by R. Covington (drawn by M. Morris),2,0
6,1,10:57.0,,M. Morris makes free throw 1 of 2,2,1
7,1,10:57.0,,M. Morris makes free throw 2 of 2,2,2
8,1,10:48.0,Offensive foul by J. Embiid (drawn by T. Satoranský),,2,2
9,1,10:48.0,Turnover by J. Embiid (offensive foul),,2,2
10,1,10:34.0,,Offensive foul by M. Morris (drawn by B. Simmons),2,2
11,1,10:34.0,,Turnover by M. Morris (offensive foul),2,2
12,1,10:19.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Embiid),,5,2
13,1,9:52.0,,B. Beal makes 2-pt layup from 2 ft,5,4
14,1,9:43.0,B. Simmons makes 2-pt dunk at rim,,7,4
15,1,9:29.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by T. Satoranský),7,6
16,1,9:20.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by D. Šarić),,10,6
17,1,9:03.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by T. Satoranský),10,8
18,1,8:44.0,J. Embiid misses 2-pt jump shot from 10 ft,,10,8
19,1,8:42.0,,Defensive rebound by M. Morris,10,8
20,1,8:39.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Satoranský),10,11
21,1,8:29.0,D. Šarić misses 2-pt jump shot from 8 ft,,10,11
22,1,8:28.0,,Defensive rebound by T. Satoranský,10,11
23,1,8:19.0,,M. Gortat misses 2-pt hook shot from 5 ft,10,11
24,1,8:17.0,Defensive rebound by J. Embiid,,10,11
25,1,8:12.0,Personal foul by T. Satoranský (drawn by J. Redick),,10,11
26,1,8:12.0,T. McConnell enters the game for J. Redick,,10,11
27,1,8:04.0,J. Embiid misses 3-pt jump shot from 25 ft,,10,11
28,1,8:01.0,,Defensive rebound by M. Morris,10,11
29,1,7:54.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by B. Beal),10,14
30,1,7:34.0,Def 3 sec tech foul by T. Satoranský,,10,14
31,1,7:34.0,D. Šarić makes technical free throw,,11,14
32,1,7:29.0,D. Šarić makes 2-pt layup from 3 ft (assist by J. Embiid),,13,14
33,1,7:29.0,Shooting foul by M. Morris (drawn by D. Šarić),,13,14
34,1,7:29.0,,K. Oubre enters the game for M. Morris,13,14
35,1,7:29.0,D. Šarić misses free throw 1 of 1,,13,14
36,1,7:28.0,,Defensive rebound by B. Beal,13,14
37,1,7:09.0,,Turnover by T. Satoranský (bad pass; steal by B. Simmons),13,14
38,1,7:04.0,D. Šarić misses 2-pt layup from 1 ft,,13,14
39,1,7:03.0,,Defensive rebound by T. Satoranský,13,14
40,1,6:52.0,,K. Oubre makes 2-pt jump shot from 11 ft (assist by T. Satoranský),13,16
41,1,6:39.0,B. Simmons misses 2-pt jump shot from 7 ft,,13,16
42,1,6:36.0,,Defensive rebound by M. Gortat,13,16
43,1,6:31.0,,Turnover by O. Porter (bad pass; steal by R. Covington),13,16
