,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:43.0,K. Lowry misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Bazemore,0,0
2,1,11:24.0,,Turnover by J. Collins (turnover),0,0
3,1,11:12.0,Turnover by K. Lowry (bad pass),,0,0
4,1,10:51.0,,D. Dedmon misses 2-pt layup from 2 ft,0,0
5,1,10:47.0,Defensive rebound by J. Valančiūnas,,0,0
6,1,10:41.0,S. Ibaka misses 2-pt jump shot from 15 ft,,0,0
7,1,10:38.0,,Defensive rebound by D. Schröder,0,0
8,1,10:24.0,,Personal foul by O. Anunoby (drawn by D. Dedmon),0,0
9,1,10:18.0,,Turnover by K. Bazemore (bad pass; steal by O. Anunoby),0,0
10,1,10:07.0,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,2,0
11,1,9:56.0,,D. Schröder misses 2-pt jump shot from 16 ft,2,0
12,1,9:53.0,Defensive rebound by O. Anunoby,,2,0
13,1,9:48.0,S. Ibaka misses 3-pt jump shot from 25 ft,,2,0
14,1,9:43.0,Offensive rebound by J. Valančiūnas,,2,0
15,1,9:30.0,J. Valančiūnas makes 2-pt layup from 1 ft,,4,0
16,1,9:14.0,,D. Dedmon misses 2-pt jump shot from 12 ft,4,0
17,1,9:11.0,Defensive rebound by K. Lowry,,4,0
18,1,9:02.0,S. Ibaka makes 2-pt jump shot from 13 ft,,6,0
19,1,8:45.0,,Turnover by D. Schröder (lost ball; steal by O. Anunoby),6,0
20,1,8:38.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,,6,0
21,1,8:33.0,,Defensive rebound by D. Schröder,6,0
22,1,8:25.0,,D. Schröder makes 2-pt jump shot from 15 ft,6,2
23,1,8:11.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,9,2
24,1,7:58.0,,D. Dedmon misses 3-pt jump shot from 23 ft,9,2
25,1,7:56.0,,Offensive rebound by Team,9,2
26,1,7:56.0,,T. Prince makes 2-pt layup at rim (assist by K. Bazemore),9,4
27,1,7:56.0,,Shooting foul by D. DeRozan (drawn by T. Prince),9,4
28,1,7:56.0,,T. Prince makes free throw 1 of 1,9,5
29,1,7:39.0,Turnover by J. Valančiūnas (out of bounds lost ball),,9,5
30,1,7:28.0,,K. Bazemore misses 3-pt jump shot from 22 ft,9,5
31,1,7:24.0,Defensive rebound by J. Valančiūnas,,9,5
32,1,7:17.0,Personal foul by D. Schröder (drawn by K. Lowry),,9,5
33,1,7:10.0,,E. İlyasova enters the game for J. Collins,9,5
34,1,7:06.0,S. Ibaka misses 2-pt hook shot from 13 ft,,9,5
35,1,7:03.0,,Defensive rebound by K. Bazemore,9,5
36,1,6:49.0,,Shooting foul by O. Anunoby (drawn by D. Schröder),9,5
37,1,6:49.0,,Atlanta full timeout,9,5
38,1,6:49.0,N. Powell enters the game for O. Anunoby,,9,5
39,1,6:49.0,,D. Schröder makes free throw 1 of 2,9,6
40,1,6:49.0,,D. Schröder makes free throw 2 of 2,9,7
41,1,6:41.0,D. DeRozan misses 3-pt jump shot from 23 ft,,9,7
42,1,6:38.0,,Defensive rebound by D. Schröder,9,7
43,1,6:31.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Schröder),9,9
44,1,6:19.0,S. Ibaka misses 2-pt jump shot from 16 ft,,9,9
45,1,6:19.0,,Defensive rebound by D. Dedmon,9,9
46,1,6:06.0,,T. Prince misses 2-pt jump shot from 16 ft,9,9
47,1,6:04.0,Defensive rebound by K. Lowry,,9,9
48,1,5:58.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by K. Lowry),,11,9
49,1,5:47.0,,Turnover by D. Schröder (bad pass),11,9
50,1,5:47.0,,M. Belinelli enters the game for K. Bazemore,11,9
51,1,5:32.0,Shooting foul by D. Dedmon (drawn by S. Ibaka),,11,9
52,1,5:32.0,S. Ibaka makes free throw 1 of 2,,12,9
53,1,5:32.0,S. Ibaka makes free throw 2 of 2,,13,9
54,1,5:14.0,,M. Belinelli makes 3-pt jump shot from 23 ft (assist by D. Dedmon),13,12
55,1,4:57.0,Offensive foul by J. Valančiūnas (drawn by D. Dedmon),,13,12
56,1,4:57.0,Turnover by J. Valančiūnas (offensive foul),,13,12
57,1,4:45.0,,D. Dedmon misses 2-pt hook shot from 10 ft,13,12
58,1,4:44.0,,Offensive rebound by Team,13,12
59,1,4:44.0,Loose ball foul by K. Lowry (drawn by E. İlyasova),,13,12
60,1,4:40.0,,D. Schröder makes 2-pt jump shot from 17 ft,13,14
61,1,4:22.0,Turnover by J. Valančiūnas (lost ball; steal by D. Schröder),,13,14
62,1,4:11.0,,D. Dedmon makes 2-pt jump shot from 17 ft (assist by M. Belinelli),13,16
63,1,4:02.0,Toronto full timeout,,13,16
64,1,4:02.0,,T. Cavanaugh enters the game for T. Prince,13,16
65,1,4:02.0,,D. Bembry enters the game for D. Dedmon,13,16
66,1,4:02.0,P. Siakam enters the game for S. Ibaka,,13,16
67,1,4:02.0,J. Poeltl enters the game for J. Valančiūnas,,13,16
68,1,3:55.0,Shooting block foul by T. Cavanaugh (drawn by K. Lowry),,13,16
69,1,3:55.0,K. Lowry misses free throw 1 of 2,,13,16
70,1,3:55.0,Offensive rebound by Team,,13,16
71,1,3:55.0,K. Lowry makes free throw 2 of 2,,14,16
72,1,3:32.0,,T. Cavanaugh misses 3-pt jump shot from 24 ft,14,16
73,1,3:30.0,,Offensive rebound by Team,14,16
74,1,3:30.0,,J. Magette enters the game for D. Schröder,14,16
75,1,3:23.0,,M. Belinelli misses 3-pt jump shot from 24 ft,14,16
76,1,3:19.0,Defensive rebound by J. Poeltl,,14,16
77,1,3:05.0,P. Siakam makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,16,16
78,1,2:47.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by J. Magette),16,19
79,1,2:26.0,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Siakam),,18,19
80,1,2:18.0,,Shooting foul by N. Powell (drawn by M. Belinelli),18,19
81,1,2:18.0,,M. Belinelli makes free throw 1 of 2,18,20
82,1,2:18.0,F. VanVleet enters the game for K. Lowry,,18,20
83,1,2:18.0,,M. Belinelli makes free throw 2 of 2,18,21
84,1,1:57.0,N. Powell misses 3-pt jump shot from 24 ft,,18,21
85,1,1:52.0,Offensive rebound by J. Poeltl,,18,21
86,1,1:46.0,Turnover by D. DeRozan (lost ball; steal by J. Magette),,18,21
87,1,1:42.0,,D. Bembry misses 2-pt layup from 1 ft,18,21
88,1,1:38.0,Defensive rebound by D. DeRozan,,18,21
89,1,1:31.0,J. Poeltl makes 2-pt layup from 1 ft (assist by F. VanVleet),,20,21
90,1,1:15.0,Offensive charge foul by T. Cavanaugh (drawn by D. DeRozan),,20,21
91,1,1:15.0,,Turnover by T. Cavanaugh (offensive foul),20,21
92,1,1:15.0,,J. Collins enters the game for E. İlyasova,20,21
93,1,0:59.0,P. Siakam makes 2-pt layup from 1 ft (assist by D. DeRozan),,22,21
94,1,0:44.0,,T. Cavanaugh makes 2-pt layup at rim (assist by D. Bembry),22,23
95,1,0:38.0,F. VanVleet makes 2-pt layup from 1 ft,,24,23
96,1,0:38.0,Shooting foul by J. Magette (drawn by F. VanVleet),,24,23
97,1,0:38.0,F. VanVleet misses free throw 1 of 1,,24,23
98,1,0:35.0,Offensive rebound by J. Poeltl,,24,23
99,1,0:35.0,J. Poeltl makes 2-pt layup at rim,,26,23
100,1,0:27.0,,D. Bembry makes 2-pt layup from 1 ft (assist by J. Magette),26,25
101,1,0:07.0,D. DeRozan makes 2-pt jump shot from 11 ft,,28,25
102,1,0:02.0,,Turnover by J. Magette (bad pass),28,25
103,1,0:00.0,Turnover by D. DeRozan (bad pass; steal by J. Collins),,28,25
104,1,0:00.0,,J. Magette misses 3-pt jump shot from 61 ft,28,25
105,1,0:00.0,,Offensive rebound by Team,28,25
106,2,11:47.0,,M. Belinelli misses 3-pt jump shot from 24 ft,28,25
107,2,11:46.0,Defensive rebound by Team,,28,25
108,2,11:26.0,J. Poeltl misses 2-pt layup from 1 ft (block by D. Bembry),,28,25
109,2,11:19.0,,Defensive rebound by M. Belinelli,28,25
110,2,11:18.0,,D. Bembry makes 2-pt layup from 1 ft (assist by M. Belinelli),28,27
111,2,11:05.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),,31,27
112,2,10:48.0,,Turnover by D. Bembry (lost ball; steal by N. Powell),31,27
113,2,10:47.0,Personal foul by D. Bembry (drawn by N. Powell),,31,27
114,2,10:43.0,N. Powell misses 3-pt jump shot from 24 ft,,31,27
115,2,10:39.0,Offensive rebound by N. Powell,,31,27
116,2,10:37.0,N. Powell misses 2-pt layup from 1 ft,,31,27
117,2,10:37.0,Offensive rebound by J. Poeltl,,31,27
118,2,10:37.0,J. Poeltl misses 2-pt layup from 2 ft,,31,27
119,2,10:36.0,,Defensive rebound by D. Dedmon,31,27
120,2,10:16.0,,J. Collins misses 2-pt jump shot from 9 ft,31,27
121,2,10:13.0,Defensive rebound by J. Poeltl,,31,27
122,2,10:01.0,N. Powell makes 3-pt jump shot from 22 ft (assist by F. VanVleet),,34,27
123,2,9:45.0,,Turnover by D. Bembry (lost ball; steal by N. Powell),34,27
124,2,9:40.0,,K. Bazemore enters the game for M. Belinelli,34,27
125,2,9:31.0,J. Poeltl makes 2-pt layup from 1 ft (assist by F. VanVleet),,36,27
126,2,9:30.0,,Atlanta full timeout,36,27
127,2,9:30.0,,D. Schröder enters the game for J. Magette,36,27
128,2,9:06.0,,Turnover by D. Schröder (bad pass; steal by P. Siakam),36,27
129,2,8:51.0,P. Siakam misses 3-pt jump shot from 22 ft,,36,27
130,2,8:48.0,Offensive rebound by Team,,36,27
131,2,8:42.0,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Siakam),,38,27
132,2,8:21.0,,D. Dedmon makes 3-pt jump shot from 22 ft (assist by D. Bembry),38,30
133,2,8:08.0,N. Powell makes 2-pt layup from 7 ft,,40,30
134,2,7:46.0,,Turnover by D. Bembry (bad pass; steal by P. Siakam),40,30
135,2,7:36.0,N. Powell makes 3-pt jump shot from 24 ft (assist by L. Brown),,43,30
136,2,7:12.0,,J. Collins misses 2-pt hook shot from 9 ft,43,30
137,2,7:11.0,Defensive rebound by Team,,43,30
138,2,7:11.0,,E. İlyasova enters the game for J. Collins,43,30
139,2,7:11.0,,T. Prince enters the game for D. Bembry,43,30
140,2,7:00.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,46,30
141,2,6:43.0,,T. Prince misses 2-pt jump shot from 11 ft,46,30
142,2,6:40.0,Defensive rebound by L. Brown,,46,30
143,2,6:29.0,N. Powell makes 3-pt jump shot from 25 ft (assist by L. Brown),,49,30
144,2,6:27.0,,Atlanta full timeout,49,30
145,2,6:18.0,,Personal foul by F. VanVleet (drawn by D. Schröder),49,30
146,2,6:13.0,,Shooting foul by J. Poeltl (drawn by D. Schröder),49,30
147,2,6:13.0,,D. Schröder makes free throw 1 of 2,49,31
148,2,6:13.0,,D. Schröder makes free throw 2 of 2,49,32
149,2,5:56.0,F. VanVleet misses 3-pt jump shot from 25 ft,,49,32
150,2,5:51.0,,Defensive rebound by K. Bazemore,49,32
151,2,5:41.0,,M. Belinelli enters the game for D. Dedmon,49,32
152,2,5:41.0,K. Lowry enters the game for L. Brown,,49,32
153,2,5:36.0,,E. İlyasova misses 2-pt jump shot from 22 ft,49,32
154,2,5:31.0,Defensive rebound by P. Siakam,,49,32
155,2,5:27.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by N. Powell),,52,32
156,2,5:10.0,,Turnover by D. Schröder (bad pass; steal by F. VanVleet),52,32
157,2,5:05.0,Personal foul by T. Prince (drawn by F. VanVleet),,52,32
158,2,4:59.0,N. Powell makes 2-pt layup from 3 ft,,54,32
159,2,4:47.0,,E. İlyasova misses 3-pt jump shot from 25 ft,54,32
160,2,4:42.0,,Offensive rebound by T. Prince,54,32
161,2,4:38.0,,K. Bazemore misses 3-pt jump shot from 25 ft,54,32
162,2,4:34.0,Defensive rebound by K. Lowry,,54,32
163,2,4:31.0,K. Lowry makes 3-pt jump shot from 25 ft,,57,32
164,2,4:13.0,,D. Schröder misses 2-pt layup from 1 ft,57,32
165,2,4:13.0,Defensive rebound by K. Lowry,,57,32
166,2,4:10.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,59,32
167,2,4:10.0,,Violation by T. Prince (def goaltending),59,32
168,2,3:56.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by T. Prince),59,35
169,2,3:41.0,Personal foul by D. Schröder (drawn by F. VanVleet),,59,35
170,2,3:41.0,,J. Collins enters the game for E. İlyasova,59,35
171,2,3:41.0,D. DeRozan enters the game for F. VanVleet,,59,35
172,2,3:34.0,J. Poeltl makes 2-pt layup from 1 ft,,61,35
173,2,3:25.0,,D. Schröder makes 2-pt layup at rim,61,37
174,2,3:10.0,Turnover by K. Lowry (bad pass; steal by J. Collins),,61,37
175,2,3:09.0,,Personal foul by N. Powell (drawn by D. Schröder),61,37
176,2,3:09.0,,E. İlyasova enters the game for T. Prince,61,37
177,2,3:09.0,O. Anunoby enters the game for N. Powell,,61,37
178,2,3:02.0,,Personal foul by D. DeRozan (drawn by K. Bazemore),61,37
179,2,2:51.0,,E. İlyasova misses 3-pt jump shot from 23 ft,61,37
180,2,2:51.0,,K. Bazemore misses 2-pt layup from 4 ft,61,37
181,2,2:51.0,,Offensive rebound by K. Bazemore,61,37
182,2,2:50.0,Defensive rebound by J. Poeltl,,61,37
183,2,2:48.0,Personal foul by K. Bazemore (drawn by K. Lowry),,61,37
184,2,2:31.0,P. Siakam makes 2-pt jump shot from 11 ft (assist by O. Anunoby),,63,37
185,2,2:14.0,,Shooting foul by J. Poeltl (drawn by D. Schröder),63,37
186,2,2:14.0,,D. Schröder makes free throw 1 of 2,63,38
187,2,2:14.0,,D. Bembry enters the game for K. Bazemore,63,38
188,2,2:14.0,S. Ibaka enters the game for J. Poeltl,,63,38
189,2,2:14.0,,D. Schröder makes free throw 2 of 2,63,39
