,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,Turnover by L. James (bad pass),,0,0
1,1,11:26.0,,Z. Randolph misses 2-pt jump shot from 13 ft,0,0
2,1,11:24.0,Defensive rebound by K. Love,,0,0
3,1,11:15.0,J. Smith misses 2-pt jump shot from 23 ft,,0,0
4,1,11:15.0,,Defensive rebound by F. Mason,0,0
5,1,10:53.0,,G. Temple makes 3-pt jump shot from 26 ft,0,3
6,1,10:31.0,K. Love misses 3-pt jump shot from 22 ft,,0,3
7,1,10:28.0,,Defensive rebound by G. Temple,0,3
8,1,10:18.0,,Turnover by F. Mason (lost ball; steal by J. Crowder),0,3
9,1,10:11.0,J. Smith misses 3-pt jump shot from 23 ft,,0,3
10,1,10:09.0,Offensive rebound by J. Crowder,,0,3
11,1,10:07.0,J. Smith makes 3-pt jump shot from 25 ft (assist by J. Crowder),,3,3
12,1,9:50.0,,F. Mason misses 3-pt jump shot from 25 ft,3,3
13,1,9:47.0,Defensive rebound by J. Crowder,,3,3
14,1,9:39.0,K. Love makes 2-pt layup from 2 ft (assist by J. Calderón),,5,3
15,1,9:19.0,,G. Temple misses 3-pt jump shot from 24 ft,5,3
16,1,9:17.0,,Offensive rebound by Z. Randolph,5,3
17,1,9:12.0,,Z. Randolph misses 2-pt hook shot from 4 ft,5,3
18,1,9:09.0,Defensive rebound by K. Love,,5,3
19,1,9:05.0,L. James makes 2-pt layup from 1 ft,,7,3
20,1,8:45.0,Violation by J. Smith (kicked ball),,7,3
21,1,8:37.0,,Shooting foul by J. Crowder (drawn by G. Temple),7,3
22,1,8:37.0,,G. Temple misses free throw 1 of 2,7,3
23,1,8:37.0,,Offensive rebound by Team,7,3
24,1,8:37.0,,G. Temple makes free throw 2 of 2,7,4
25,1,8:28.0,Shooting foul by G. Hill (drawn by K. Love),,7,4
26,1,8:28.0,K. Love makes free throw 1 of 2,,8,4
27,1,8:28.0,K. Love makes free throw 2 of 2,,9,4
28,1,8:13.0,,Z. Randolph misses 2-pt layup from 2 ft (block by J. Crowder),9,4
29,1,8:09.0,Defensive rebound by J. Smith,,9,4
30,1,8:08.0,L. James makes 2-pt layup at rim,,11,4
31,1,8:08.0,Shooting foul by G. Hill (drawn by L. James),,11,4
32,1,8:08.0,L. James makes free throw 1 of 1,,12,4
