,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,L. James makes 2-pt jump shot from 11 ft,0,2
1,1,11:33.0,Turnover by V. Oladipo (turnover),,0,2
2,1,11:17.0,,L. James makes 2-pt layup from 1 ft,0,4
3,1,11:14.0,,Offensive charge foul by V. Oladipo (drawn by K. Korver),0,4
4,1,11:14.0,Turnover by V. Oladipo (offensive foul),,0,4
5,1,10:58.0,,Personal foul by V. Oladipo (drawn by L. James),0,4
6,1,10:58.0,L. Stephenson enters the game for V. Oladipo,,0,4
7,1,10:51.0,,L. James makes 2-pt jump shot from 17 ft,0,6
8,1,10:42.0,Indiana full timeout,,0,6
9,1,10:42.0,C. Joseph enters the game for L. Stephenson,,0,6
10,1,10:25.0,M. Turner misses 2-pt hook shot from 14 ft,,0,6
11,1,10:23.0,,Defensive rebound by K. Korver,0,6
12,1,10:18.0,,L. James makes 3-pt jump shot from 27 ft,0,9
13,1,9:53.0,M. Turner misses 2-pt jump shot from 11 ft,,0,9
14,1,9:50.0,,Defensive rebound by L. James,0,9
15,1,9:41.0,,L. James makes 2-pt jump shot from 16 ft,0,11
16,1,9:16.0,,Offensive charge foul by T. Young (drawn by K. Love),0,11
17,1,9:16.0,Turnover by T. Young (offensive foul),,0,11
18,1,8:56.0,,L. James misses 2-pt jump shot from 12 ft,0,11
19,1,8:51.0,Defensive rebound by D. Collison,,0,11
20,1,8:35.0,D. Collison misses 2-pt jump shot from 8 ft,,0,11
21,1,8:33.0,,Defensive rebound by K. Love,0,11
22,1,8:29.0,,L. James makes 2-pt layup from 1 ft,0,13
23,1,8:03.0,T. Young misses 2-pt hook shot from 11 ft,,0,13
24,1,8:02.0,,Defensive rebound by K. Korver,0,13
25,1,7:56.0,,Turnover by J. Smith (bad pass),0,13
26,1,7:43.0,Shooting foul by K. Korver (drawn by B. Bogdanović),,0,13
27,1,7:43.0,B. Bogdanović makes free throw 1 of 2,,1,13
28,1,7:43.0,B. Bogdanović misses free throw 2 of 2,,1,13
29,1,7:39.0,,Defensive rebound by L. James,1,13
30,1,7:25.0,,K. Love misses 2-pt hook shot from 9 ft,1,13
31,1,7:23.0,,Offensive rebound by K. Love,1,13
32,1,7:17.0,,Turnover by L. James (bad pass; steal by B. Bogdanović),1,13
33,1,7:14.0,B. Bogdanović misses 2-pt layup from 6 ft (block by J. Smith),,1,13
34,1,7:12.0,,Defensive rebound by Team,1,13
35,1,7:05.0,,L. James makes 3-pt jump shot from 25 ft (assist by G. Hill),1,16
36,1,6:48.0,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),,3,16
37,1,6:35.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),3,19
38,1,6:15.0,Shooting foul by G. Hill (drawn by M. Turner),,3,19
39,1,6:15.0,M. Turner misses free throw 1 of 2,,3,19
40,1,6:15.0,Offensive rebound by Team,,3,19
41,1,6:15.0,,Cleveland full timeout,3,19
42,1,6:15.0,M. Turner makes free throw 2 of 2,,4,19
43,1,5:54.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),4,22
44,1,5:26.0,D. Collison makes 2-pt jump shot from 19 ft,,6,22
45,1,5:02.0,,J. Smith makes 2-pt jump shot from 16 ft,6,24
46,1,4:42.0,Shooting foul by G. Hill (drawn by M. Turner),,6,24
47,1,4:42.0,M. Turner makes free throw 1 of 2,,7,24
48,1,4:42.0,L. Stephenson enters the game for B. Bogdanović,,7,24
49,1,4:42.0,M. Turner makes free throw 2 of 2,,8,24
50,1,4:34.0,,L. James makes 2-pt layup from 1 ft,8,26
51,1,4:34.0,,Shooting foul by L. Stephenson (drawn by L. James),8,26
52,1,4:34.0,,J. Calderón enters the game for G. Hill,8,26
53,1,4:34.0,,L. James misses free throw 1 of 1,8,26
54,1,4:34.0,,Offensive rebound by L. James,8,26
55,1,4:27.0,,L. James misses 3-pt jump shot from 24 ft,8,26
56,1,4:25.0,Defensive rebound by C. Joseph,,8,26
57,1,4:15.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,10,26
58,1,4:05.0,,Personal block foul by C. Joseph (drawn by J. Calderón),10,26
59,1,3:45.0,,Offensive foul by K. Love (drawn by C. Joseph),10,26
60,1,3:45.0,,Turnover by K. Love (offensive foul),10,26
61,1,3:34.0,M. Turner makes 2-pt layup from 2 ft,,12,26
62,1,3:23.0,,K. Love misses 3-pt jump shot from 27 ft,12,26
63,1,3:23.0,Defensive rebound by T. Young,,12,26
64,1,3:08.0,M. Turner misses 2-pt jump shot from 11 ft,,12,26
65,1,3:08.0,,Defensive rebound by Team,12,26
66,1,3:08.0,,R. Hood enters the game for K. Korver,12,26
67,1,2:53.0,,Turnover by K. Love (bad pass; steal by D. Collison),12,26
68,1,2:48.0,D. Collison makes 2-pt layup from 1 ft,,14,26
69,1,2:48.0,,Cleveland full timeout,14,26
70,1,2:48.0,,L. Nance enters the game for K. Love,14,26
71,1,2:48.0,D. Sabonis enters the game for T. Young,,14,26
72,1,2:37.0,,R. Hood makes 2-pt jump shot from 17 ft (assist by L. James),14,28
73,1,2:24.0,Personal foul by L. Nance (drawn by M. Turner),,14,28
74,1,2:15.0,L. Stephenson misses 2-pt jump shot from 16 ft,,14,28
75,1,2:13.0,,Defensive rebound by L. James,14,28
76,1,2:08.0,,L. James misses 3-pt jump shot from 25 ft,14,28
77,1,2:03.0,Defensive rebound by L. Stephenson,,14,28
78,1,1:59.0,L. Stephenson makes 2-pt jump shot from 18 ft,,16,28
79,1,1:43.0,,J. Calderón makes 3-pt jump shot from 25 ft,16,31
80,1,1:34.0,C. Joseph makes 2-pt layup at rim (assist by D. Collison),,18,31
81,1,1:22.0,,J. Calderón misses 3-pt jump shot from 26 ft,18,31
82,1,1:20.0,Defensive rebound by D. Sabonis,,18,31
83,1,0:59.0,D. Collison misses 2-pt jump shot from 17 ft,,18,31
84,1,0:57.0,Offensive rebound by D. Sabonis,,18,31
85,1,0:42.0,D. Sabonis misses 2-pt hook shot from 5 ft,,18,31
